"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Дом, где пытали Зою Космодемьянскую"	"Zoia Kosmodemiànskaia"	"Zoia Kosmodemianskaia"	""	"Zoia Kosmodemiànskaia, Zoia Kosmodemianskaia"	"Zoia Kosmodemiànskaia"	"human"	"Q229062"
"Костино"	"Kostino"		""	"Kostino"	""	"hamlet"	"Q16021467"
"Пожарский Д. М."	"Dmitri Pojarski"		""	"Dmitri Pojarski"	"Dmitri Pojarski"	"human"	"Q15756"
"Мерецков К.А."	"Kiril Meretskov"	"Kirill Meretskov"	""	"Kiril Meretskov, Kirill Meretskov"	"Kiril Meretskov"	"human"	"Q48145"
"Усово"	"Ússovo"		""	"Ússovo"	""	"village"	"Q2502594"
"Заречье"	"Zaretxe"		""	"Zaretxe"	""	"human settlement"	"Q4023883"
"Большие Горки"	"Bolxie Gorki"		""	"Bolxie Gorki"	""	"estate"	"Q3286190"
"Чкалов В. П."	"Valeri Txkàlov"		""	"Valeri Txkàlov"	"Valeri Txkàlov"	"human"	"Q498098"
"ЗАГС Люберецкого района"	"oficina de registre"		""	"oficina de registre"	""	""	"Q745221"
"Баженов В. И."	"Vasili Bazhenov"		""	"Vasili Bazhenov"	""	"human"	"Q51129"
"Р.Л. Бартини"	"Robert Bartini"		""	"Robert Bartini"	""	"human"	"Q544135"
"О.К. Антонов"	"Oleg Antonov"	"Oleg Antónov;Oleg Konstantínovitx Antónov"	""	"Oleg Antonov, Oleg Antónov, Oleg Konstantínovitx Antónov"	"Oleg Antonov"	"human"	"Q312969"
"М.И. Гуревич"	"Mikhaïl Ióssifovitx Gurévitx"		""	"Mikhaïl Ióssifovitx Gurévitx"	"Mikhaïl Ióssifovitx Gurévitx"	"human"	"Q353552"
"С.А. Лавочкин"	"Semion Làvotxkin"	"Semió Làvotxkin"	""	"Semion Làvotxkin, Semió Làvotxkin"	"Semion Làvotxkin"	"human"	"Q511124"
"Бронницы"	"Brónnitsi"		"станции Бронницы"	"Brónnitsi"	"Brónnitsi"	"city/town"	"Q132739"
"Комаровка"	"Komarovka"		""	"Komarovka"	""	"hamlet"	"Q16665051"
"Шереметьево"	"Aeroport Internacional de Moscou-Xeremétievo"	"Aeroport de Moscou-Xeremétievo"	""	"Aeroport Internacional de Moscou-Xeremétievo, Aeroport de Moscou-Xeremétievo"	"Aeroport Internacional de Moscou-Xeremétievo"	"federal aeroport"	"Q192733"
"ЗАГС"	"oficina de registre"		""	"oficina de registre"	""	""	"Q745221"
"Дворец бракосочетания"	"oficina de registre"		""	"oficina de registre"	""	""	"Q745221"
"Костино"	"Kostino"		""	"Kostino"	""	"hamlet"	"Q16666340"
"Костино"	"Kostino"		""	"Kostino"	""	"hamlet"	"Q16666347"
"Костино"	"Kostino"		""	"Kostino"	""	"village"	"Q16666346"
"Костино"	"Kostino"		""	"Kostino"	""	"railway town"	"Q16666344"
"Костино"	"Kostino"		""	"Kostino"	""	"hamlet"	"Q16666338"
"Мишеронский"	"Misheronskii"		"Мишеронь"	"Misheronskii"	""	"work settlement of Russia"	"Q3859660"
"Дубровки"	"Dubrovki"		""	"Dubrovki"	""	"hamlet"	"Q18775428"
"Костино"	"Kostino"		""	"Kostino"	""	"hamlet"	"Q18399764"
"Свободная школа"	"Pedagogia Waldorf"	"Educació Waldorf"	"Вальдорфская школа"	"Pedagogia Waldorf, Educació Waldorf"	"Pedagogia Waldorf"	"teaching method"	"Q216690"
"Московская духовная академия"	"Acadèmia Teològica de Moscou"		""	"Acadèmia Teològica de Moscou"	""	"educational institution"	"Q841804"
"Иваньковская ГЭС"	"presa d'Ivankovo"		""	"presa d'Ivankovo"	""	"gravity dam"	"Q2269306"
"Asian Highway AH8"	"AH8"		""	"AH8"	""	"road"	"Q2813842"
"European route E 119"	"E119"		""	"E119"	"E119"	"road"	"Q2535163"
"European route E 101"	"E101"		""	"E101"	"E101"	"road"	"Q2283567"
"«Нева»"	"Autopista Moscou - Sant Petersburg"	"Ruta Russa M11"	""	"Autopista Moscou - Sant Petersburg, Ruta Russa M11"	"Autopista Moscou - Sant Petersburg"	"toll road"	"Q24971"
"E 30 Russia west"	"E30"		""	"E30"	"E30"	"road"	"Q160249"
"European route E 115"	"E115"		""	"E115"	"E115"	"road"	"Q1375790"
"E 22 Russia West"	"E22"		""	"E22"	"E22"	"road"	"Q322164"
"Бородинское сражение"	"Batalla de Borodinó"	"batalla de Borodinó;batalla del Moskvà"	""	"Batalla de Borodinó, batalla de Borodinó, batalla del Moskvà"	"Batalla de Borodinó"	"battle"	"Q184320"
"Железнодорожный"	"Jeleznodorojni"		""	"Jeleznodorojni"	""	"neighborhood"	"Q136023"
"Московский вертолетный завод им. М.Л. Миля"	"Russian Helicopters"		""	"Russian Helicopters"	""	"enterprise"	"Q4108170"
"Жуковский Н. Е."	"Nikolai Jukovski"	"Nikolai Iegorovitx Jukovski;Николай Егорович Жуковский"	""	"Nikolai Jukovski, Nikolai Iegorovitx Jukovski, Николай Егорович Жуковский"	"Nikolai Jukovski"	"human"	"Q271956"
"городской округ Лобня"	"Lóbnia"		""	"Lóbnia"	"Lóbnia"	"city/town"	"Q157666"
"АО «НПО им. С. А. Лавочкина»"	"Làvotxkin"		""	"Làvotxkin"	"Làvotxkin"	"business"	"Q949211"
"Центральный научно-исследовательский институт машиностроения"	"TsNIIMash"	"NII-88;Центральный научно-исследовательский институт машиностроения"	""	"TsNIIMash, NII-88, Центральный научно-исследовательский институт машиностроения"	""	"research institute"	"Q737127"
"Мытищинский филиал МГТУ им. Н. Э. Баумана (МГУЛ)"	"Universitat Forestal Estatal de Moscou"	"МЛТИ"	""	"Universitat Forestal Estatal de Moscou, МЛТИ"	""	"university"	"Q4304099"
"\Георгий Победоносец"	"Sant Jordi"	"Jordi de Lydda;Jordi de Capadòcia"		"Sant Jordi, Jordi de Lydda, Jordi de Capadòcia"	"Sant Jordi"	"human"	"Q48438"
"А. С. Попов"	"Aleksandr Stepànovitx Popov"			"Aleksandr Stepànovitx Popov"	"Aleksandr Stepànovitx Popov"	"human"	"Q191799"
"Могила Я.П. Полонского"	"Iàkov Polonski"			"Iàkov Polonski"	"Iàkov Polonski"	"human"	"Q2299317"
"памятник М.Д. Скобелеву"	"Mikhaïl Skóbelev"			"Mikhaïl Skóbelev"	"Mikhaïl Skóbelev"	"human"	"Q57173"
"Проня"	"Riu Pronia"			"Riu Pronia"	"Riu Pronia"	"river"	"Q1784849"
"Волынь"	"Volin"	"Волынь"		"Volin, Волынь"	""	"village"	"Q23842700"
"Asian Highway AH8"	"AH8"			"AH8"	""	"road"	"Q2813842"
"European route E 119"	"E119"			"E119"	"E119"	"road"	"Q2535163"
"Ранова"	"Ranova"			"Ranova"	""	"river"	"Q1112013"
"E 30 Russia middle (east)"	"E30"			"E30"	"E30"	"road"	"Q160249"
"Цна"	"Tsna"			"Tsna"	"Tsna"	"river"	"Q217954"
"Беляево"	"Beliàievo"		"площадка Беляево"	"Beliàievo"	"Beliàievo"	"village"	"Q4083494"
"Урусово"	"Urusovo"		""	"Urusovo"	""	"human settlement"	"Q4477408"
"Санаторий-профилакторий Сухоборье"	"Sukhobórie"		""	"Sukhobórie"	"Sukhobórie"	"posyolok"	"Q4447102"
"Усманский район"	"districte d'Usmansky"		""	"districte d'Usmansky"	""	"municipal district"	"Q1658666"
"Измалковский район"	"raion d'Izmàlkovo"		""	"raion d'Izmàlkovo"	""	"municipal district"	"Q2217597"
"Тербунский район"	"Districte de Terbunsky"		""	"Districte de Terbunsky"	""	"municipal district"	"Q1655801"
"городское поселение Грязи"	"Griazi"		""	"Griazi"	"Griazi"	"city/town"	"Q134663"
"Ранова"	"Ranova"		""	"Ranova"	""	"river"	"Q1112013"
"Юрловка"	"Jurlovka"			"Jurlovka"	""	"village"	"Q21854693"
"Магнит"	"Imant"	"imant"		"Imant, imant"	"Imant"	""	"Q11421"
"городской округ Кирсанов"	"Kirsànov"			"Kirsànov"	"Kirsànov"	"city/town"	"Q153655"
"Шипов лес"	"Shipov Les"		""	"Shipov Les"	""	"railway station"	"Q25396682"
"Маргелов Василий Филиппович"	"Vassili Marguélov"	"Vasili Marguèlov;Vasili Margelov"	""	"Vassili Marguélov, Vasili Marguèlov, Vasili Margelov"	"Vassili Marguélov"	"human"	"Q677432"
"Октябрьское"	"Oktiabrskoie"		""	"Oktiabrskoie"	""	"village"	"Q16022416"
"European route E 38"	"E38"		""	"E38"	"E38"	"road"	"Q289474"
"Давыдовское городское поселение"	"Ajuntaments urbans de Davydovo"		"Городское поселение Давыдовка"	"Ajuntaments urbans de Davydovo"	""	"urban settlement in Russia"	"Q4145505"
"городское поселение Лиски"	"Ajuntament de Liski"		""	"Ajuntament de Liski"	""	"urban settlement in Russia"	"Q4145531"
"Поворинский район"	"districte de Povórinski"		""	"districte de Povórinski"	""	"municipal district"	"Q1654021"
"Октябрьское сельское поселение"	"Oktiabrskoie"		""	"Oktiabrskoie"	""	"rural settlement of Russia"	"Q4333265"
"Михаил Фрунзе"	"Mikhaïl Frunze"			"Mikhaïl Frunze"	"Mikhaïl Frunze"	"human"	"Q191882"
"Педагогический институт ПГУ"	"Institut Pedagògic V. G. Belinski de Penza"			"Institut Pedagògic V. G. Belinski de Penza"	""	"educational institution"	"Q2324493"
"Бековский район"	"raion de Békovo"			"raion de Békovo"	""	"municipal district"	"Q2706920"
"Башмаковский район"	"raion de Baikmakovo"			"raion de Baikmakovo"	""	"municipal district"	"Q791222"
"Сердобский район"	"districte de Serdobsky"			"districte de Serdobsky"	""	"third-level administrative country subdivision"	"Q1653888"
"Долгоруковский сельсовет"	"Consell de poble de Dolgorukovsky"			"Consell de poble de Dolgorukovsky"	""	"rural settlement of Russia"	"Q4164751"
"Ми-24А"	"Mil Mi-24"		""	"Mil Mi-24"	"Mil Mi-24"	"aircraft family"	"Q155651"
"Симбирская классическая гимназия"	"Institut Clàssic de Simbirsk"		""	"Institut Clàssic de Simbirsk"	""	"gymnasium"	"Q4419529"
"Ватутин Николай Фёдорович"	"Nikolai Vatutin"		""	"Nikolai Vatutin"	"Nikolai Vatutin"	"human"	"Q299364"
"Терешка"	"Térexka"	"Terióixka"	"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"
"Терешка"	"Térexka"	"Terióixka"	""	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"
