"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","informe","type","id","name","parcial","admin_level","historic:admin_level","nObjectesEditat","nCasosEditat","nObjectesNomWikidataEditat","nCasosNomWikidataEditat"
"PV","l'Alacantí",311,167,3,3,FALSE,"PPCC/plaza-plaça/informes/informe-PV-l'Alacantí_name-plaza.tsv","relation",1692438,"l'Alacantí",FALSE,7,0,0,0,0,0
"PV","la Plana Alta",224,83,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-la Plana Alta_name-plaza.tsv","relation",1690975,"la Plana Alta",FALSE,7,0,0,0,0,0
"PV","la Plana Baixa",116,54,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-la Plana Baixa_name-plaza.tsv","relation",1690976,"la Plana Baixa",FALSE,7,0,81,34,0,0
"PV","el Baix Vinalopó",64,40,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-el Baix Vinalopó_name-plaza.tsv","relation",1692440,"el Baix Vinalopó",FALSE,7,0,10,9,0,0
"PV","la Safor",51,37,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-la Safor_name-plaza.tsv","relation",1691758,"la Safor",FALSE,7,0,0,0,0,0
"PV","el Vinalopó Mitjà",47,34,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-el Vinalopó Mitjà_name-plaza.tsv","relation",1692446,"el Vinalopó Mitjà / El Vinalopó Medio",TRUE,7,0,24,14,0,0
"PV","la Ribera Alta",43,30,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-la Ribera Alta_name-plaza.tsv","relation",1691755,"la Ribera Alta",TRUE,7,0,32,17,0,0
"PV","la Marina Alta",42,27,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-la Marina Alta_name-plaza.tsv","relation",1692443,"la Marina Alta",FALSE,7,0,14,9,0,0
"PV","l'Alcoià",27,24,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-l'Alcoià_name-plaza.tsv","relation",1692442,"l'Alcoià",FALSE,7,0,16,12,0,0
"PV","l'Horta Sud",37,24,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-l'Horta Sud_name-plaza.tsv","relation",1691751,"l'Horta Sud",FALSE,7,0,0,0,0,0
"Franja","Matarranya",33,23,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Franja-Matarranya_name-plaza.tsv","relation",6630537,"Matarraña / Matarranya",FALSE,7,0,0,0,0,0
"Franja","Baix Cinca",32,21,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Franja-Baix Cinca_name-plaza.tsv","relation",6488361,"Bajo Cinca / Baix Cinca",TRUE,7,0,0,0,0,0
"PV","el Camp de Morvedre",34,21,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-el Camp de Morvedre_name-plaza.tsv","relation",1691745,"el Camp de Morvedre",FALSE,7,0,9,7,0,0
"PV","la Marina Baixa",20,20,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-la Marina Baixa_name-plaza.tsv","relation",1692445,"la Marina Baixa",FALSE,7,0,7,3,0,0
"PV","la Costera",25,18,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-la Costera_name-plaza.tsv","relation",1691752,"la Costera",FALSE,7,0,5,5,0,0
"PV","el Baix Maestrat",17,14,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-el Baix Maestrat_name-plaza.tsv","relation",1690974,"el Baix Maestrat",FALSE,7,0,19,10,0,0
"PV","el Camp de Túria",17,14,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-el Camp de Túria_name-plaza.tsv","relation",1691746,"el Camp de Túria",TRUE,7,0,14,5,0,0
"PV","el Comtat",15,13,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-el Comtat_name-plaza.tsv","relation",1692441,"el Comtat",FALSE,7,0,9,7,0,0
"PV","la Vall d'Albaida",14,13,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-la Vall d'Albaida_name-plaza.tsv","relation",1691760,"la Vall d'Albaida",FALSE,7,0,13,9,0,0
"PV","l'Horta Oest",24,12,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-l'Horta Oest_name-plaza.tsv","relation",1691750,"l'Horta Oest",FALSE,7,0,12,6,0,0
"Illes","Palma",10,9,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Illes-Palma_name-plaza.tsv","relation",2174951,"Palma",FALSE,7,0,3,3,0,0
"PV","l'Alcalatén",18,9,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-l'Alcalatén_name-plaza.tsv","relation",1111146,"l'Alcalatén",FALSE,7,0,9,5,0,0
"Illes","Serra de Tramuntana",8,8,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Illes-Serra de Tramuntana_name-plaza.tsv","relation",2175756,"Serra de Tramuntana",FALSE,7,0,0,0,0,0
"PV","Comarca de València",8,8,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-Comarca de València_name-plaza.tsv","relation",5813174,"Comarca de València",FALSE,7,0,3,3,0,0
"PV","l'Alt Vinalopó",8,8,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-l'Alt Vinalopó_name-plaza.tsv","relation",1692439,"l'Alt Vinalopó / El Alto Vinalopó",TRUE,7,0,0,0,0,0
"Franja","Baix Aragó-Casp",11,7,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Franja-Baix Aragó-Casp_name-plaza.tsv","relation",10601144,"Bajo Aragón-Caspe / Baix Aragó-Casp",TRUE,7,0,5,3,0,0
"PV","l'Horta Nord",9,7,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-l'Horta Nord_name-plaza.tsv","relation",1691749,"l'Horta Nord",FALSE,7,0,11,5,0,0
"PV","l'Alt Maestrat",22,6,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-l'Alt Maestrat_name-plaza.tsv","relation",1690971,"l'Alt Maestrat",FALSE,7,0,4,3,0,0
"Principat","Baix Llobregat",6,6,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Principat-Baix Llobregat_name-plaza.tsv","relation",2809457,"Baix Llobregat",FALSE,7,0,1,1,0,0
"Franja","La Llitera",7,5,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Franja-La Llitera_name-plaza.tsv","relation",6488338,"La Litera / La Llitera",TRUE,7,0,4,2,0,0
"Franja","Ribagorça",6,4,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Franja-Ribagorça_name-plaza.tsv","relation",6488309,"La Ribagorza",TRUE,7,0,14,6,0,0
"PV","la Ribera Baixa",8,4,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-PV-la Ribera Baixa_name-plaza.tsv","relation",1691756,"la Ribera Baixa",FALSE,7,0,7,4,0,0
"Principat","Barcelonès",4,4,0,0,FALSE,"PPCC/plaza-plaça/informes/informe-Principat-Barcelonès_name-plaza.tsv","relation",2417889,"Barcelonès",FALSE,7,0,0,0,0,0
