"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Bacardí"	"Cal Bacardí"	"Hostal Nou"	"Hostal Nou"					"way"	"165060299"		"{'alt_name': 'Hostal Nou', 'building': 'yes', 'name': 'Cal Bacardí', 'ruins': 'yes', 'source': 'http://patmapa.gencat.cat/web/guest/patrimoni/jaciments?articleId=HTTP://ARQUEODADA_JACIMENT_547'}"
"Obaga del Comet"	"Obaga del Comet"							"node"	"8377711736"		"{'name': 'Obaga del Comet', 'place': 'locality'}"
"Obaga del Comet"	"Obaga del Comet"							"node"	"9876577572"		"{'name': 'Obaga del Comet', 'place': 'locality'}"
