"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Agulla de la Joncassa"	"Agulla de la Joncassa"							"way"	"1074468106"		"{'intermittent': 'yes', 'name': 'Agulla de la Joncassa', 'waterway': 'drain'}"
"Agulla del Jaçal"	"Agulla del Jaçal"							"way"	" 537964258"		"{'intermittent': 'yes', 'name': 'Agulla del Jaçal', 'waterway': 'drain'}"
