"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Josep Vicenç Foix"	"Avinguda de Josep Vicenç Foix"			""	""	""	""	"way"	"142400141"	""	"{'highway': 'residential', 'name': 'Avinguda de Josep Vicenç Foix', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de Josep Vicenç Foix"	"Avinguda de Josep Vicenç Foix"			""	""	""	""	"way"	"260923437"	""	"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '50', 'maxspeed:type': 'sign', 'name': 'Avinguda de Josep Vicenç Foix', 'surface': 'asphalt'}"
"Avinguda de Josep Vicenç Foix"	"Avinguda de Josep Vicenç Foix"			""	""	""	""	"way"	" 32470970"	""	"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '50', 'maxspeed:type': 'sign', 'name': 'Avinguda de Josep Vicenç Foix', 'surface': 'asphalt'}"
"Avinguda del Doctor Moisès Broggi"	"Avinguda del Doctor Moisès Broggi"			""	""	""	""	"way"	" 54681569"	""	"{'highway': 'tertiary', 'name': 'Avinguda del Doctor Moisès Broggi', 'ref': 'GI-613'}"
"Camí a Cala Prona"	"Camí a Cala Prona"			""	""	""	""	"way"	"589533908"	""	"{'highway': 'path', 'name': 'Camí a Cala Prona'}"
"Camí de la Pallera"	"Camí de la Pallera"			""	""	""	""	"way"	"432949895"	""	"{'highway': 'track', 'name': 'Camí de la Pallera'}"
"Camí de la Vall de Santa Creu"	"Camí de la Vall de Santa Creu"			""	""	""	""	"way"	"161675779"	""	"{'highway': 'unclassified', 'motor_vehicle': 'permissive', 'name': 'Camí de la Vall de Santa Creu', 'source': 'Institut Cartogràfic i Geològic de Catalunya'}"
"Camí de sa Perafita"	"Camí de sa Perafita"			""	""	""	""	"way"	"156997966"	""	"{'highway': 'residential', 'name': 'Camí de sa Perafita', 'surface': 'asphalt', 'width': '4'}"
