"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Font De Les Codines"	"Font De Les Codines"							"node"	"8400271285"		"{'name': 'Font De Les Codines', 'natural': 'spring'}"
"Font de Sant Miquel"	"Font de Sant Miquel"							"node"	"2417821276"		"{'name': 'Font de Sant Miquel', 'natural': 'spring'}"
