"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Rec del Molí"	"Rec del Molí"							"way"	"870956438"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"870956439"		"{'layer': '-1', 'name': 'Rec del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
