"Carrer del Barranc"	"Carrer del Barranc"			""	""	""	""	"way"	"293657071"		"{'highway': 'residential', 'name': 'Carrer del Barranc'}"
"Carrer del Bou"	"Carrer del Bou"			""	""	""	""	"way"	"293657072"		"{'highway': 'residential', 'name': 'Carrer del Bou'}"
"Carrer del Calvari"	"Carrer del Calvari"			""	""	""	""	"way"	"293657073"		"{'highway': 'residential', 'name': 'Carrer del Calvari'}"
"Carrer del Cos"	"Carrer del Cos"			""	""	""	""	"way"	"293657074"		"{'highway': 'residential', 'name': 'Carrer del Cos'}"
"Carrer del Pilonet"	"Carrer del Pilonet"			""	""	""	""	"way"	" 32650628"		"{'highway': 'residential', 'name': 'Carrer del Pilonet'}"
"Carrer del Pilonet"	"Carrer del Pilonet"			""	""	""	""	"way"	"824685362"		"{'highway': 'residential', 'name': 'Carrer del Pilonet'}"
"Carrer del Pou de Neu"	"Carrer del Pou de Neu"			""	""	""	""	"way"	"293657075"		"{'highway': 'residential', 'name': 'Carrer del Pou de Neu'}"
"Carrer del Torrent"	"Carrer del Torrent"			""	""	""	""	"way"	"293657076"		"{'highway': 'residential', 'name': 'Carrer del Torrent'}"
"Carrer dels Brois"	"Carrer dels Brois"			""	""	""	""	"way"	"293657106"		"{'highway': 'residential', 'name': 'Carrer dels Brois'}"
"Carrer Major"	"Carrer Major"			""	""	""	""	"way"	"293657078"		"{'highway': 'residential', 'name': 'Carrer Major'}"
"Carrer Nou"	"Carrer Nou"			""	""	""	""	"way"	"293657062"		"{'highway': 'residential', 'name': 'Carrer Nou'}"
"Plaça de Catalunya"	"Plaça de Catalunya"			""	""	""	""	"way"	"884054381"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaça de Catalunya'}"
"Plaça de la Vila"	"Plaça de la Vila"			""	""	""	""	"way"	"874416280"		"{'highway': 'residential', 'name': 'Plaça de la Vila'}"
"Plaça de la Vila"	"Plaça de la Vila"			""	""	""	""	"way"	"293657124"		"{'highway': 'residential', 'name': 'Plaça de la Vila'}"
"Plaça de la Vila"	"Plaça de la Vila"			""	""	""	""	"way"	"874416279"		"{'highway': 'residential', 'name': 'Plaça de la Vila'}"
"Plaça de Sant Roc"	"Plaça de Sant Roc"			""	""	""	""	"way"	"293657132"		"{'highway': 'residential', 'name': 'Plaça de Sant Roc'}"
