"Camí del Gall"	"Camí del Gall"			""	""	""	""	"way"	" 205248617"	""	"{'highway': 'track', 'mtb:scale': '1', 'name': 'Camí del Gall', 'surface': 'ground', 'tracktype': 'grade3'}"
"Camí del Gall"	"Camí del Gall"			""	""	""	""	"way"	" 588171883"	""	"{'highway': 'track', 'name': 'Camí del Gall', 'tracktype': 'grade2'}"
"Camí del Gall"	"Camí del Gall"			""	""	""	""	"way"	" 705930454"	""	"{'highway': 'track', 'name': 'Camí del Gall', 'tracktype': 'grade2'}"
"Camí dels Torrents"	"Camí dels Torrents"			""	""	""	""	"way"	" 157565473"	""	"{'highway': 'residential', 'name': 'Camí dels Torrents'}"
"Camí dels Torrents"	"Camí dels Torrents"			""	""	""	""	"way"	" 157565464"	""	"{'highway': 'residential', 'name': 'Camí dels Torrents'}"
"Camí Ignasià Català 7: Montserrat - Manresa"	"Camí Ignasià Català 7: Montserrat - Manresa"			""	""	""	""	"relation"	"   7642208"	""	"{'distance': '24.6', 'name': 'Camí Ignasià Català 7: Montserrat - Manresa', 'network': 'nwn', 'osmc:symbol': 'orange:orange:hiker', 'roundtrip': 'no', 'route': 'hiking', 'type': 'route', 'website': 'http://caminoignaciano.org/ca', 'wiki:symbol': 'CamiIgnasia.png'}"
"Carrer Cardener"	"Carrer Cardener"			""	""	""	""	"way"	" 189841263"	""	"{'highway': 'residential', 'name': 'Carrer Cardener'}"
"Carrer Cardener"	"Carrer Cardener"			""	""	""	""	"way"	"  97403228"	""	"{'highway': 'residential', 'name': 'Carrer Cardener'}"
"Carrer d'Anselm Clavé"	"Carrer d'Anselm Clavé"			""	""	""	""	"way"	" 402373783"	""	"{'highway': 'residential', 'name': \"Carrer d'Anselm Clavé\", 'oneway': 'yes'}"
"Carrer d'Anselm Clavé"	"Carrer d'Anselm Clavé"			""	""	""	""	"way"	" 157558946"	""	"{'highway': 'residential', 'name': \"Carrer d'Anselm Clavé\"}"
"Carrer de Garbí"	"Carrer de Garbí"			""	""	""	""	"way"	" 157558919"	""	"{'highway': 'residential', 'name': 'Carrer de Garbí'}"
"Carrer de Gregal"	"Carrer de Gregal"			""	""	""	""	"way"	" 157558940"	""	"{'highway': 'residential', 'name': 'Carrer de Gregal', 'oneway': 'yes'}"
"Carrer de Jacint Verdaguer"	"Carrer de Jacint Verdaguer"			""	""	""	""	"way"	" 157558982"	"name:etymology:wikidata=Q379290"	"{'highway': 'residential', 'name': 'Carrer de Jacint Verdaguer', 'name:etymology:wikidata': 'Q379290'}"
