"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Mas Oriol"	"Avinguda de Mas Oriol"			""	""	""	""	"way"	"  38704026"		"{'highway': 'residential', 'name': 'Avinguda de Mas Oriol'}"
"Avinguda Mas Bohera"	"Avinguda Mas Bohera"			""	""	""	""	"way"	" 758213401"		"{'highway': 'residential', 'name': 'Avinguda Mas Bohera', 'surface': 'asphalt'}"
"Avinguda Mas Bohera"	"Avinguda Mas Bohera"			""	""	""	""	"way"	" 139438036"		"{'highway': 'residential', 'name': 'Avinguda Mas Bohera', 'surface': 'asphalt'}"
"Avinguda Mas Bohera"	"Avinguda Mas Bohera"			""	""	""	""	"way"	" 758213400"		"{'highway': 'residential', 'name': 'Avinguda Mas Bohera', 'surface': 'asphalt'}"
"Camí de Can Muní"	"Camí de Can Muní"			""	""	""	""	"way"	" 145030005"		"{'highway': 'residential', 'name': 'Camí de Can Muní', 'surface': 'unpaved'}"
"Camí de la Pedrera"	"Camí de la Pedrera"			""	""	""	""	"way"	" 259944545"		"{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'name': 'Camí de la Pedrera'}"
"Camí de la Pedrera"	"Camí de la Pedrera"			""	""	""	""	"way"	"  37423332"		"{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'name': 'Camí de la Pedrera'}"
"Camí de la Pedrera"	"Camí de la Pedrera"			""	""	""	""	"way"	" 244711023"		"{'brp_access': '3', 'highway': 'track', 'name': 'Camí de la Pedrera', 'surface': 'concrete', 'tracktype': 'grade1', 'width': '3'}"
"Camí de la Pedrera"	"Camí de la Pedrera"			""	""	""	""	"way"	" 244711022"		"{'brp_access': '3', 'highway': 'track', 'name': 'Camí de la Pedrera', 'surface': 'compacted', 'tracktype': 'grade2', 'width': '3'}"
"Camí de la Pedrera"	"Camí de la Pedrera"			""	""	""	""	"way"	"  37423409"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de la Pedrera', 'surface': 'asphalt', 'width': '3'}"
