"# Generated by write_osm_objects_report from LangToolsOSM 0.0.12 with parameters: lang=ca, area=['name:en'='Korea'], filters=nwr['name'][wikidata][!'name:ca'][place=city], extra_tag=('name:ca', 'alt_name:ca', 'alt_name')"	""	""	""	""	""	""	""	""	""	""
"node"	"257363469"	"성남시"	""	""	""	"Seongnam"	"Seongnam"	"Q42108"	"int_name=Seongnam, name:de=Seongnam, name:el=Σόνγκναμ, name:en=Seongnam, name:es=Seongnam, name:et=Seongnam, name:fr=Seongnam, name:ja=城南市, name:ko=성남시, name:ko-Hani=城南市, name:lt=Songnamas, name:zh=城南市"	"{'int_name': 'Seongnam', 'name': '성남시', 'name:de': 'Seongnam', 'name:el': 'Σόνγκναμ', 'name:en': 'Seongnam', 'name:es': 'Seongnam', 'name:et': 'Seongnam', 'name:fr': 'Seongnam', 'name:ja': '城南市', 'name:ko': '성남시', 'name:ko-Hani': '城南市', 'name:lt': 'Songnamas', 'name:zh': '城南市', 'place': 'city', 'population': '967510', 'population:date': '2017', 'source:population': 'https://ko.wikipedia.org/wiki/%EC%84%B1%EB%82%A8%EC%8B%9C', 'wikidata': 'Q42108', 'wikipedia': 'ko:성남시'}"
"node"	"257370655"	"안동시"	""	""	""	"Andong"	"Andong"	"Q42116"	"int_name=Andong, name:be=Андон, name:de=Andong, name:en=Andong-si, name:es=Andong, name:et=Andong, name:fr=Andong, name:ja=安東市, name:ko=안동시, name:ko-Hani=安東市, name:ko-Latn=Andong-si, name:ru=Андон, name:uk=Андон, name:zh=安东市, name:zh-Hant=安東市"	"{'int_name': 'Andong', 'name': '안동시', 'name:be': 'Андон', 'name:de': 'Andong', 'name:en': 'Andong-si', 'name:es': 'Andong', 'name:et': 'Andong', 'name:fr': 'Andong', 'name:ja': '安東市', 'name:ko': '안동시', 'name:ko-Hani': '安東市', 'name:ko-Latn': 'Andong-si', 'name:ru': 'Андон', 'name:uk': 'Андон', 'name:zh': '安东市', 'name:zh-Hant': '安東市', 'place': 'city', 'population': '166274', 'population:date': '2017', 'source': 'Wikipedia', 'source:population': 'https://ko.wikipedia.org/wiki/%EC%95%88%EB%8F%99%EC%8B%9C', 'wikidata': 'Q42116', 'wikipedia': 'ko:안동시'}"
"node"	"257370656"	"경주시"	""	""	""	"Gyeongju"	""	"Q42097"	"int_name=Gyeongju, name:de=Gyeongju, name:en=Gyeongju-si, name:es=Gyeongju, name:et=Gyeongju, name:fr=Gyeongju, name:ja=慶州市, name:ko=경주시, name:ko-Hani=慶州市, name:ko-Latn=Gyeongju-si, name:ru=Кёнджу, name:zh=庆州市, name:zh-Hant=慶州市"	"{'int_name': 'Gyeongju', 'name': '경주시', 'name:de': 'Gyeongju', 'name:en': 'Gyeongju-si', 'name:es': 'Gyeongju', 'name:et': 'Gyeongju', 'name:fr': 'Gyeongju', 'name:ja': '慶州市', 'name:ko': '경주시', 'name:ko-Hani': '慶州市', 'name:ko-Latn': 'Gyeongju-si', 'name:ru': 'Кёнджу', 'name:zh': '庆州市', 'name:zh-Hant': '慶州市', 'place': 'city', 'population': '258156', 'population:date': '2017', 'source': 'Wikipedia', 'source:population': 'https://ko.wikipedia.org/wiki/%EA%B2%BD%EC%A3%BC%EC%8B%9C', 'wikidata': 'Q42097'}"
"node"	"257370657"	"목포시"	""	""	""	"Mokpo"	""	"Q42094"	"int_name=Mokpo, name:de=Mokpo, name:el=Μόκπο, name:en=Mokpo-si, name:es=Mokpo, name:et=Mokpo, name:fr=Mokpo, name:ja=木浦市, name:ja_kana=もくぽ, name:ko=목포시, name:ko-Hani=木浦市, name:ko-Latn=Mokpo-si, name:ru=Мокпхо, name:uk=Мокпхо, name:zh=木浦市"	"{'int_name': 'Mokpo', 'name': '목포시', 'name:de': 'Mokpo', 'name:el': 'Μόκπο', 'name:en': 'Mokpo-si', 'name:es': 'Mokpo', 'name:et': 'Mokpo', 'name:fr': 'Mokpo', 'name:ja': '木浦市', 'name:ja_kana': 'もくぽ', 'name:ko': '목포시', 'name:ko-Hani': '木浦市', 'name:ko-Latn': 'Mokpo-si', 'name:ru': 'Мокпхо', 'name:uk': 'Мокпхо', 'name:zh': '木浦市', 'ncat': '교차로및지명', 'place': 'city', 'population': '237739', 'population:date': '2016', 'source': 'Wikipedia', 'source:population': 'https://ko.wikipedia.org/wiki/%EB%AA%A9%ED%8F%AC%EC%8B%9C', 'wikidata': 'Q42094', 'wikipedia': 'en:Mokpo'}"
"node"	"257370659"	"창원시"	""	""	""	"Changwon"	"Changwon"	"Q243327"	"int_name=Changwon, name:de=Changwon, name:el=Τσάνγουον, name:en=Changwon, name:es=Changwon, name:et=Changwon, name:fr=Changwon, name:hu=Cshangvon, name:ja=昌原市, name:ko=창원시, name:ko-Hani=昌原市, name:pt=Changwon, name:ru=Чханвон, name:zh=昌原市"	"{'int_name': 'Changwon', 'name': '창원시', 'name:de': 'Changwon', 'name:el': 'Τσάνγουον', 'name:en': 'Changwon', 'name:es': 'Changwon', 'name:et': 'Changwon', 'name:fr': 'Changwon', 'name:hu': 'Cshangvon', 'name:ja': '昌原市', 'name:ko': '창원시', 'name:ko-Hani': '昌原市', 'name:pt': 'Changwon', 'name:ru': 'Чханвон', 'name:zh': '昌原市', 'place': 'city', 'population': '1055839', 'population:date': '2018-06-30', 'source': 'Wikipedia', 'source:population': '통계청(KOSIS)', 'wikidata': 'Q243327', 'wikipedia': 'ko:창원시'}"
"node"	"257372341"	"안산시"	""	""	""	"Ansan"	"Ansan"	"Q42117"	"int_name=Ansan, name:de=Ansan, name:en=Ansan-si, name:es=Ansan, name:et=Ansan, name:fr=Ansan, name:ja=安山市, name:ko=안산시, name:ko-Hani=安山市, name:zh=安山市, name:zh-Hant=安山市"	"{'int_name': 'Ansan', 'name': '안산시', 'name:de': 'Ansan', 'name:en': 'Ansan-si', 'name:es': 'Ansan', 'name:et': 'Ansan', 'name:fr': 'Ansan', 'name:ja': '安山市', 'name:ko': '안산시', 'name:ko-Hani': '安山市', 'name:zh': '安山市', 'name:zh-Hant': '安山市', 'place': 'city', 'population': '677710', 'population:date': '2017', 'source:population': 'https://ko.wikipedia.org/wiki/%EC%95%88%EC%82%B0%EC%8B%9C', 'wikidata': 'Q42117', 'wikipedia': 'en:Ansan'}"
"node"	"257764593"	"수원시"	""	""	""	"Suwon"	"Suwon"	"Q20714"	"int_name=Suwon, name:de=Suwon, name:el=Σούουον, name:en=Suwon, name:es=Suwon, name:et=Suwon, name:fi=Suwon, name:fr=Suwon, name:ja=水原市, name:ko=수원시, name:ko-Hani=水原市, name:lt=Suvonas, name:pt=Suwon, name:ru=Сувон, name:uk=Сувон, name:zh=水原市"	"{'int_name': 'Suwon', 'name': '수원시', 'name:de': 'Suwon', 'name:el': 'Σούουον', 'name:en': 'Suwon', 'name:es': 'Suwon', 'name:et': 'Suwon', 'name:fi': 'Suwon', 'name:fr': 'Suwon', 'name:ja': '水原市', 'name:ko': '수원시', 'name:ko-Hani': '水原市', 'name:lt': 'Suvonas', 'name:pt': 'Suwon', 'name:ru': 'Сувон', 'name:uk': 'Сувон', 'name:zh': '水原市', 'place': 'city', 'population': '1203000', 'population:date': '2018-06-30', 'source:population': '통계청(KOSIS)', 'wikidata': 'Q20714', 'wikipedia': 'ko:수원시'}"
"node"	"264048594"	"혜산시"	""	""	""	"Hyesan"	"Hyesan"	"Q489829"	"int_name=Hyesan, name:cs=Hjesan, name:de=Hyesan, name:el=Χιέσαν, name:en=Hyesan, name:es=Hyesan, name:et=Hyesan, name:fr=Hyesan, name:ja=恵山市, name:ja_kana=へさん, name:ko=혜산시, name:ko-Hani=惠山市, name:lt=Hesanas, name:ru=Хесан, name:uk=Хесан, name:zh=惠山市"	"{'int_name': 'Hyesan', 'name': '혜산시', 'name:cs': 'Hjesan', 'name:de': 'Hyesan', 'name:el': 'Χιέσαν', 'name:en': 'Hyesan', 'name:es': 'Hyesan', 'name:et': 'Hyesan', 'name:fr': 'Hyesan', 'name:ja': '恵山市', 'name:ja_kana': 'へさん', 'name:ko': '혜산시', 'name:ko-Hani': '惠山市', 'name:lt': 'Hesanas', 'name:ru': 'Хесан', 'name:uk': 'Хесан', 'name:zh': '惠山市', 'place': 'city', 'population': '192680', 'population:date': '2008', 'source:population': 'https://ko.wikipedia.org/wiki/%ED%98%9C%EC%82%B0%EC%8B%9C', 'wikidata': 'Q489829', 'wikipedia': 'en:Hyesan'}"
"node"	"264049134"	"삼지연시"	""	""	""	""	""	"Q700618"	"name:en=Samjiyon, name:ja=三池淵市, name:ko=삼지연시, name:ko-Hani=三池淵市, name:ru=Самджиён, name:zh=三池渊市"	"{'name': '삼지연시', 'name:en': 'Samjiyon', 'name:ja': '三池淵市', 'name:ko': '삼지연시', 'name:ko-Hani': '三池淵市', 'name:ru': 'Самджиён', 'name:zh': '三池渊市', 'place': 'city', 'wikidata': 'Q700618', 'wikipedia': 'ko:삼지연시'}"
"node"	"264063426"	"만포시"	""	""	""	""	""	"Q698064"	"int_name=Manpo, name:de=Manpo, name:en=Manpo, name:eo=Manpo, name:es=Manpo, name:et=Manp'o, name:fr=Manpho, name:ja=満浦市, name:ja_kana=まんぽ, name:ko=만포시, name:ko-Hani=滿浦市, name:pt=Manpo, name:ru=Манпхо, name:zh=满浦市, name:zh-Hant=滿浦市"	"{'int_name': 'Manpo', 'name': '만포시', 'name:de': 'Manpo', 'name:en': 'Manpo', 'name:eo': 'Manpo', 'name:es': 'Manpo', 'name:et': ""Manp'o"", 'name:fr': 'Manpho', 'name:ja': '満浦市', 'name:ja_kana': 'まんぽ', 'name:ko': '만포시', 'name:ko-Hani': '滿浦市', 'name:pt': 'Manpo', 'name:ru': 'Манпхо', 'name:zh': '满浦市', 'name:zh-Hant': '滿浦市', 'place': 'city', 'population': '116760', 'population:date': '2008', 'source:population': 'https://ko.wikipedia.org/wiki/%EB%A7%8C%ED%8F%AC%EC%8B%9C', 'wikidata': 'Q698064'}"
