"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Calle de San Isidro"	"Carrer de San Isidro"						
"Calle San Bartolomé"	"Carrer San Bartolomé"						
"Calle San Jorge"	"Carrer San Jorge"						
"Calle La Franquía"	"Carrer La Franquía"						
"Calle San Blas"	"Carrer San Blas"						
"Calle Solana Baja"	"Carrer Solana Baja"						
"Calle Garrodilla"	"Carrer Garrodilla"						
"Calle Obajo"	"Carrer Obajo"						
"Calle Obago"	"Carrer Obago"						
"Calle Las Gradas"	"Carrer Las Gradas"						
"Calle Solana Alta"	"Carrer Solana Alta"						
"Calle Las Pilas"	"Carrer Las Pilas"						
"Calle Prado"	"Carrer Prado"						
"Calle Carretera"	"Carrer Carretera"						
"Calle de San Sebastián"	"Carrer de San Sebastián"						
"Calle Peligros"	"Carrer Peligros"						
"Calle Torrente de Arriba"	"Carrer Torrente de Arriba"						
"Calle Balsa"	"Carrer Balsa"						
"Calle Cuesta"	"Carrer Cuesta"						
"Calle San Sebastian"	"Carrer San Sebastian"						
"Calle Montera"	"Carrer Montera"						
"Calle de la Balsa"	"Carrer de la Balsa"						
"Calle Lucero"	"Carrer Lucero"						
"Calle Abajo"	"Carrer Abajo"						
"Calle Arriba"	"Carrer Arriba"						
"Calle La Balsa"	"Carrer La Balsa"						
