"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"calle Hondón de las Nieves"	"carrer Hondón de las Nieves"	""	""				
"calle Ernesto Galiana"	"carrer Ernesto Galiana"	""	""				
"calle Príncipe de Asturias"	"carrer Príncipe de Asturias"	""	""				
"calle José Jover Mira"	"carrer José Jover Mira"	""	""				
"Calle Canónigo José Cerda"	"Carrer Canónigo José Cerda"	""	""				
"calle Aljezar"	"carrer Aljezar"	""	""				
"Calle Juan Albentosa"	"Carrer Juan Albentosa"	""	""				
"Calle Enrique Martí"	"Carrer Enrique Martí"	""	""				
"Calle Bayón"	"Carrer Bayón"	""	""				
"Calle Requejo"	"Carrer Requejo"	"Carretera Asp - Els Fondós"	"Carretera Asp - Els Fondós"				
"Calle Calereta"	"Carrer Calereta"	""	""				
"Calle Donante"	"Carrer Donante"	""	""				
"Calle Bajo Sombra"	"Carrer Bajo Sombra"	""	""				
"Calle Sierra de Orts"	"Carrer Sierra de Orts"	""	""				
"Calle el Cantero"	"Carrer el Cantero"	""	""				
"Calle Requejo"	"Carrer Requejo"	""	""				
"Calle Collao"	"Carrer Collao"	""	""				
"Calle Ricardo Jover"	"Carrer Ricardo Jover"	""	""				
"Calle Trigo"	"Carrer Trigo"	""	""				
"Calle Los Olivos"	"Carrer Los Olivos"	""	""				
"Calle Príncipe de Asturias"	"Carrer Príncipe de Asturias"	""	""				
"Calle Tejera de Roque"	"Carrer Tejera de Roque"	""	""				
"Calle Paredón"	"Carrer Paredón"	""	""				
"Calle Salcillo"	"Carrer Salcillo"	""	""				
"Calle Hondón de las Nieves"	"Carrer Hondón de las Nieves"	""	""				
"Calle Raspay"	"Carrer Raspay"	""	""				
"Calle Badén de Rico Lucas"	"Carrer Badén de Rico Lucas"	""	""				
"calle badén de Rico Lucas"	"carrer badén de Rico Lucas"	""	""				
"Calle Turco"	"Carrer Turco"	""	""				
"Calle Cuevas"	"Carrer Cuevas"	""	""				
"Calle Corzo"	"Carrer Corzo"	""	""				
"Calle Perfecto Rico Mira"	"Carrer Perfecto Rico Mira"	""	""				
"Calle José Amorós Serrano"	"Carrer José Amorós Serrano"	""	""				
"calle cura González"	"carrer cura González"	""	""				
"calle practicante Francisco Penalva López"	"carrer practicante Francisco Penalva López"	""	""				
"calle Lorenzo Belda"	"carrer Lorenzo Belda"	""	""				
"calle médico Abad"	"carrer médico Abad"	""	""				
"calle Vicente Sala Canella"	"carrer Vicente Sala Canella"	""	""				
"calle maestro Joaquín Pellín"	"carrer maestro Joaquín Pellín"	""	""				
"calle del mesón"	"carrer del mesón"	""	""				
"Calle Padre Lorenzo Cantó"	"Carrer Padre Lorenzo Cantó"	""	""				
"calle San Diego"	"carrer San Diego"	""	""				
"calle Francisco Santo"	"carrer Francisco Santo"	""	""				
"calle Padre Lorenzo Cantó"	"carrer Padre Lorenzo Cantó"	""	""				
"calle de Mosén Esteban"	"carrer de Mosén Esteban"	""	""				
"calle José Noguera"	"carrer José Noguera"	""	""				
"Calle Pedro Román Deltell"	"Carrer Pedro Román Deltell"	""	""				
"calle Luis Chorro"	"carrer Luis Chorro"	""	""				
"Calle Siete Hermanos"	"Carrer Siete Hermanos"	""	""				
