"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Calle del General Zamalacárregui"	"Carrer del General Zamalacárregui"	""	""				
"Calle de Arcos de los Naranjos"	"Carrer de Arcos de los Naranjos"	""	""				
"Calle Barrio Cuevas"	"Carrer Barrio Cuevas"	""	""				
"Calle Manya"	"Carrer Manya"	"Carrer Maña"	"Calle Maña"				
"Calle La Torre"	"Carrer La Torre"	""	""				
"Calle Lentisco"	"Carrer Lentisco"	""	""				
"Calle Cerraja"	"Carrer Cerraja"	""	""				
"Calle Melisa"	"Carrer Melisa"	""	""				
"Calle Helecho"	"Carrer Helecho"	""	""				
"Calle Lavanda"	"Carrer Lavanda"	""	""				
"Calle Malva"	"Carrer Malva"	""	""				
"Calle Rabaniza"	"Carrer Rabaniza"	""	""				
"Calle Tomillo"	"Carrer Tomillo"	""	""				
"Calle Carlina"	"Carrer Carlina"	""	""				
"Calle Doradilla"	"Carrer Doradilla"	""	""				
"Calle Plantago"	"Carrer Plantago"	""	""				
"Calle Retama"	"Carrer Retama"	""	""				
"Calle Albahaca"	"Carrer Albahaca"	""	""				
"Calle Camomila"	"Carrer Camomila"	""	""				
"Calle Amapola"	"Carrer Amapola"	""	""				
"Calle de los Nogales"	"Carrer de los Nogales"	""	""				
