"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Calle de la Herrería"	"Carrer de la Herrería"	""	""				
"Calle Balsa"	"Carrer Balsa"	""	""				
"Calle Meson"	"Carrer Meson"	""	""				
"Calle Gigantes"	"Carrer Gigantes"	""	""				
"Calle de Buenaire"	"Carrer de Buenaire"	""	""				
"Calle Muro"	"Carrer Muro"	""	""				
"Calle de Collado"	"Carrer de Collado"	""	""				
"Calle Collada Callizo"	"Carrer Collada Callizo"	""	""				
"Calle de Muradas"	"Carrer de Muradas"	""	""				
"Calle Cuatro Esquinas"	"Carrer Cuatro Esquinas"	""	""				
"Calle de la Higuera"	"Carrer de la Higuera"	""	""				
"Calle Pajares"	"Carrer Pajares"	""	""				
"Calle San Lorenzo"	"Carrer San Lorenzo"	""	""				
"Calle Buenaire"	"Carrer Buenaire"	""	""				
"Calle Puente"	"Carrer Puente"	""	""				
"Calle San Miguel"	"Carrer San Miguel"	""	""				
"Calle de la Tejería"	"Carrer de la Tejería"	""	""				
"Calle Codo"	"Carrer Codo"	""	""				
"Calle Miguel"	"Carrer Miguel"	""	""				
"Calle Bajada del Lavadero"	"Carrer Bajada del Lavadero"	""	""				
"Calle Numancia"	"Carrer Numancia"	""	""				
"Calle Baile"	"Carrer Baile"	""	""				
"Calle Marqués de Tosos"	"Carrer Marqués de Tosos"	""	""				
"Calle Eretas"	"Carrer Eretas"	""	""				
"Calle Campana"	"Carrer Campana"	""	""				
"Calle Horno Alto"	"Carrer Horno Alto"	""	""				
"Calle La Orden"	"Carrer La Orden"	""	""				
"Calle Madero"	"Carrer Madero"	""	""				
"Calle Empeltre"	"Carrer Empeltre"	""	""				
"Calle Alejandre"	"Carrer Alejandre"	""	""				
"Calle de Conchello"	"Carrer de Conchello"	""	""				
"Calle del Monte"	"Carrer del Monte"	""	""				
"Calle La Talega"	"Carrer La Talega"	""	""				
"Calle Covec"	"Carrer Covec"	""	""				
"Calle Monte"	"Carrer Monte"	""	""				
"Calle del Silencio"	"Carrer del Silencio"	""	""				
"Calle Pescaderia"	"Carrer Pescaderia"	""	""				
"Calle del Cierzo"	"Carrer del Cierzo"	""	""				
"Calle Tejerías"	"Carrer Tejerías"	""	""				
"Calle de Arriba"	"Carrer de Arriba"	""	""				
"Calle del Filador"	"Carrer del Filador"	""	""				
"Calle Buitrera"	"Carrer Buitrera"	""	""				
"Calle Freginales"	"Carrer Freginales"	""	""				
"Calle Umbría"	"Carrer Umbría"	""	""				
"Calle Laberinto"	"Carrer Laberinto"	""	""				
"Calle del Baja"	"Carrer del Baja"	""	""				
"Calle San Clemente"	"Carrer San Clemente"	""	""				
"Calle Era Empanisi"	"Carrer Era Empanisi"	""	""				
"Calle dos Corales"	"Carrer dos Corales"	""	""				
"Calle Escudinas"	"Carrer Escudinas"	""	""				
"Calle Bajada al Molino"	"Carrer Bajada al Molino"	""	""				
"Calle Del Cierzo"	"Carrer Del Cierzo"	""	""				
"Calle Nevería"	"Carrer Nevería"	""	""				
"Calle de las Once Esquinas"	"Carrer de las Once Esquinas"	"Carrer Oncesquinas"	"Calle Oncesquinas"				
"Calle Soledad"	"Carrer Soledad"	""	""				
"Calle Subida de la Torre"	"Carrer Subida de la Torre"	""	""				
"Calle de los Hornos"	"Carrer de los Hornos"	""	""				
"Callejon del Tozal"	"Callejon del Tozal"	""	""				
"Calle Rase dels Capellans"	"Carrer Rase dels Capellans"	""	""				
"Calle del Sagrado Corazón de Jesús"	"Carrer del Sagrado Corazón de Jesús"	""	""				
