"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Calle Infiesto"	"Carrer Infiesto"	""	""				
"Calle Murtal"	"Carrer Murtal"	""	""				
"Calle del Gorrión"	"Carrer del Gorrión"	""	""				
"Calle del Rosal"	"Carrer del Rosal"	""	""				
"Calle Amanecer"	"Carrer Amanecer"	""	""				
"Calle de las Amapolas"	"Carrer de las Amapolas"	""	""				
"Calle de los Tulipanes"	"Carrer de los Tulipanes"	""	""				
"Calle de San Marcos"	"Carrer de San Marcos"	""	""				
"Calle de Santo Tomás"	"Carrer de Santo Tomás"	""	""				
"Calle Jilguero"	"Carrer Jilguero"	""	""				
"Calle Rocas"	"Carrer Rocas"	""	""				
"Calle del Estornino"	"Carrer del Estornino"	""	""				
"Calle Canario"	"Carrer Canario"	""	""				
"Calle Nuestra Señora del Rocío"	"Carrer Nuestra Señora del Rocío"	""	""				
"Calle Virgen de la Paloma"	"Carrer Virgen de la Paloma"	""	""				
"Calle Espejo"	"Carrer Espejo"	""	""				
"Calle de las Herrerías"	"Carrer de las Herrerías"	""	""				
"Calle Hondo"	"Carrer Hondo"	""	""				
"Calle Otoño"	"Carrer Otoño"	""	""				
"Calle Ibiza"	"Carrer Ibiza"	"Carrer de Ibiza"	"Calle de Ibiza"				
"calle de Irlanda"	"carrer de Irlanda"	""	""				
"Calle Río Guadiana"	"Carrer Río Guadiana"	""	""				
"Calle Río Duero"	"Carrer Río Duero"	""	""				
"Calle Río Turia"	"Carrer Río Turia"	""	""				
"calle conduccion"	"carrer conduccion"	""	""				
"calle de Viena"	"carrer de Viena"	""	""				
"calle de las Azucenas"	"carrer de las Azucenas"	""	""				
"Calle de Toboso"	"Carrer de Toboso"	""	""				
"Calle del Murillo"	"Carrer del Murillo"	""	""				
"calle Oslo"	"carrer Oslo"	""	""				
"calle Amsterdam"	"carrer Amsterdam"	""	""				
"calle Helsinki"	"carrer Helsinki"	""	""				
"calle Berna"	"carrer Berna"	""	""				
"calle Monaco"	"carrer Monaco"	""	""				
"calle Varsovia"	"carrer Varsovia"	""	""				
"calle Llargues"	"carrer Llargues"	""	""				
"calle Raspall"	"carrer Raspall"	""	""				
"Calle Trenzacmes"	"Carrer Trenzacmes"	""	""				
"Calle Galita"	"Carrer Galita"	""	""				
"Calle Calvaro"	"Carrer Calvaro"	""	""				
"calle de Athenas"	"carrer de Athenas"	""	""				
"calle Copenhagen"	"carrer Copenhagen"	""	""				
"calle Reykjavyk"	"carrer Reykjavyk"	""	""				
"Calle de la Tórtola"	"Carrer de la Tórtola"	""	""				
"Calle la Magarida"	"Carrer la Magarida"	""	""				
"Calle Espino"	"Carrer Espino"	""	""				
"Calle La Colina"	"Carrer La Colina"	""	""				
"Calle Belosa"	"Carrer Belosa"	""	""				
"Calle Preciados"	"Carrer Preciados"	""	""				
"Calle de Acceso Berna"	"Carrer de Acceso Berna"	""	""				
"Calle Ronda del Atardecer"	"Carrer Ronda del Atardecer"	""	""				
