"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","informe","type","id","name","parcial","admin_level","historic:admin_level","nObjectesEditat","nCasosEditat","nObjectesNomWikidataEditat","nCasosNomWikidataEditat"
"PV","la Plana Alta",538,149,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-la Plana Alta_name-camino.tsv","relation",1690975,"la Plana Alta",FALSE,7,0,0,0,0,0
"PV","l'Alacantí",252,141,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-l'Alacantí_name-camino.tsv","relation",1692438,"l'Alacantí",FALSE,7,0,0,0,0,0
"PV","el Vinalopó Mitjà",75,64,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-el Vinalopó Mitjà_name-camino.tsv","relation",1692446,"el Vinalopó Mitjà / El Vinalopó Medio",TRUE,7,0,0,0,0,0
"PV","la Plana Baixa",177,62,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-la Plana Baixa_name-camino.tsv","relation",1690976,"la Plana Baixa",FALSE,7,0,9,7,0,0
"PV","el Baix Vinalopó",96,42,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-el Baix Vinalopó_name-camino.tsv","relation",1692440,"el Baix Vinalopó",FALSE,7,0,1,1,0,0
"PV","el Camp de Túria",58,32,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-el Camp de Túria_name-camino.tsv","relation",1691746,"el Camp de Túria",TRUE,7,0,9,2,0,0
"Franja","La Llitera",52,29,0,0,FALSE,"PPCC/camino-camí/informes/informe-Franja-La Llitera_name-camino.tsv","relation",6488338,"La Litera / La Llitera",TRUE,7,0,4,4,0,0
"PV","la Marina Alta",41,24,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-la Marina Alta_name-camino.tsv","relation",1692443,"la Marina Alta",FALSE,7,0,2,2,0,0
"PV","el Baix Maestrat",56,22,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-el Baix Maestrat_name-camino.tsv","relation",1690974,"el Baix Maestrat",FALSE,7,0,0,0,0,0
"PV","el Baix Segura",31,22,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-el Baix Segura_name-camino.tsv","relation",1692447,"el Baix Segura / La Vega Baja del Segura",TRUE,7,0,4,2,0,0
"PV","la Costera",42,19,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-la Costera_name-camino.tsv","relation",1691752,"la Costera",FALSE,7,0,2,1,0,0
"Franja","Ribagorça",29,18,0,0,FALSE,"PPCC/camino-camí/informes/informe-Franja-Ribagorça_name-camino.tsv","relation",6488309,"La Ribagorza",TRUE,7,0,3,2,0,0
"PV","l'Horta Oest",36,18,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-l'Horta Oest_name-camino.tsv","relation",1691750,"l'Horta Oest",FALSE,7,0,11,3,0,0
"PV","l'Horta Sud",53,18,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-l'Horta Sud_name-camino.tsv","relation",1691751,"l'Horta Sud",FALSE,7,0,10,5,0,0
"PV","la Vall d'Albaida",22,18,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-la Vall d'Albaida_name-camino.tsv","relation",1691760,"la Vall d'Albaida",FALSE,7,0,7,4,0,0
"PV","la Ribera Alta",48,17,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-la Ribera Alta_name-camino.tsv","relation",1691755,"la Ribera Alta",TRUE,7,0,3,3,0,0
"PV","l'Alcoià",24,16,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-l'Alcoià_name-camino.tsv","relation",1692442,"l'Alcoià",FALSE,7,0,4,3,0,0
"Franja","Baix Cinca",17,15,0,0,FALSE,"PPCC/camino-camí/informes/informe-Franja-Baix Cinca_name-camino.tsv","relation",6488361,"Bajo Cinca / Baix Cinca",TRUE,7,0,7,2,0,0
"PV","Comarca de València",15,13,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-Comarca de València_name-camino.tsv","relation",5813174,"Comarca de València",FALSE,7,0,1,1,0,0
"PV","l'Alcalatén",23,12,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-l'Alcalatén_name-camino.tsv","relation",1111146,"l'Alcalatén",FALSE,7,0,2,1,0,0
"PV","la Marina Baixa",19,11,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-la Marina Baixa_name-camino.tsv","relation",1692445,"la Marina Baixa",FALSE,7,0,1,1,0,0
"PV","la Safor",24,11,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-la Safor_name-camino.tsv","relation",1691758,"la Safor",FALSE,7,0,3,2,0,0
"Illes","Menorca",21,10,0,0,FALSE,"PPCC/camino-camí/informes/informe-Illes-Menorca_name-camino.tsv","relation",2182003,"Menorca",FALSE,7,0,0,0,0,0
"PV","el Camp de Morvedre",31,10,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-el Camp de Morvedre_name-camino.tsv","relation",1691745,"el Camp de Morvedre",FALSE,7,0,1,1,0,0
"Franja","Baix Aragó-Casp",19,9,0,0,FALSE,"PPCC/camino-camí/informes/informe-Franja-Baix Aragó-Casp_name-camino.tsv","relation",10601144,"Bajo Aragón-Caspe / Baix Aragó-Casp",TRUE,7,0,4,2,0,0
"Franja","Baix Aragó",10,8,0,0,FALSE,"PPCC/camino-camí/informes/informe-Franja-Baix Aragó_name-camino.tsv","relation",6630546,"Bajo Aragón",TRUE,7,0,1,1,0,0
"Franja","Matarranya",14,8,0,0,FALSE,"PPCC/camino-camí/informes/informe-Franja-Matarranya_name-camino.tsv","relation",6630537,"Matarraña / Matarranya",FALSE,7,0,4,4,0,0
"PV","la Ribera Baixa",16,8,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-la Ribera Baixa_name-camino.tsv","relation",1691756,"la Ribera Baixa",FALSE,7,0,0,0,0,0
"PV","l'Alt Vinalopó",12,7,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-l'Alt Vinalopó_name-camino.tsv","relation",1692439,"l'Alt Vinalopó / El Alto Vinalopó",TRUE,7,0,0,0,0,0
"PV","l'Horta Nord",21,7,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-l'Horta Nord_name-camino.tsv","relation",1691749,"l'Horta Nord",FALSE,7,0,4,3,0,0
"PV","el Comtat",6,6,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-el Comtat_name-camino.tsv","relation",1692441,"el Comtat",FALSE,7,0,0,0,0,0
"Principat","Vallès Occidental",7,6,0,0,FALSE,"PPCC/camino-camí/informes/informe-Principat-Vallès Occidental_name-camino.tsv","relation",2350067,"Vallès Occidental",FALSE,7,0,0,0,0,0
"Principat","Vallès Oriental",5,4,0,0,FALSE,"PPCC/camino-camí/informes/informe-Principat-Vallès Oriental_name-camino.tsv","relation",2417929,"Vallès Oriental",FALSE,7,0,0,0,0,0
"Illes","Eivissa",3,3,0,0,FALSE,"PPCC/camino-camí/informes/informe-Illes-Eivissa_name-camino.tsv","relation",2181664,"Eivissa",FALSE,7,0,0,0,0,0
"Illes","Serra de Tramuntana",4,3,0,0,FALSE,"PPCC/camino-camí/informes/informe-Illes-Serra de Tramuntana_name-camino.tsv","relation",2175756,"Serra de Tramuntana",FALSE,7,0,0,0,0,0
"PV","l'Alt Maestrat",12,3,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-l'Alt Maestrat_name-camino.tsv","relation",1690971,"l'Alt Maestrat",FALSE,7,0,4,4,0,0
"Principat","Baix Llobregat",15,3,0,0,FALSE,"PPCC/camino-camí/informes/informe-Principat-Baix Llobregat_name-camino.tsv","relation",2809457,"Baix Llobregat",FALSE,7,0,0,0,0,0
"Principat","Terra Alta",4,3,0,0,FALSE,"PPCC/camino-camí/informes/informe-Principat-Terra Alta_name-camino.tsv","relation",2829953,"Terra Alta",FALSE,7,0,0,0,0,0
"Illes","Formentera",2,2,0,0,FALSE,"PPCC/camino-camí/informes/informe-Illes-Formentera_name-camino.tsv","relation",6914328,"Formentera",FALSE,7,0,0,0,0,0
"Illes","Palma",2,2,0,0,FALSE,"PPCC/camino-camí/informes/informe-Illes-Palma_name-camino.tsv","relation",2174951,"Palma",FALSE,7,0,0,0,0,0
"Illes","Raiguer",5,2,0,0,FALSE,"PPCC/camino-camí/informes/informe-Illes-Raiguer_name-camino.tsv","relation",2175689,"Raiguer",FALSE,7,0,0,0,0,0
"PV","els Ports",20,2,0,0,FALSE,"PPCC/camino-camí/informes/informe-PV-els Ports_name-camino.tsv","relation",1110951,"els Ports",TRUE,7,0,0,0,0,0
"Principat","Alt Empordà",1,1,0,0,FALSE,"PPCC/camino-camí/informes/informe-Principat-Alt Empordà_name-camino.tsv","relation",2177382,"Alt Empordà",FALSE,7,0,0,0,0,0
"Principat","Anoia",1,1,0,0,FALSE,"PPCC/camino-camí/informes/informe-Principat-Anoia_name-camino.tsv","relation",2808804,"Anoia",FALSE,7,0,0,0,0,0
"Principat","Barcelonès",1,1,0,0,FALSE,"PPCC/camino-camí/informes/informe-Principat-Barcelonès_name-camino.tsv","relation",2417889,"Barcelonès",FALSE,7,0,0,0,0,0
"Andorra","Andorra la Vella",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Andorra-Andorra la Vella_name-camino.tsv","relation",2804753,"Andorra la Vella",FALSE,7,0,0,0,0,0
"Andorra","Canillo",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Andorra-Canillo_name-camino.tsv","relation",2804754,"Canillo",FALSE,7,0,0,0,0,0
"Andorra","Encamp",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Andorra-Encamp_name-camino.tsv","relation",2804755,"Encamp",FALSE,7,0,0,0,0,0
"Andorra","Escaldes-Engordany",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Andorra-Escaldes-Engordany_name-camino.tsv","relation",2804756,"Escaldes-Engordany",FALSE,7,0,0,0,0,0
"Andorra","La Massana",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Andorra-La Massana_name-camino.tsv","relation",2804757,"La Massana",FALSE,7,0,0,0,0,0
"Andorra","Ordino",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Andorra-Ordino_name-camino.tsv","relation",2804758,"Ordino",FALSE,7,0,0,0,0,0
"Andorra","Sant Julià de Lòria",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Andorra-Sant Julià de Lòria_name-camino.tsv","relation",2804759,"Sant Julià de Lòria",FALSE,7,0,0,0,0,0
"CatNord","Alta Cerdanya",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-CatNord-Alta Cerdanya_name-camino.tsv","relation",13433224,"Alta Cerdanya",FALSE,0,7,0,0,0,0
"CatNord","Capcir",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-CatNord-Capcir_name-camino.tsv","relation",13433227,"Capcir",FALSE,0,7,0,0,0,0
"CatNord","Conflent",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-CatNord-Conflent_name-camino.tsv","relation",13433226,"Conflent",FALSE,0,7,0,0,0,0
"CatNord","Rosselló",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-CatNord-Rosselló_name-camino.tsv","relation",13433228,"Rosselló",FALSE,0,7,0,0,0,0
"CatNord","Vallespir",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-CatNord-Vallespir_name-camino.tsv","relation",13433225,"Vallespir",FALSE,0,7,0,0,0,0
"Illes","Llevant",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Illes-Llevant_name-camino.tsv","relation",2176079,"Llevant",FALSE,7,0,0,0,0,0
"Illes","Migjorn",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Illes-Migjorn_name-camino.tsv","relation",2174950,"Migjorn",FALSE,7,0,0,0,0,0
"Illes","Pla de Mallorca",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Illes-Pla de Mallorca_name-camino.tsv","relation",2175937,"Pla de Mallorca",FALSE,7,0,0,0,0,0
"Múrcia","el Carxe",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Múrcia-el Carxe_name-camino.tsv","relation",11755232,"El Carche",FALSE,0,0,0,0,0,0
"Principat","Alt Camp",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Alt Camp_name-camino.tsv","relation",2822130,"Alt Camp",FALSE,7,0,0,0,0,0
"Principat","Alt Penedès",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Alt Penedès_name-camino.tsv","relation",2809672,"Alt Penedès",FALSE,7,0,0,0,0,0
"Principat","Alt Urgell",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Alt Urgell_name-camino.tsv","relation",2810001,"Alt Urgell",FALSE,7,0,0,0,0,0
"Principat","Alta Ribagorça",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Alta Ribagorça_name-camino.tsv","relation",2810808,"Alta Ribagorça",FALSE,7,0,0,0,0,0
"Principat","Bages",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Bages_name-camino.tsv","relation",2350331,"Bages",FALSE,7,0,0,0,0,0
"Principat","Baix Camp",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Baix Camp_name-camino.tsv","relation",2824935,"Baix Camp",FALSE,7,0,0,0,0,0
"Principat","Baix Ebre",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Baix Ebre_name-camino.tsv","relation",2826423,"Baix Ebre",FALSE,7,0,0,0,0,0
"Principat","Baix Empordà",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Baix Empordà_name-camino.tsv","relation",2805694,"Baix Empordà",FALSE,7,0,0,0,0,0
"Principat","Baix Penedès",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Baix Penedès_name-camino.tsv","relation",2822410,"Baix Penedès",FALSE,7,0,0,0,0,0
"Principat","Berguedà",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Berguedà_name-camino.tsv","relation",358838,"Berguedà",FALSE,7,0,0,0,0,0
"Principat","Cerdanya",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Cerdanya_name-camino.tsv","relation",2805972,"Cerdanya",FALSE,7,0,0,0,0,0
"Principat","Conca de Barberà",0,0,0,0,TRUE,"PPCC/camino-camí/informes/informe-Principat-Conca de Barberà_name-camino.tsv","relation",2822039,"Conca de Barberà",FALSE,7,0,0,0,0,0
