"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","informe","id","type","name","parcial","admin_level","historic:admin_level","nCasosEditat","nObjectesEditat","nObjectesNomWikidataEditat","nCasosNomWikidataEditat"
"Andorra","Escaldes-Engordany",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Andorra-Escaldes-Engordany_name-calle.tsv",2804756,"relation","Escaldes-Engordany",FALSE,7,0,0,0,0,0
"Andorra","La Massana",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Andorra-La Massana_name-calle.tsv",2804757,"relation","La Massana",FALSE,7,0,0,0,0,0
"Andorra","Ordino",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Andorra-Ordino_name-calle.tsv",2804758,"relation","Ordino",FALSE,7,0,0,0,0,0
"Andorra","Sant Julià de Lòria",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Andorra-Sant Julià de Lòria_name-calle.tsv",2804759,"relation","Sant Julià de Lòria",FALSE,7,0,0,0,0,0
"CatNord","Alta Cerdanya",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-CatNord-Alta Cerdanya_name-calle.tsv",13433224,"relation","Alta Cerdanya",FALSE,0,7,0,0,0,0
"CatNord","Capcir",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-CatNord-Capcir_name-calle.tsv",13433227,"relation","Capcir",FALSE,0,7,0,0,0,0
"CatNord","Conflent",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-CatNord-Conflent_name-calle.tsv",13433226,"relation","Conflent",FALSE,0,7,0,0,0,0
"CatNord","Rosselló",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-CatNord-Rosselló_name-calle.tsv",13433228,"relation","Rosselló",FALSE,0,7,0,0,0,0
"CatNord","Vallespir",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-CatNord-Vallespir_name-calle.tsv",13433225,"relation","Vallespir",FALSE,0,7,0,0,0,0
"Illes","Eivissa",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Illes-Eivissa_name-calle.tsv",2181664,"relation","Eivissa",FALSE,7,0,20,21,0,0
"Illes","Formentera",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Illes-Formentera_name-calle.tsv",6914328,"relation","Formentera",FALSE,7,0,0,0,0,0
"Illes","Llevant",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Illes-Llevant_name-calle.tsv",2176079,"relation","Llevant",FALSE,7,0,5,7,0,0
"Illes","Menorca",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Illes-Menorca_name-calle.tsv",2182003,"relation","Menorca",FALSE,7,0,2,2,0,0
"Illes","Migjorn",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Illes-Migjorn_name-calle.tsv",2174950,"relation","Migjorn",FALSE,7,0,8,9,0,0
"Illes","Palma",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Illes-Palma_name-calle.tsv",2174951,"relation","Palma",FALSE,7,0,3,4,0,0
"Illes","Pla de Mallorca",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Illes-Pla de Mallorca_name-calle.tsv",2175937,"relation","Pla de Mallorca",FALSE,7,0,3,5,0,0
"Illes","Raiguer",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-Illes-Raiguer_name-calle.tsv",2175689,"relation","Raiguer",FALSE,7,0,5,5,0,0
"PV","el Baix Segura",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-PV-el Baix Segura_name-calle.tsv",1692447,"relation","el Baix Segura / La Vega Baja del Segura",TRUE,7,0,12,13,0,0
"PV","l'Horta Nord",0,0,0,0,TRUE,"PPCC/calle-carrer/informes/informe-PV-l'Horta Nord_name-calle.tsv",1691749,"relation","l'Horta Nord",FALSE,7,0,210,365,0,0
