"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle 6"	"Carrer 6"					
"Calle 13"	"Carrer 13"					
"Calle 16"	"Carrer 16"					
"Calle 1"	"Carrer 1"					
"Calle 8"	"Carrer 8"					
"Calle 5"	"Carrer 5"					
"Calle 4"	"Carrer 4"					
"Calle 7"	"Carrer 7"					
"Calle 3"	"Carrer 3"					
"Calle 2"	"Carrer 2"					
"Calle 11"	"Carrer 11"					
"Calle 12"	"Carrer 12"					
"Calle 15"	"Carrer 15"					
"Calle 17"	"Carrer 17"					
"Calle 10"	"Carrer 10"					
"Calle 14"	"Carrer 14"					
"Calle 9"	"Carrer 9"					
"Calle del mar"	"Carrer del mar"					
"Calle del sol"	"Carrer del sol"					
"Calle Mas del Conde"	"Carrer Mas del Conde"					
"Calle Menorca"	"Carrer Menorca"					
"Calle Formentera"	"Carrer Formentera"					
"Calle de la Balsa"	"Carrer de la Balsa"					
"Calle de Montealcedo"	"Carrer de Montealcedo"					
"Calle Mas Vallesa de Mandor"	"Carrer Mas Vallesa de Mandor"					
"Calle Mas de Porchinos"	"Carrer Mas de Porchinos"					
"Calle Mas de Montes"	"Carrer Mas de Montes"					
"Calle Mas de l'Oliveral"	"Carrer Mas de l'Oliveral"					
"Calle Mas del Alagon"	"Carrer Mas del Alagon"					
"Calle Isla Cabrera"	"Carrer Isla Cabrera"					
"Calle Hostalets"	"Carrer Hostalets"					
"Calle dels Fogaders"	"Carrer dels Fogaders"					
"Calle dels Argenters"	"Carrer dels Argenters"					
"Calle dels Llanterners"	"Carrer dels Llanterners"					
"Calle Coeters"	"Carrer Coeters"					
"Calle dels Ferrers"	"Carrer dels Ferrers"					
"Calle dels Pedrapiquers"	"Carrer dels Pedrapiquers"					
"Calle de Velluters"	"Carrer de Velluters"					
"Calle Mercaders"	"Carrer Mercaders"					
"Calle Mediterráneo"	"Carrer Mediterráneo"					
"Calle Torreblanca"	"Carrer Torreblanca"					
"Calle de Isla Gomera"	"Carrer de Isla Gomera"					
"Calle de Tomás Luis de Victoria"	"Carrer de Tomás Luis de Victoria"					
"Calle Los Tilos"	"Carrer Los Tilos"					
"Calle de Ángel Blanco"	"Carrer de Ángel Blanco"					
"Calle dels Jogueters"	"Carrer dels Jogueters"					
"Calle Puerto de Vinaroz"	"Carrer Puerto de Vinaroz"					
"Calle Puerto de la Isla de Tabarca"	"Carrer Puerto de la Isla de Tabarca"					
"Calle Puerto de Gandia"	"Carrer Puerto de Gandia"					
"Calle Puerto de Burriana"	"Carrer Puerto de Burriana"					
"Calle Puerto de Vilajoyosa"	"Carrer Puerto de Vilajoyosa"					
"Calle Puerto del Perelló"	"Carrer Puerto del Perelló"					
"Calle Puerto de Denia"	"Carrer Puerto de Denia"					
"Calle de Guillem de Castro"	"Carrer de Guillem de Castro"					
"Calle dels Pous"	"Carrer dels Pous"					
"Calle Nines"	"Carrer Nines"					
"Calle Pedralba"	"Carrer Pedralba"					
"Calle de Arlanza"	"Carrer de Arlanza"					
"Calle de la Señera"	"Carrer de la Señera"					
"Calle Secuoya"	"Carrer Secuoya"					
"Calle las Cañas"	"Carrer las Cañas"					
"Calle del Palmeral"	"Carrer del Palmeral"					
"Calle del Ciprés"	"Carrer del Ciprés"					
"Calle de Momoses"	"Carrer de Momoses"					
"Calle las Margaritas"	"Carrer las Margaritas"					
"Calle Tulipanes"	"Carrer Tulipanes"					
"Calle del Enebro"	"Carrer del Enebro"					
"Calle de Pitera"	"Carrer de Pitera"					
