"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Fuente"	"Carrer Fuente"					
"Calle 29 de Mayo"	"Carrer 29 de Mayo"					
"Calle Recaredo García"	"Carrer Recaredo García"					
"Calle Saulons"	"Carrer Saulons"					
"Calle Doctor Agut"	"Carrer Doctor Agut"					
"Calle Nº 17"	"Carrer Nº 17"					
"Calle de Loreto"	"Carrer de Loreto"					
"Calle de D. Juan Barceló"	"Carrer de D. Juan Barceló"					
"Calle de Manuel Francisco Molés"	"Carrer de Manuel Francisco Molés"					
"Calle del Músico Perfecto Artola"	"Carrer del Músico Perfecto Artola"					
"Calle del Pilar"	"Carrer del Pilar"					
"Calle de Sánchez de Cotanda"	"Carrer de Sánchez de Cotanda"					
"Calle de Vicente Almenar"	"Carrer de Vicente Almenar"					
"Calle Columbretes"	"Carrer Columbretes"					
"Calle de Roquetes"	"Carrer de Roquetes"					
"Calle de Tres Forques"	"Carrer de Tres Forques"					
"Calle Collets"	"Carrer Collets"					
"Calle del Mosén Joaquín Gordiano"	"Carrer del Mosén Joaquín Gordiano"					
"Calle de Gabriel Puig Roda"	"Carrer de Gabriel Puig Roda"					
"Calle Roquetes"	"Carrer Roquetes"					
"Calle de Teresa Pascual"	"Carrer de Teresa Pascual"					
"Calle de la Pedriza"	"Carrer de la Pedriza"					
"Calle de Ares"	"Carrer de Ares"					
"Calle del Cementerio"	"Carrer del Cementerio"					
"Calle de Ricardo Vives"	"Carrer de Ricardo Vives"					
"Calle Saulonar"	"Carrer Saulonar"					
"Calle de la Mola"	"Carrer de la Mola"					
"Callejón de la Sala"	"Callejón de la Sala"					
"Callejón del Tort"	"Callejón del Tort"					
"Calle Enmedio"	"Carrer Enmedio"					
"Calle de Abajo"	"Carrer de Abajo"					
"Calle de Dalt"	"Carrer de Dalt"					
"Calle de detrás de la Vila"	"Carrer de detrás de la Vila"					
"Calle Vives"	"Carrer Vives"					
"Calle Calvario Alto"	"Carrer Calvario Alto"					
"Calle Calvario Bajo"	"Carrer Calvario Bajo"					
"Calle Colón"	"Carrer Colón"					
"Calle Esperanza"	"Carrer Esperanza"					
"Calle Hospital"	"Carrer Hospital"					
"Calle Reyes Católicos"	"Carrer Reyes Católicos"					
"Calle Tras Iglesia"	"Carrer Tras Iglesia"					
"Calle Trasera Calvario"	"Carrer Trasera Calvario"					
"Calle Trasera Iglesia"	"Carrer Trasera Iglesia"					
"Calle Vileta"	"Carrer Vileta"					
"Calle Magistral Chillida"	"Carrer Magistral Chillida"					
"Calle Huerta"	"Carrer Huerta"					
"Callejón Tornes"	"Callejón Tornes"					
"Calle Hermanos \"Puentes\""	"Carrer Hermanos \"Puentes\""					
