"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Las Planas"	"Carrer Las Planas"					
"Calle Huerto del Señor"	"Carrer Huerto del Señor"					
"Calle Falcón"	"Carrer Falcón"					
"Calle Cuatro Esquinas"	"Carrer Cuatro Esquinas"					
"Calle Aldovaras"	"Carrer Aldovaras"					
"Calle Cuartana"	"Carrer Cuartana"					
"Calle Rosales"	"Carrer Rosales"					
"Calle de la Muela"	"Carrer de la Muela"					
"Calle Horno"	"Carrer Horno"					
"Calle Eras Bjas"	"Carrer Eras Bjas"					
"Calle de Detrás"	"Carrer de Detrás"					
"Calle de los Ensanches"	"Carrer de los Ensanches"					
"Calle Sol de Villa"	"Carrer Sol de Villa"					
"Calle Cuesta"	"Carrer Cuesta"					
"Calle Huche"	"Carrer Huche"					
"Calle Tejedores"	"Carrer Tejedores"					
"Calle Vieja"	"Carrer Vieja"					
"Calle Miñones"	"Carrer Miñones"					
"Calle Buenavista"	"Carrer Buenavista"					
