"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle de la Hermana Andresa"	"Carrer de la Hermana Andresa"					
"Calle Belén"	"Carrer Belén"					
"Calle Cabañera Real"	"Carrer Cabañera Real"					
"Calle Alcabón L'Alcabo"	"Carrer Alcabón L'Alcabo"					
"Calle Hecho"	"Carrer Hecho"					
"Calle Santiago"	"Carrer Santiago"					
"Calle de las Arribas"	"Carrer de las Arribas"					
"Calle Capuchinos"	"Carrer Capuchinos"					
"Calle Redorta Alta"	"Carrer Redorta Alta"					
"Calle Paz"	"Carrer Paz"					
"Calle de las Airetas"	"Carrer de las Airetas"					
"Calle Escaleretas"	"Carrer Escaleretas"					
"Calle Maza de Fraga"	"Carrer Maza de Fraga"					
"Calle Monchico Alto"	"Carrer Monchico Alto"					
"Calle Monchico Bajo"	"Carrer Monchico Bajo"					
"Calle Santa Lecina"	"Carrer Santa Lecina"					
"Calle Tozal"	"Carrer Tozal"					
"Calle Ventosa"	"Carrer Ventosa"					
"Calle Zafranales"	"Carrer Zafranales"					
"Calle de los Hermanos Sanvisen Seres"	"Carrer de los Hermanos Sanvisen Seres"					
"Calle Raimundo"	"Carrer Raimundo"					
"Calle Jose Almuzara"	"Carrer Jose Almuzara"					
