"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle de Bella Vista"	"Carrer de Bella Vista"					
"Calle Emilio Darder"	"Carrer Emilio Darder"					
"Calle de los Avellanos"	"Carrer de los Avellanos"					
"Calle de los Naranjos"	"Carrer de los Naranjos"					
"Calle de las Mimosas"	"Carrer de las Mimosas"					
"Calle Rvdo. D. Jeronimo Pons"	"Carrer Rvdo. D. Jeronimo Pons"					
"Calle de Son Fussimany"	"Carrer de Son Fussimany"					
"Calle de Rentadores"	"Carrer de Rentadores"					
"Calle des Sol"	"Carrer des Sol"					
"Calle Club del Sol"	"Carrer Club del Sol"					
"Calle de Cadernera"	"Carrer de Cadernera"					
"Calle del Metge Llopis"	"Carrer del Metge Llopis"					
"Calle de Número 8"	"Carrer de Número 8"					
"Calle de Número 7"	"Carrer de Número 7"					
"Calle de Número 4"	"Carrer de Número 4"					
