"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Entrada"	"Carrer Entrada"					
"Calle Cataluña"	"Carrer Catalunya"					
"Calle Señores de Entenza"	"Carrer Senyors d’Entença"					
"Calle Vicente Piniés"	"Carrer Vicente Piniés"					
"Calle Francisco Abad"	"Carrer Francisco Abad"					
"Calle el Justicia"	"Carrer el Justícia"					
"Calle Marquesa de Comillas"	"Carrer Marquesa de Comillas"					
"Calle Arcos"	""					
"Calle El Pontet"	"Carrer El Pontet"					
"Calle Murallas"	"Carrer Muralles"					
"Calle Pere García Benabarre"	"Carrer Pere García de Benavarri"					
"Calle Zurita"	"Carrer Zurita"					
"Calle Figuereta"	"Carrer Figuereta"					
"Calle La Obaga"	"Carrer La Obaga"					
"Calle Macarulla"	"Carrer Macarulla"					
"Calle Teodoro Ríos"	"Carrer Teodoro Ríos"					
"Calle el Almudi"	"Carrer l’Almudi"					
"Calle de Abbad Rebollo"	"Carrer d’Abat Rebollo"					
"Calle Suelo Villa"	""					
"Calle la Armellera"	"Carrer l’Armellera"					
"Calle Tercera"	""					
"Calle Fondemiro"	"Carrer Fondemiro"					
"Calle Sisto Zaporta"	""					
"Calle Coscoll"	"Carrer Coscoll"					
"Calle Aurignac"	""					
"Calle el Montsec"	"Carrer el Montsec"					
"Calle Unica"	""					
"Calle La Balsa"	""					
"Calle La Paja"	""					
"Calle Bailén"	"Carrer Bailèn"					
"Calle Femerets"	"Carrer Femerets"					
"Calle Ventura"	"Carrer Ventura"					
"Calle La Fuente"	""					
"Calle Abajo"	""					
"Calle Medio"	""					
"Calle Pereta"	"Carrer Pereta"					
"Calle El Canerol"	"Carrer El Canerol"					
"Calle Pincontor"	""					
"Calle Almuzara"	""					
"Calle Llop"	"Carrer Llop"					
"Calle Carilla"	"Carrer Carilla"					
"Calle El Prat"	"Carrer El Prat"					
"Calle de la Placeta"	"Carrer de la Placeta"					
"Calle de Félix"	"Carrer de Fèlix"					
"Calle Pedro Pach"	""					
"Calle Juan Monserral"	"Carrer Juan Monserral"					
"Calle Martina"	"Carrer Martina"					
"Calle Pedro Pac"	""					
"Calle del Claustro"	"Carrer del Claustre"					
"Calle Fuente"	""					
"Calle Barrio Nuevo"	""					
"Calle Clemente"	""					
"Calle Manuel Perez"	"Carrer Manuel Perez"					
"Calle La Cruz"	""					
"Calle Jacinto Perez"	""					
"Calle Escuela"	"Carrer Escola"					
"Calle La Plaza"	"Carrer La Plaça"					
"Calle La Riva"	"Carrer La Riba"					
"Calle Cirés"	"Carrer Cirés"					
