"type","id","name","name:ca","parcial","regio","admin_level","historic:admin_level","informe","cmd","nObjects","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat"
"relation",2804753,"Andorra la Vella","Andorra la Vella",FALSE,"Andorra",7,NA,"ppcc/camino-camí/informes/informe-Andorra-Andorra la Vella_name-camino.tsv","",0,0,0,0,FALSE
"relation",2804754,"Canillo","Canillo",FALSE,"Andorra",7,NA,"ppcc/camino-camí/informes/informe-Andorra-Canillo_name-camino.tsv","",0,0,0,0,FALSE
"relation",2804755,"Encamp","Encamp",FALSE,"Andorra",7,NA,"ppcc/camino-camí/informes/informe-Andorra-Encamp_name-camino.tsv","",0,0,0,0,FALSE
"relation",2804756,"Escaldes-Engordany","Escaldes-Engordany",FALSE,"Andorra",7,NA,"ppcc/camino-camí/informes/informe-Andorra-Escaldes-Engordany_name-camino.tsv","",0,0,0,0,FALSE
"relation",2804757,"La Massana","La Massana",FALSE,"Andorra",7,NA,"ppcc/camino-camí/informes/informe-Andorra-La Massana_name-camino.tsv","",0,0,0,0,FALSE
"relation",2804758,"Ordino","Ordino",FALSE,"Andorra",7,NA,"ppcc/camino-camí/informes/informe-Andorra-Ordino_name-camino.tsv","",0,0,0,0,FALSE
"relation",2804759,"Sant Julià de Lòria","Sant Julià de Lòria",FALSE,"Andorra",7,NA,"ppcc/camino-camí/informes/informe-Andorra-Sant Julià de Lòria_name-camino.tsv","",0,0,0,0,FALSE
"relation",13433224,"Alta Cerdanya","Alta Cerdanya",FALSE,"CatNord",NA,7,"ppcc/camino-camí/informes/informe-CatNord-Alta Cerdanya_name-camino.tsv","",0,0,0,0,FALSE
"relation",13433225,"Vallespir","Vallespir",FALSE,"CatNord",NA,7,"ppcc/camino-camí/informes/informe-CatNord-Vallespir_name-camino.tsv","",0,0,0,0,FALSE
"relation",13433226,"Conflent","Conflent",FALSE,"CatNord",NA,7,"ppcc/camino-camí/informes/informe-CatNord-Conflent_name-camino.tsv","",0,0,0,0,FALSE
"relation",13433227,"Capcir","Capcir",FALSE,"CatNord",NA,7,"ppcc/camino-camí/informes/informe-CatNord-Capcir_name-camino.tsv","",0,0,0,0,FALSE
"relation",13433228,"Rosselló","Rosselló",FALSE,"CatNord",NA,7,"ppcc/camino-camí/informes/informe-CatNord-Rosselló_name-camino.tsv","",0,0,0,0,FALSE
"relation",6630537,"Matarraña / Matarranya","Matarranya",FALSE,"Franja",7,NA,"ppcc/camino-camí/informes/informe-Franja-Matarranya_name-camino.tsv","",18,12,0,0,FALSE
