type,id,name,name:ca,parcial,regio,admin_level,historic:admin_level
relation,2822691,Tarragonès,Tarragonès,FALSE,Principat,7,NA
relation,2824935,Baix Camp,Baix Camp,FALSE,Principat,7,NA
relation,2826145,Priorat,Priorat,FALSE,Principat,7,NA
relation,2826423,Baix Ebre,Baix Ebre,FALSE,Principat,7,NA
relation,2827413,Montsià,Montsià,FALSE,Principat,7,NA
relation,2829952,Ribera d'Ebre,Ribera d'Ebre,FALSE,Principat,7,NA
relation,2829953,Terra Alta,Terra Alta,FALSE,Principat,7,NA
relation,4791885,Moianès,Moianès,FALSE,Principat,7,NA
relation,1111146,l'Alcalatén,l'Alcalatén,FALSE,PV,7,NA
relation,1690971,l'Alt Maestrat,l'Alt Maestrat,FALSE,PV,7,NA
relation,1690974,el Baix Maestrat,el Baix Maestrat,FALSE,PV,7,NA
relation,1690975,la Plana Alta,la Plana Alta,FALSE,PV,7,NA
relation,1690976,la Plana Baixa,la Plana Baixa,FALSE,PV,7,NA
relation,1691745,el Camp de Morvedre,el Camp de Morvedre,FALSE,PV,7,NA
relation,1691749,l'Horta Nord,l'Horta Nord,FALSE,PV,7,NA
relation,1691750,l'Horta Oest,l'Horta Oest,FALSE,PV,7,NA
relation,1691751,l'Horta Sud,l'Horta Sud,FALSE,PV,7,NA
relation,1691752,la Costera,la Costera,FALSE,PV,7,NA
relation,1691756,la Ribera Baixa,la Ribera Baixa,FALSE,PV,7,NA
relation,1691758,la Safor,la Safor,FALSE,PV,7,NA
relation,1691760,la Vall d'Albaida,la Vall d'Albaida,FALSE,PV,7,NA
relation,1692438,l'Alacantí,l'Alacantí,FALSE,PV,7,NA
relation,1692440,el Baix Vinalopó,el Baix Vinalopó,FALSE,PV,7,NA
relation,1692441,el Comtat,el Comtat,FALSE,PV,7,NA
relation,1692442,l'Alcoià,l'Alcoià,FALSE,PV,7,NA
relation,1692443,la Marina Alta,la Marina Alta,FALSE,PV,7,NA
relation,1692445,la Marina Baixa,la Marina Baixa,FALSE,PV,7,NA
relation,5813174,Comarca de València,Comarca de València,FALSE,PV,7,NA
relation,1110951,els Ports,els Ports,TRUE,PV,7,NA
relation,1691746,el Camp de Túria,el Camp de Túria,TRUE,PV,7,NA
relation,1691755,la Ribera Alta,la Ribera Alta,TRUE,PV,7,NA
relation,1692439,l'Alt Vinalopó / El Alto Vinalopó,l'Alt Vinalopó,TRUE,PV,7,NA
relation,1692446,el Vinalopó Mitjà / El Vinalopó Medio,el Vinalopó Mitjà,TRUE,PV,7,NA
relation,1692447,el Baix Segura / La Vega Baja del Segura,el Baix Segura,TRUE,PV,7,NA
relation,11755232,El Carche,el Carxe,FALSE,Múrcia,NA,NA
relation,40581,Alghero - L'Alguer,L'Alguer,FALSE,Sardenya,8,NA
