"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(190090);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	886456192	"Большая Салырь"			""	"Bolxaia Salir"	""	"subdivisions of Russia"	"Q16015694"	""	"{'addr:country': 'RU', 'addr:district': 'Ачинский район', 'addr:region': 'Красноярский край', 'name': 'Большая Салырь', 'official_status': 'ru:село', 'place': 'village', 'population': '1143', 'population:date': '2010-10-14', 'wikidata': 'Q16015694', 'wikipedia': 'ru:Большая Салырь'}"
"node"	449794013	"Береть"			""	"Beret, Francisco Javier Álvarez Beret"	"Beret"	"human"	"Q12213657"	"int_name=Beret'"	"{'addr:country': 'RU', 'addr:district': 'Берёзовский район', 'addr:region': 'Красноярский край', 'int_name': \"Beret'\", 'is_in': 'Krasnoyarsk Krai, Russia', 'name': 'Береть', 'place': 'hamlet', 'population': '142', 'population:date': '2010-10-14', 'wikidata': 'Q12213657', 'wikipedia': 'ru:Береть (Красноярский край)'}"
"node"	430037862	"Атаманово"			""	"Atamanovo"	""	"village"	"Q4071977"	""	"{'addr:country': 'RU', 'addr:district': 'Сухобузимский район', 'addr:region': 'Красноярский край', 'name': 'Атаманово', 'official_status': 'ru:село', 'place': 'village', 'population': '1968', 'population:date': '2010-10-14', 'wikidata': 'Q4071977', 'wikipedia': 'ru:Атаманово (Красноярский край)'}"
"node"	1038001766	"Хантайское Озеро"			""	"Khantàiskoie Ózero"	"Khantàiskoie Ózero"	"posyolok"	"Q4495560"	""	"{'addr:country': 'RU', 'addr:region': 'Красноярский край', 'name': 'Хантайское Озеро', 'place': 'village', 'population': '354', 'population:date': '2010-10-14', 'wikidata': 'Q4495560', 'wikipedia': 'ru:Хантайское Озеро (посёлок)'}"
"node"	286822366	"Почет"			""	"Potxet"	""	"posyolok"	"Q13641660"	"int_name=Pochet"	"{'addr:country': 'RU', 'addr:district': 'Абанский район', 'addr:region': 'Красноярский край', 'int_name': 'Pochet', 'is_in': 'Krasnoyarsk Krai, Russia', 'name': 'Почет', 'place': 'village', 'population': '947', 'population:date': '2010-10-14', 'wikidata': 'Q13641660', 'wikipedia': 'ru:Почет (посёлок)'}"
"node"	4840460669	"камень джона"			""	"Esdeveniment de Tunguska, Catàstrofe de Tunguska, Impacte de Tunguska, Incident de Tunguska"	"Esdeveniment de Tunguska"	"explosion"	"Q125953"	"name:de=Stein John, name:en=stone John, name:hu=János-kő"	"{'addr:city': 'Vanavara', 'addr:country': 'RU', 'addr:province': 'Красноярский край', 'addr:region:hu': 'Szibéria', 'date': '1908.jun.30. 7:13(UTC+7h)', 'description:hu': 'Tunguszka incidens; Tunguzka esemény; Tunguz meteor', 'ele': '440', 'is_in': 'River Tunguz; Vanarava; Krasznojarszkij kraj; Siberia; Russia', 'name': 'камень джона', 'name:de': 'Stein John', 'name:en': 'stone John', 'name:hu': 'János-kő', 'natural': 'stone', 'opening_hours': '24/7', 'tourism': 'attraction', 'website': 'http://www.tunguska.ru/', 'wheelchair': 'no', 'wikidata': 'Q125953', 'wikipedia': 'en:Tunguska event'}"
"way"	464149379	"Хантайское Озеро"			""	"Khantàiskoie Ózero"	"Khantàiskoie Ózero"	"posyolok"	"Q4495560"	""	"{'addr:country': 'RU', 'addr:region': 'Красноярский край', 'landuse': 'residential', 'name': 'Хантайское Озеро', 'place': 'village', 'population': '354', 'population:date': '2010-10-14', 'wikidata': 'Q4495560', 'wikipedia': 'ru:Хантайское Озеро (посёлок)'}"
"way"	38291859	"Кова"			""	"Kova, riu Kova"	""	"river"	"Q2425962"	"int_name=Kova, name:en=Kova"	"{'int_name': 'Kova', 'name': 'Кова', 'name:en': 'Kova', 'waterway': 'river', 'wikidata': 'Q2425962'}"
"way"	38034889	"Боганида"			""	"Boganida"	""	"river"	"Q890371"	"int_name=Boganida"	"{'boat': 'no', 'int_name': 'Boganida', 'name': 'Боганида', 'waterway': 'river', 'wikidata': 'Q890371', 'wikipedia': 'ru:Боганида (приток Хеты)'}"
"relation"	7008173	"сельское поселение Караул"			""	"Karaül"	""	"rural settlement of Russia"	"Q16472081"	""	"{'addr:district': 'Таймырский Долгано-Ненецкий район', 'addr:region': 'Красноярский край', 'admin_level': '8', 'boundary': 'administrative', 'name': 'сельское поселение Караул', 'note': 'Граница нарисована из схемы района.', 'official_status': 'ru:сельское поселение', 'type': 'boundary', 'wikidata': 'Q16472081', 'wikipedia': 'ru:Сельское поселение Караул'}"
"relation"	1147949	"Балахтинский район"			""	"raion de Balakhtà"	""	"municipal district"	"Q743428"	"name:en=Balakhtinsky Rayon, name:ja=バラフタ地区, name:ru=Балахтинский район"	"{'addr:country': 'RU', 'addr:region': 'Красноярский край', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Балахтинский район', 'name:en': 'Balakhtinsky Rayon', 'name:ja': 'バラフタ地区', 'name:ru': 'Балахтинский район', 'official_status': 'ru:муниципальный район', 'source': 'cadastre', 'type': 'boundary', 'wikidata': 'Q743428', 'wikipedia': 'ru:Балахтинский район'}"
"relation"	1152577	"Курагинский район"			""	"districte de Kuràguino"	""	"municipal district"	"Q2110368"	"name:de=Kuraginski Rajon, name:en=Kuraginsky Rayon, name:ja=クラギノ地区, name:ru=Курагинский район"	"{'addr:country': 'RU', 'addr:region': 'Красноярский край', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Курагинский район', 'name:de': 'Kuraginski Rajon', 'name:en': 'Kuraginsky Rayon', 'name:ja': 'クラギノ地区', 'name:ru': 'Курагинский район', 'official_status': 'ru:муниципальный район', 'source': 'cadastre', 'type': 'boundary', 'wikidata': 'Q2110368', 'wikipedia': 'ru:Курагинский район'}"
"relation"	1153023	"Каратузский район"			""	"raion de Karatúzskoie"	""	"municipal district"	"Q262624"	"name:en=Karatuzsky Rayon, name:ja=カラトゥススコエ地区, name:ru=Каратузский район"	"{'addr:country': 'RU', 'addr:region': 'Красноярский край', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Каратузский район', 'name:en': 'Karatuzsky Rayon', 'name:ja': 'カラトゥススコエ地区', 'name:ru': 'Каратузский район', 'official_status': 'ru:муниципальный район', 'source': 'cadastre', 'type': 'boundary', 'wikidata': 'Q262624', 'wikipedia': 'ru:Каратузский район'}"
"relation"	1157550	"Иланский район"			""	"raion d'Ilanski"	""	"municipal district"	"Q269288"	"name:en=Ilansky Rayon, name:ja=イランスキー地区, name:ru=Иланский район"	"{'addr:country': 'RU', 'addr:region': 'Красноярский край', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Иланский район', 'name:en': 'Ilansky Rayon', 'name:ja': 'イランスキー地区', 'name:ru': 'Иланский район', 'official_status': 'ru:муниципальный район', 'source': 'cadastre', 'type': 'boundary', 'wikidata': 'Q269288', 'wikipedia': 'ru:Иланский район'}"
"relation"	1157565	"Рыбинский район"			""	"raion de Ribinski"	""	"municipal district"	"Q2156876"	"name:en=Rybinsky Rayon, name:ja=ルィブノエ地区, name:ru=Рыбинский район"	"{'addr:country': 'RU', 'addr:region': 'Красноярский край', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Рыбинский район', 'name:en': 'Rybinsky Rayon', 'name:ja': 'ルィブノエ地区', 'name:ru': 'Рыбинский район', 'official_status': 'ru:муниципальный район', 'source': 'cadastre', 'type': 'boundary', 'wikidata': 'Q2156876', 'wikipedia': 'ru:Рыбинский район (Красноярский край)'}"
"relation"	1164624	"Туруханский район"			""	"raion de Turukhansk"	""	"municipal district"	"Q2156680"	"name:en=Turukhansky District, name:ja=トゥルハンスク地区, name:ru=Туруханский район"	"{'addr:country': 'RU', 'addr:region': 'Красноярский край', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Туруханский район', 'name:en': 'Turukhansky District', 'name:ja': 'トゥルハンスク地区', 'name:ru': 'Туруханский район', 'official_status': 'ru:муниципальный район', 'source': 'cadastre', 'type': 'boundary', 'wikidata': 'Q2156680', 'wikipedia': 'ru:Туруханский район'}"
"relation"	1745233	"Путоранский заповедник"			""	"Reserva Natura Estatal de Putorana"	""	"protected area of Russia"	"Q2748272"	""	"{'boundary': 'protected_area', 'leisure': 'nature_reserve', 'name': 'Путоранский заповедник', 'protect_class': '1', 'start_date': '1988-12-15', 'type': 'boundary', 'website': 'http://zapovedsever.ru/other/putoransky', 'wikidata': 'Q2748272', 'wikipedia': 'ru:Путоранский заповедник'}"
"relation"	4625396	"сельское поселение Тура"			""	"possiólok de Turà"	""	"rural settlement of Russia"	"Q17506054"	"official_name=сельское поселение Посёлок Тура"	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'сельское поселение Тура', 'official_name': 'сельское поселение Посёлок Тура', 'official_status': 'ru:сельское поселение', 'type': 'boundary', 'wikidata': 'Q17506054', 'wikipedia': 'ru:Сельское поселение посёлок Тура'}"
"relation"	178588	"Боганида"			""	"Boganida"	""	"river"	"Q890371"	""	"{'destination': 'Kheta', 'name': 'Боганида', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q890371', 'wikipedia': 'ru:Боганида (приток Хеты)'}"
