"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(81996);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"node"	336306167	"Ярцево"			""	"Iartsevo"	""	"Q199004"	"name:de=Jarzewo, name:en=Yartsevo, name:lt=Jarcevas, name:pl=Jarcewo, name:ru=Ярцево, official_name=город Ярцево"	"{'addr:country': 'RU', 'addr:district': 'Ярцевский район', 'addr:region': 'Смоленская область', 'name': 'Ярцево', 'name:de': 'Jarzewo', 'name:en': 'Yartsevo', 'name:lt': 'Jarcevas', 'name:pl': 'Jarcewo', 'name:ru': 'Ярцево', 'official_name': 'город Ярцево', 'official_status': 'ru:город', 'place': 'town', 'population': '46219', 'population:date': '2015-01-01', 'source': 'vmap0', 'website': 'http://www.yartsevo.ru', 'wikidata': 'Q199004', 'wikipedia': 'ru:Ярцево'}"
"node"	2184361785	"Завальный"			""	"Zavalni"	"Zavalni"	"Q4182896"	""	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Завальный', 'place': 'hamlet', 'population': '1', 'population:date': '2007', 'wikidata': 'Q4182896', 'wikipedia': 'ru:Завальный'}"
"node"	2875841893	"Терентеево"			""	"Terentéievo"	"Terentéievo"	"Q4455619"	"official_name=деревня Терентеево"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Терентеево', 'official_name': 'деревня Терентеево', 'official_status': 'ru:деревня', 'oktmo:user': '66650480146', 'place': 'locality', 'population': '0', 'population:date': '2010', 'wikidata': 'Q4455619', 'wikipedia': 'ru:Терентеево (Угранский район)'}"
"node"	2875841890	"Речица"			""	"Rétxitsa (Smolensk), Retxitsa"	"Rétxitsa (Smolensk)"	"Q4393940"	"official_name=деревня Речица"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Речица', 'official_name': 'деревня Речица', 'official_status': 'ru:деревня', 'oktmo:user': '66650480131', 'place': 'locality', 'population': '0', 'population:date': '2010', 'wikidata': 'Q4393940', 'wikipedia': 'ru:Речица (Смоленская область)'}"
"node"	2875841895	"Шемени"			""	"Xémeni"	"Xémeni"	"Q4522782"	"official_name=деревня Шемени"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Шемени', 'official_name': 'деревня Шемени', 'official_status': 'ru:деревня', 'oktmo:user': '66650480151', 'place': 'locality', 'population': '0', 'population:date': '2010', 'wikidata': 'Q4522782', 'wikipedia': 'ru:Шемени'}"
"node"	2875841888	"Каменка"			""	"Kàmenka (Smolensk)"	"Kàmenka (Smolensk)"	"Q4211008"	"official_name=деревня Каменка"	"{'abandoned:place': 'hamlet', 'name': 'Каменка', 'official_name': 'деревня Каменка', 'official_status': 'ru:деревня', 'oktmo:user': 'yes', 'place': 'locality', 'wikidata': 'Q4211008', 'wikipedia': 'ru:Каменка (Угранский район)'}"
"node"	2875841891	"Рисавы"			""	"Rissavi"	"Rissavi"	"Q4394786"	"official_name=деревня Рисавы"	"{'name': 'Рисавы', 'official_name': 'деревня Рисавы', 'official_status': 'ru:деревня', 'oktmo:user': 'yes', 'place': 'locality', 'population': '1', 'population:date': '2010', 'wikidata': 'Q4394786', 'wikipedia': 'ru:Рисавы'}"
"node"	2875841892	"Сергеевка"			""	"Serguéievka (Smolensk), Serguéievka"	"Serguéievka (Smolensk)"	"Q4416921"	"official_name=деревня Сергеевка"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Сергеевка', 'official_name': 'деревня Сергеевка', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '8', 'population:date': '2010', 'wikidata': 'Q4416921', 'wikipedia': 'ru:Сергеевка (Угранский район)'}"
"node"	2875841887	"Громша"			""	"Gromxa"	"Gromxa"	"Q4150272"	"official_name=деревня Громша"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Громша', 'official_name': 'деревня Громша', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '5', 'population:date': '2010', 'wikidata': 'Q4150272', 'wikipedia': 'ru:Громша'}"
"node"	2875841896	"Шилово"			""	"Xílovo (Smolensk), Xílovo"	"Xílovo (Smolensk)"	"Q4523891"	"official_name=деревня Шилово"	"{'addr:country': 'RU', 'addr:district': 'Угранский район', 'addr:region': 'Смоленская область', 'name': 'Шилово', 'official_name': 'деревня Шилово', 'official_status': 'ru:деревня', 'place': 'hamlet', 'population': '1', 'population:date': '2010', 'wikidata': 'Q4523891', 'wikipedia': 'ru:Шилово (Угранский район)'}"
