"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(144763);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	2560221474	"БМП-1"			""	"BMP-1"	"BMP-1"	"combat vehicle family"	"Q155494"	""	"{'name': 'БМП-1', 'tourism': 'attraction', 'wikidata': 'Q155494', 'wikipedia': 'ru:БМП-1'}"
"node"	2560221476	"БРДМ-2"			""	"BRDM-2"	"BRDM-2"	"reconnaissance vehicle"	"Q167968"	""	"{'historic': 'memorial', 'memorial': 'memorial', 'name': 'БРДМ-2', 'wikidata': 'Q167968', 'wikipedia': 'ru:БРДМ-2'}"
"node"	2560221484	"Т-62"			""	"T-62, T62"	"T-62"	"tank family"	"Q207618"	""	"{'name': 'Т-62', 'tourism': 'attraction', 'wikidata': 'Q207618', 'wikipedia': 'ru:Т-62'}"
"node"	903481866	"Драченино"			""	"Dratxénino"	""	"village"	"Q16646262"	""	"{'gns:modify_date': '2008-10-23', 'name': 'Драченино', 'official_status': 'ru:село', 'place': 'village', 'population': '1077', 'population:date': '2010-10-14', 'source': 'GNS, IRS', 'source:id': '6667654', 'wikidata': 'Q16646262', 'wikipedia': 'ru:Драченино'}"
"node"	885316888	"Зимник"			""	"Zimnik"	""	"hamlet"	"Q4192011"	""	"{'addr:country': 'RU', 'gns:modify_date': '2006-10-23', 'name': 'Зимник', 'place': 'village', 'population': '852', 'population:date': '2010-10-14', 'source': 'GNS, IRS', 'source:id': '-4272211', 'wikidata': 'Q4192011', 'wikipedia': 'ru:Зимник (Кемеровская область)'}"
"node"	205151526	"Кузель"			""	"Kuzel"	"Kuzel"	"razyezd"	"Q28514570"	""	"{'addr:district': 'Тайгинский городской округ', 'name': 'Кузель', 'official_status': 'ru:разъезд', 'place': 'village', 'population': '359', 'population:date': '2010-10-14', 'wikidata': 'Q28514570', 'wikipedia': 'ru:Кузель (Кемеровская область)'}"
"node"	9013708004	"Клён остролистный"			""	"Erable, erable, Acer platanoides"	"Erable"	"taxon"	"Q26745"	""	"{'leaf_cycle': 'deciduous', 'leaf_type': 'broadleaved', 'name': 'Клён остролистный', 'natural': 'wood', 'wikidata': 'Q26745', 'wikipedia': 'ru:Клён остролистный'}"
"node"	943092733	"Пихтач"			""	"Pikhtatx"	"Pikhtatx"	"razyezd"	"Q27575738"	""	"{'name': 'Пихтач', 'place': 'hamlet', 'population': '13', 'population:date': '2010-10-14', 'source': 'GNS, extrapolation', 'wikidata': 'Q27575738', 'wikipedia': 'ru:Пихтач (разъезд)'}"
"node"	885440569	"Белогородка"			""	"Belogorodka"	"Belogorodka"	"village"	"Q16274035"	""	"{'gns:modify_date': '2001-06-01', 'name': 'Белогородка', 'place': 'village', 'population': '681', 'population:date': '2010-10-14', 'source': 'GNS', 'source:id': '6627773', 'wikidata': 'Q16274035', 'wikipedia': 'ru:Белогородка (Кемеровская область)'}"
