"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(83184);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	2966959935	"Г. К. Жукову"			""	"Gueorgui Júkov, Grigorij Konstantinovič Žukov, Gueorgi Konstantínovitx Júkov"	"Gueorgui Júkov"	"human"	"Q124617"	""	"{'historic': 'memorial', 'memorial': 'bust', 'name': 'Г. К. Жукову', 'wikidata': 'Q124617', 'wikipedia': 'ru:Жуков, Георгий Константинович'}"
"node"	2966959936	"М. И. Кутузову"			""	"Mikhaïl Kutúzov, Mikhail Illarionovič Kutuzov, Mikhaïl Kutuzov, Mikhail Kutuzov"	"Mikhaïl Kutúzov"	"human"	"Q185801"	""	"{'historic': 'memorial', 'memorial': 'bust', 'name': 'М. И. Кутузову', 'wikidata': 'Q185801', 'wikipedia': 'ru:Кутузов, Михаил Илларионович'}"
"node"	2966959937	"А. Я. Невскому"			""	"Alexandre Nevski, Alexander Nevsky, Aleksandr Nievski, Alexandre Nievski"	"Alexandre Nevski"	"human"	"Q174044"	""	"{'historic': 'memorial', 'memorial': 'bust', 'name': 'А. Я. Невскому', 'wikidata': 'Q174044', 'wikipedia': 'ru:Александр Ярославич Невский'}"
"node"	2966959940	"ИСУ-122"			""	"ISU-122, Istrebitelnaja Samokhodnaya Ustanovka 122, ИСУ-122"	"ISU-122"	"combat vehicle family"	"Q1632326"	""	"{'historic': 'memorial', 'name': 'ИСУ-122', 'wikidata': 'Q1632326', 'wikipedia': 'ru:ИСУ-122'}"
"node"	2966959944	"Памятник Клыкову В.М., автору звонницы"			""	"Vyacheslav Klykov"	""	"human"	"Q2386307"	""	"{'historic': 'memorial', 'name': 'Памятник Клыкову В.М., автору звонницы', 'wikidata': 'Q2386307', 'wikipedia': 'ru:Клыков, Вячеслав Михайлович'}"
"node"	2985450563	"Немецкая противотанковая пушка Pak 35/36"			""	"PaK 36 de 3,7 cm, PaK 36"	"PaK 36 de 3,7 cm"	"weapon model"	"Q168729"	""	"{'historic': 'memorial', 'name': 'Немецкая противотанковая пушка Pak 35/36', 'wikidata': 'Q168729', 'wikipedia': 'ru:Pak 35/36'}"
"node"	3309163764	"Бирюч"			""	"Biriutx"	"Biriutx"	"city/town"	"Q105150"	""	"{'addr:country': 'RU', 'addr:district': 'Красногвардейский район', 'addr:region': 'Белгородская область', 'name': 'Бирюч', 'official_status': 'ru:посёлок', 'place': 'village', 'population': '303', 'population:date': '2010', 'wikidata': 'Q105150', 'wikipedia': 'ru:Бирюч (город)'}"
"node"	905075844	"Танк Т-55"			""	"T-54/T-55"	"T-54/T-55"	""	"Q328272"	""	"{'historic': 'memorial', 'name': 'Танк Т-55', 'wikidata': 'Q328272', 'wikipedia': 'ru:Т-55'}"
"node"	2960978710	"БМП-1"			""	"BMP-1"	"BMP-1"	"combat vehicle family"	"Q155494"	""	"{'historic': 'memorial', 'name': 'БМП-1', 'wikidata': 'Q155494', 'wikipedia': 'ru:БМП-1'}"
"node"	4382665773	"МиГ-23 МЛД"			""	"Mikoian-Gurévitx MiG-23, MiG-23, Mikoyan-Gurevitx MiG-23, Mikoyan-Gurevich MiG-23, MiG-23 Flogger, Mikoian-Gurèvitx MiG-23"	"Mikoian-Gurévitx MiG-23"	"aircraft family"	"Q155679"	""	"{'historic': 'memorial', 'name': 'МиГ-23 МЛД', 'wikidata': 'Q155679', 'wikipedia': 'ru:МиГ-23'}"
"way"	1050532605	"Волчья"			""	"Wowtscha"	""	"Wikimedia disambiguation page"	"Q841264"	"name:en=Vovcha, name:ru=Волчья, name:uk=Вовча"	"{'name': 'Волчья', 'name:en': 'Vovcha', 'name:ru': 'Волчья', 'name:uk': 'Вовча', 'waterway': 'river', 'wikidata': 'Q841264', 'wikimedia_commons': 'Category:Volchja river', 'wikipedia': 'ru:Волчья'}"
"way"	119776085	"Алексеевка"			""	"Alekséievka (Bélgorod), Alekséievka"	"Alekséievka (Bélgorod)"	"city/town"	"Q103427"	""	"{'addr:country': 'RU', 'addr:postcode': '309850', 'addr:region': 'Белгородская область', 'name': 'Алексеевка', 'place': 'town', 'wikidata': 'Q103427', 'wikipedia': 'ru:Алексеевка (город, Белгородская область)'}"
"relation"	14022110	"Вовча"			""	"Wowtscha"	""	"Wikimedia disambiguation page"	"Q841264"	"name:en=Vovcha, name:ru=Волчья, name:uk=Вовча"	"{'name': 'Вовча', 'name:en': 'Vovcha', 'name:ru': 'Волчья', 'name:uk': 'Вовча', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q841264', 'wikimedia_commons': 'Category:Volchja river', 'wikipedia': 'uk:Вовча'}"
