"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(79379);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	438264676	"Дегтярск"			""	"Degtiarsk"	"Degtiarsk"	"city/town"	"Q105425"	"name:ru:word_stress=Дегтя́рск"	"{'addr:country': 'RU', 'addr:region': 'Свердловская область', 'description': 'https://uraloved.ru/gorod-degtyarsk', 'name': 'Дегтярск', 'name:ru:word_stress': 'Дегтя́рск', 'official_status': 'ru:город', 'place': 'town', 'population': '15974', 'population:date': '2014-01-01', 'website': 'http://www.degtyarsk.ru/', 'wikidata': 'Q105425', 'wikipedia': 'ru:Дегтярск'}"
"node"	6121639348	"Дятлов"			""	"Pas de Diàtlov"	"Pas de Diàtlov"	"accident"	"Q814484"	"name:en=Dyatlov last camp 1959-02-02, name:hu=Djatlov-expedíció 1959-02-02 utolsó sátorhely"	"{'description': 'примерное местоположение палатки Дятлова', 'description:de': 'Der ungefähre Standort von Dyatlovs Zelt', 'description:en': \"The approximate location of Dyatlov's tent\", 'description:hu': 'Djatlov-sátor hozzávetőleges elhelyezkedése 1959.febr.1-2.', 'ele': '906', 'name': 'Дятлов', 'name:en': 'Dyatlov last camp 1959-02-02', 'name:hu': 'Djatlov-expedíció 1959-02-02 utolsó sátorhely', 'opening_hours': '24/7', 'reservation': 'no', 'tourism': 'camp_site', 'url:hu': 'https://konteo.blogrepublik.eu/2011/11/12/a-djatlov-incidens-ujratoltve/#comment-109023', 'wheelchair': 'no', 'wikidata': 'Q814484', 'wikipedia': 'ru:Гибель тургруппы Дятлова', 'wikipedia:en': 'en:Dyatlov Pass incident', 'wikipedia:hu': 'hu:Gyatlov-rejtély'}"
"node"	3678862493	"Dyatlov memorial"			""	"Pas de Diàtlov"	"Pas de Diàtlov"	"accident"	"Q814484"	""	"{'name': 'Dyatlov memorial', 'opening_hours': '24/7', 'reservation': 'no', 'tourism': 'attraction', 'wheelchair': 'no', 'wikidata': 'Q814484', 'wikipedia': 'en:Dyatlov Pass incident'}"
"node"	4869079921	"Привал четырёх."			""	"Pas de Diàtlov"	"Pas de Diàtlov"	"accident"	"Q814484"	"name:de=Halt vier Djatlov, name:en=Halt four Dyatlov, name:hu=Négyek halála Gyatlov, name:ru=Привал четырёх."	"{'historic': 'memorial', 'name': 'Привал четырёх.', 'name:de': 'Halt vier Djatlov', 'name:en': 'Halt four Dyatlov', 'name:hu': 'Négyek halála Gyatlov', 'name:ru': 'Привал четырёх.', 'tourism': 'attraction', 'url:hu': 'https://konteo.blogrepublik.eu/2011/11/12/a-djatlov-incidens-ujratoltve/#comment-109023', 'wikidata': 'Q814484', 'wikipedia': 'en:Dyatlov Pass incident', 'wikipedia:hu': 'hu:Gyatlov-rejtély'}"
"node"	8152230817	"Перевал Дятлова"			""	"Pas de Diàtlov"	"Pas de Diàtlov"	"accident"	"Q814484"	""	"{'historic': 'memorial', 'name': 'Перевал Дятлова', 'url:hu': 'https://konteo.blogrepublik.eu/2011/11/12/a-djatlov-incidens-ujratoltve/#comment-109023', 'wikidata': 'Q814484', 'wikipedia': 'ru:Перевал Дятлова', 'wikipedia:en': 'en:Dyatlov Pass incident', 'wikipedia:hu': 'hu:Gyatlov-rejtély'}"
"node"	1353438710	"Администрация Екатеринбурга"			""	"Duma de Iekaterinburg"	""	"City Duma"	"Q4174295"	""	"{'amenity': 'townhall', 'name': 'Администрация Екатеринбурга', 'website': 'http://www.ekburg.ru/', 'wikidata': 'Q4174295', 'wikipedia': 'ru:Екатеринбургская городская дума'}"
"node"	9790977060	"Скульптура в виде грустного зайчика со стихотворением Агнии Барто"			""	"Àgnia Bartó"	"Àgnia Bartó"	"human"	"Q683485"	""	"{'amenity': 'bench', 'artist_name': 'Дмитрий Карасюк', 'backrest': 'yes', 'historic': 'memorial', 'material': 'metal', 'name': 'Скульптура в виде грустного зайчика со стихотворением Агнии Барто', 'start_date': '2022-05-05', 'wikidata': 'Q683485'}"
"node"	902488346	"РСЗО БМ-13 «Катюша»"			""	"Katiuixa, Katiúixa, Katyusha, Katiusha"	"Katiuixa"	""	"Q192223"	""	"{'historic': 'memorial', 'memorial': 'vehicle', 'name': 'РСЗО БМ-13 «Катюша»', 'wikidata': 'Q192223', 'wikipedia': 'ru:Катюша (прозвище оружия)'}"
"node"	8166048934	"РСЗО"			""	"BM-21"	"BM-21"	"multiple rocket launcher"	"Q270289"	""	"{'historic': 'memorial', 'memorial': 'vehicle', 'name': 'РСЗО', 'wikidata': 'Q270289', 'wikipedia': 'ru:Град (РСЗО)'}"
