"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(72193);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	1207100780	"Зоя Анатольевна Космодемьянская"			""	"Zoia Kosmodemiànskaia, Zoia Kosmodemianskaia"	"Zoia Kosmodemiànskaia"	"human"	"Q229062"	""	"{'historic': 'memorial', 'name': 'Зоя Анатольевна Космодемьянская', 'wikidata': 'Q229062', 'wikipedia': 'ru:Космодемьянская, Зоя Анатольевна'}"
"node"	3492933494	"Малая Скатовка"			""	"Malaya Skatovka"	""	"khutor"	"Q18788940"	""	"{'name': 'Малая Скатовка', 'place': 'village', 'wikidata': 'Q18788940', 'wikipedia': 'ru:Малая Скатовка'}"
"node"	914747049	"Старая Порубежка"			""	"Staraia Porubiojka"	""	"subdivisions of Russia"	"Q4439754"	""	"{'name': 'Старая Порубежка', 'place': 'village', 'wikidata': 'Q4439754', 'wikipedia': 'ru:Старая Порубёжка'}"
"way"	256971848	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"	""	"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	49049997	"Терешка"			""	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"	""	"{'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терёшка (приток Волги)'}"
"way"	338455253	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"	""	"{'admin_level': '8', 'alt_name': 'Большая Терешка', 'boundary': 'administrative', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	338326485	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"	""	"{'alt_name': 'Большая Терешка', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"way"	338326474	"Терешка"			"Большая Терешка"	"Térexka, Terióixka"	"Térexka"	"river"	"Q1470306"	""	"{'admin_level': '8', 'alt_name': 'Большая Терешка', 'boundary': 'administrative', 'gvr:code': '11010001912112100010264', 'name': 'Терешка', 'waterway': 'river', 'wikidata': 'Q1470306', 'wikipedia': 'ru:Терешка'}"
"relation"	2223656	"European route E 38"			""	"E38"	"E38"	"road"	"Q289474"	"name:de=Europastraße 38, name:en=European route E 38, name:fr=Route européenne E 38, name:nl=Europese route E38, name:pl=Trasa europejska E 38, name:ru=Европейский маршрут E 38, name:sk=Európska cesta E 38"	"{'addr:country': 'KZ', 'description': 'Glukhov - Kursk - Voronezh - Saratov - Uralsk - Aktobe - Karabutak - Aralsk - Novokazalinsk - Kzylorda - Shymkent', 'description:fr': 'E 38 Glukhov - Chimkent', 'name': 'European route E 38', 'name:de': 'Europastraße 38', 'name:en': 'European route E 38', 'name:fr': 'Route européenne E 38', 'name:nl': 'Europese route E38', 'name:pl': 'Trasa europejska E 38', 'name:ru': 'Европейский маршрут E 38', 'name:sk': 'Európska cesta E 38', 'network': 'e-road', 'note': 'WARNING: DO NOT DO AUTOMATIC SORTING IN RELATION EDITOR', 'ref': 'E 38', 'route': 'road', 'source': 'Bing', 'type': 'route', 'wikidata': 'Q289474', 'wikipedia': 'en:European route E38'}"
