"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(81994);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	591941440	"Костино"			""	"Kostino"	""	"posyolok"	"Q4235419"	""	"{'addr:country': 'RU', 'addr:district': 'Рыбинский район', 'addr:region': 'Ярославская область', 'addr:subdistrict': 'Покровское сельское поселение', 'name': 'Костино', 'place': 'village', 'wikidata': 'Q4235419', 'wikipedia': 'ru:Костино (Покровское сельское поселение)'}"
"node"	4331403936	"В. Ф. Маргелову"			""	"Vassili Marguélov, Vasili Marguèlov, Vasili Margelov"	"Vassili Marguélov"	"human"	"Q677432"	""	"{'historic': 'memorial', 'inscription': 'Василий Филиппович Маргелов', 'name': 'В. Ф. Маргелову', 'wikidata': 'Q677432', 'wikipedia': 'ru:Маргелов, Василий Филиппович'}"
"node"	591895200	"Костино"			""	"Kostino"	""	"hamlet"	"Q13652766"	""	"{'addr:country': 'RU', 'addr:district': 'Рыбинский район', 'addr:region': 'Ярославская область', 'addr:subdistrict': 'Огарковское сельское поселение', 'name': 'Костино', 'place': 'hamlet', 'wikidata': 'Q13652766', 'wikipedia': 'ru:Костино (Огарковское сельское поселение)'}"
"node"	615797102	"Красные Ткачи"			""	"Krasnye Tkaci"	""	"work settlement of Russia"	"Q3816835"	""	"{'name': 'Красные Ткачи', 'note': 'Раньше он был Рабочий посёлок, сейчас на данный момент его упразднили до просто посёлка', 'official_status': 'ru:посёлок', 'place': 'village', 'population': '4276', 'population:date': '2015-01-01', 'wikidata': 'Q3816835', 'wikipedia': 'ru:Красные Ткачи'}"
"node"	844083815	"Костино"			""	"Kostino"	""	"hamlet"	"Q21336877"	""	"{'addr:country': 'RU', 'addr:district': 'Ярославский район', 'addr:region': 'Ярославская область', 'gns:modify_date': '2009-08-27', 'name': 'Костино', 'place': 'hamlet', 'source': 'GNS', 'source:id': '11202965', 'wikidata': 'Q21336877', 'wikipedia': 'ru:Костино (Ярославский район)'}"
"node"	1015926897	"Большое Масленниково"			""	"Bolxoie Màslennikovo"	"Bolxoie Màslennikovo"	"hamlet"	"Q1132498"	""	"{'addr:country': 'RU', 'addr:district': 'Тутаевский район', 'addr:region': 'Ярославская область', 'name': 'Большое Масленниково', 'place': 'hamlet', 'source': 'IRS', 'wikidata': 'Q1132498', 'wikipedia': 'ru:Большое Масленниково'}"
"way"	59195233	"Которосль"			""	"Kótorosl"	"Kótorosl"	"river"	"Q1146058"	""	"{'boat': 'yes', 'gvr:code': '08010300212110000010644', 'name': 'Которосль', 'waterway': 'river', 'wikidata': 'Q1146058', 'wikipedia': 'ru:Которосль'}"
"way"	147292014	"Рыбинская ГЭС"			""	"Presa de Ríbinsk, presa de Ríbinsk"	"Presa de Ríbinsk"	"dam"	"Q1964590"	""	"{'building': 'yes', 'generator:source': 'hydro', 'landuse': 'industrial', 'name': 'Рыбинская ГЭС', 'operator': 'ПАО \"РусГидро\"', 'plant:output:electricity': '376.4 MW', 'plant:source': 'hydro', 'power': 'plant', 'start_date': '1941', 'wikidata': 'Q1964590', 'wikipedia': 'ru:Рыбинская ГЭС'}"
"way"	249185151	"Которосль"			""	"Kótorosl"	"Kótorosl"	"river"	"Q1146058"	""	"{'admin_level': '9', 'boat': 'yes', 'boundary': 'administrative', 'gvr:code': '08010300212110000010644', 'name': 'Которосль', 'waterway': 'river', 'wikidata': 'Q1146058', 'wikipedia': 'ru:Которосль'}"
"relation"	2817790	"European route E 115"			""	"E115"	"E115"	"road"	"Q1375790"	"name:de=Europastraße 115, name:en=European route E 115, name:fr=Route européenne E 115, name:nl=Europese route E115, name:ru=Европейский маршрут E 115, name:sk=Európska cesta E 115"	"{'description': 'Yaroslavl - Moskva - Voronezh - Rostov-on-Don - Krasnodar - Novorossijsk', 'description:fr': 'E 115 Jaroslavl - Novorossiisk', 'name': 'European route E 115', 'name:de': 'Europastraße 115', 'name:en': 'European route E 115', 'name:fr': 'Route européenne E 115', 'name:nl': 'Europese route E115', 'name:ru': 'Европейский маршрут E 115', 'name:sk': 'Európska cesta E 115', 'network': 'e-road', 'ref': 'E 115', 'route': 'road', 'type': 'route', 'wikidata': 'Q1375790', 'wikipedia': 'en:European route E115'}"
"relation"	3335756	"городское поселение Углич"			""	"Úglitx"	"Úglitx"	"city/town"	"Q196786"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'городское поселение Углич', 'official_status': 'ru:городское поселение', 'type': 'boundary', 'wikidata': 'Q196786', 'wikipedia': 'ru:Углич'}"
"relation"	941037	"городское поселение Ростов"			""	"Rostov"	"Rostov"	"city/town"	"Q193342"	""	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'городское поселение Ростов', 'official_status': 'ru:городское поселение', 'type': 'boundary', 'wikidata': 'Q193342', 'wikipedia': 'ru:Ростов'}"
"relation"	1431914	"городской округ Рыбинск"			""	"Ríbinsk"	"Ríbinsk"	"city/town"	"Q193413"	""	"{'addr:country': 'RU', 'addr:region': 'Ярославская область', 'admin_level': '6', 'boundary': 'administrative', 'name': 'городской округ Рыбинск', 'official_status': 'ru:городской округ', 'population': '182383', 'type': 'boundary', 'wikidata': 'Q193413', 'wikipedia': 'ru:Рыбинск'}"
"relation"	13991625	"Кострома"			""	"Kostromà (riu), Kostromà"	"Kostromà (riu)"	"river"	"Q863102"	"name:en=Kostroma"	"{'name': 'Кострома', 'name:en': 'Kostroma', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q863102'}"
