"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(72223);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	1424924552	"Свердловский"			""	"Sverdlovski"	"Sverdlovski"	"posyolok"	"Q18399983"	""	"{'name': 'Свердловский', 'place': 'hamlet', 'population': '94', 'population:date': '2010-10-14', 'wikidata': 'Q18399983', 'wikipedia': 'ru:Свердловский (Курская область)'}"
"node"	975961338	"Бобрава"			""	"Bobrava"	"Bobrava"	"village"	"Q19685658"	""	"{'name': 'Бобрава', 'place': 'village', 'population': '537', 'wikidata': 'Q19685658', 'wikipedia': 'ru:Бобрава (Курская область)'}"
"node"	1478657385	"Филатово"			""	"Filàtovo"	"Filàtovo"	"village"	"Q18805176"	""	"{'name': 'Филатово', 'place': 'village', 'wikidata': 'Q18805176', 'wikipedia': 'ru:Филатово (Курская область)'}"
"node"	1521671873	"Зорино"			""	"Zorino"	"Zorino"	"village"	"Q18778107"	""	"{'name': 'Зорино', 'place': 'village', 'wikidata': 'Q18778107', 'wikipedia': 'ru:Зорино (Обоянский район)'}"
"node"	1521671904	"Пригородный"			""	"Prígorodni (Kursk)"	"Prígorodni (Kursk)"	"human settlement"	"Q56308529"	""	"{'name': 'Пригородный', 'place': 'village', 'wikidata': 'Q56308529', 'wikipedia': 'ru:Пригородный (Курская область)'}"
"node"	1523017609	"Малые Крюки"			""	"Màlie Kriuki"	"Màlie Kriuki"	"village"	"Q4278643"	""	"{'name': 'Малые Крюки', 'place': 'village', 'wikidata': 'Q4278643', 'wikipedia': 'ru:Малые Крюки'}"
"node"	1531381146	"Ефросимовка"			""	"Iefrossimovka"	""	"hamlet"	"Q18776458"	""	"{'name': 'Ефросимовка', 'place': 'hamlet', 'wikidata': 'Q18776458', 'wikipedia': 'ru:Ефросимовка (Солнцевский район)'}"
"node"	1535583447	"Бунино"			""	"Bunino (Fatej)"	"Bunino (Fatej)"	"hamlet"	"Q16020098"	""	"{'name': 'Бунино', 'place': 'hamlet', 'wikidata': 'Q16020098', 'wikipedia': 'ru:Бунино (Фатежский район)'}"
"node"	1535583243	"Поздняково"			""	"Pozdniakovo"	"Pozdniakovo"	"hamlet"	"Q18797057"	""	"{'name': 'Поздняково', 'place': 'hamlet', 'wikidata': 'Q18797057', 'wikipedia': 'ru:Поздняково (Курская область)'}"
"node"	1535584059	"Верхние Халчи"			""	"Vérkhnie Khaltxí"	"Vérkhnie Khaltxí"	"village"	"Q13641931"	""	"{'name': 'Верхние Халчи', 'place': 'hamlet', 'wikidata': 'Q13641931', 'wikipedia': 'ru:Верхние Халчи'}"
"node"	1535583211	"Суходол"			""	"Sukhodol"	"Sukhodol"	"hamlet"	"Q16129655"	""	"{'name': 'Суходол', 'place': 'hamlet', 'wikidata': 'Q16129655', 'wikipedia': 'ru:Суходол (Фатежский район)'}"
"node"	1535583258	"Амелин"			""	"Amelin"	"Amelin"	"khutor"	"Q4064130"	""	"{'name': 'Амелин', 'place': 'hamlet', 'wikidata': 'Q4064130', 'wikipedia': 'ru:Амелин (хутор)'}"
"node"	1535584024	"Костина"			""	"Kóstina"	"Kóstina"	"khutor"	"Q27598794"	""	"{'name': 'Костина', 'place': 'hamlet', 'wikidata': 'Q27598794', 'wikipedia': 'ru:Костина (Большежировский сельсовет)'}"
"node"	1535583588	"Шуклино"			""	"Xuklinó"	"Xuklinó"	"hamlet"	"Q16267580"	""	"{'name': 'Шуклино', 'place': 'hamlet', 'wikidata': 'Q16267580', 'wikipedia': 'ru:Шуклино (Курская область)'}"
"node"	1535583357	"Морозов"			""	"Morózov"	"Morózov"	"khutor"	"Q18791049"	""	"{'name': 'Морозов', 'place': 'hamlet', 'wikidata': 'Q18791049', 'wikipedia': 'ru:Морозов (Фатежский район)'}"
"node"	1535583696	"Кромская"			""	"Kromskaia"	"Kromskaia"	"hamlet"	"Q18782459"	""	"{'name': 'Кромская', 'place': 'hamlet', 'wikidata': 'Q18782459', 'wikipedia': 'ru:Кромская (Курская область)'}"
"node"	1535584010	"Бригадирово"			""	"Brigadírovo"	"Brigadírovo"	"hamlet"	"Q18768668"	""	"{'name': 'Бригадирово', 'place': 'hamlet', 'wikidata': 'Q18768668', 'wikipedia': 'ru:Бригадирово'}"
"node"	1535584236	"Любимовка"			""	"Liubímovka"	"Liubímovka"	"hamlet"	"Q18788435"	""	"{'name': 'Любимовка', 'place': 'hamlet', 'wikidata': 'Q18788435', 'wikipedia': 'ru:Любимовка (Фатежский район)'}"
"node"	1535583290	"Репринка"			""	"Reprinka"	"Reprinka"	"hamlet"	"Q18798833"	""	"{'name': 'Репринка', 'place': 'hamlet', 'wikidata': 'Q18798833', 'wikipedia': 'ru:Репринка'}"
"node"	383729575	"Большое Жирово"			""	"Bolxoie Jírovo"	"Bolxoie Jírovo"	"village"	"Q17333405"	""	"{'addr:country': 'RU', 'addr:district': 'Фатежский район', 'addr:region': 'Курская область', 'name': 'Большое Жирово', 'place': 'village', 'wikidata': 'Q17333405', 'wikipedia': 'ru:Большое Жирово'}"
"node"	1535583699	"Пролетаровка"			""	"Proletàrovka"	"Proletàrovka"	"khutor"	"Q16022976"	""	"{'name': 'Пролетаровка', 'place': 'hamlet', 'wikidata': 'Q16022976', 'wikipedia': 'ru:Пролетаровка (Курская область)'}"
"node"	1534390121	"Болонино"			""	"Bolónino"	"Bolónino"	"hamlet"	"Q19677134"	""	"{'name': 'Болонино', 'place': 'hamlet', 'wikidata': 'Q19677134', 'wikipedia': 'ru:Болонино (Курская область)'}"
"node"	1534390055	"Шахово"			""	"Xàkhovo"	"Xàkhovo"	"village"	"Q18806822"	""	"{'name': 'Шахово', 'place': 'hamlet', 'wikidata': 'Q18806822', 'wikipedia': 'ru:Шахово (Курская область)'}"
"node"	1534390202	"Портина"			""	"Portina"	"Portina"	"hamlet"	"Q18797604"	""	"{'name': 'Портина', 'place': 'hamlet', 'wikidata': 'Q18797604', 'wikipedia': 'ru:Портина'}"
"node"	736661585	"Миролюбово"			""	"Miroliúbovo"	"Miroliúbovo"	"hamlet"	"Q16021954"	""	"{'addr:country': 'RU', 'addr:district': 'Фатежский район', 'addr:region': 'Курская область', 'name': 'Миролюбово', 'place': 'village', 'wikidata': 'Q16021954', 'wikipedia': 'ru:Миролюбово (Курская область)'}"
"node"	1534390674	"Сухочево"			""	"Sukhotxevo"	"Sukhotxevo"	"village"	"Q19677158"	""	"{'name': 'Сухочево', 'place': 'hamlet', 'wikidata': 'Q19677158', 'wikipedia': 'ru:Сухочево (Курская область)'}"
"node"	1534390711	"Гуровка"			""	"Gurovka"	"Gurovka"	"hamlet"	"Q18773942"	""	"{'name': 'Гуровка', 'place': 'hamlet', 'wikidata': 'Q18773942', 'wikipedia': 'ru:Гуровка (Курская область)'}"
"node"	1534389965	"Путчино"			""	"Púttxino"	"Púttxino"	"hamlet"	"Q19677154"	""	"{'name': 'Путчино', 'place': 'hamlet', 'wikidata': 'Q19677154', 'wikipedia': 'ru:Путчино (Курская область)'}"
"node"	1534389719	"Игино"			""	"Íguino"	"Íguino"	"village"	"Q19677142"	""	"{'name': 'Игино', 'place': 'hamlet', 'wikidata': 'Q19677142', 'wikipedia': 'ru:Игино (Курская область)'}"
"node"	1534390798	"Нижний Любаж"			""	"Nijni Liubaj"	"Nijni Liubaj"	"hamlet"	"Q18792151"	""	"{'name': 'Нижний Любаж', 'place': 'hamlet', 'wikidata': 'Q18792151', 'wikipedia': 'ru:Нижний Любаж'}"
