"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(72169);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	3103398033	"Беляево"			"площадка Беляево"	"Beliàievo"	"Beliàievo"	"village"	"Q4083494"	""	"{'alt_name': 'площадка Беляево', 'name': 'Беляево', 'place': 'hamlet', 'population': '80', 'wikidata': 'Q4083494', 'wikipedia': 'ru:Беляево (Липецкая область)'}"
"node"	4849152938	"Урусово"			""	"Urusovo"	""	"human settlement"	"Q4477408"	""	"{'name': 'Урусово', 'place': 'hamlet', 'wikidata': 'Q4477408', 'wikipedia': 'ru:Урусово (село, Липецкая область)'}"
"way"	188451023	"Санаторий-профилакторий Сухоборье"			""	"Sukhobórie"	"Sukhobórie"	"posyolok"	"Q4447102"	""	"{'contact:website': 'http://www.npnmc.lipetsk.ru/suhoborie.html', 'landuse': 'residential', 'leisure': 'recreation_ground', 'name': 'Санаторий-профилакторий Сухоборье', 'wikidata': 'Q4447102', 'wikipedia': 'ru:Сухоборье'}"
"relation"	2817790	"European route E 115"			""	"E115"	"E115"	"road"	"Q1375790"	"name:de=Europastraße 115, name:en=European route E 115, name:fr=Route européenne E 115, name:nl=Europese route E115, name:ru=Европейский маршрут E 115, name:sk=Európska cesta E 115"	"{'description': 'Yaroslavl - Moskva - Voronezh - Rostov-on-Don - Krasnodar - Novorossijsk', 'description:fr': 'E 115 Jaroslavl - Novorossiisk', 'name': 'European route E 115', 'name:de': 'Europastraße 115', 'name:en': 'European route E 115', 'name:fr': 'Route européenne E 115', 'name:nl': 'Europese route E115', 'name:ru': 'Европейский маршрут E 115', 'name:sk': 'Európska cesta E 115', 'network': 'e-road', 'ref': 'E 115', 'route': 'road', 'type': 'route', 'wikidata': 'Q1375790', 'wikipedia': 'en:European route E115'}"
"relation"	1113768	"Усманский район"			""	"districte d'Usmansky"	""	"municipal district"	"Q1658666"	"name:de=Bezirk Usman, name:en=Usmansky District"	"{'addr:country': 'RU', 'addr:region': 'Липецкая область', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Усманский район', 'name:de': 'Bezirk Usman', 'name:en': 'Usmansky District', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q1658666', 'wikipedia': 'ru:Усманский район'}"
"relation"	1116714	"Измалковский район"			""	"raion d'Izmàlkovo"	""	"municipal district"	"Q2217597"	"name:en=Izmalkovsky District"	"{'addr:country': 'RU', 'addr:region': 'Липецкая область', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Измалковский район', 'name:en': 'Izmalkovsky District', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q2217597', 'wikipedia': 'ru:Измалковский район'}"
"relation"	1113578	"Тербунский район"			""	"Districte de Terbunsky"	""	"municipal district"	"Q1655801"	"name:en=Terbunsky District"	"{'addr:country': 'RU', 'addr:region': 'Липецкая область', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Тербунский район', 'name:en': 'Terbunsky District', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q1655801', 'wikipedia': 'ru:Тербунский район'}"
"relation"	1398471	"городское поселение Грязи"			""	"Griazi"	"Griazi"	"city/town"	"Q134663"	"official_name=городское поселение Город Грязи"	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'городское поселение Грязи', 'official_name': 'городское поселение Город Грязи', 'official_status': 'ru:городское поселение', 'type': 'boundary', 'wikidata': 'Q134663', 'wikipedia': 'ru:Грязи'}"
"relation"	1016667	"Ранова"			""	"Ranova"	""	"river"	"Q1112013"	""	"{'destination': 'Проня', 'name': 'Ранова', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q1112013', 'wikipedia': 'ru:Ранова'}"
