"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(147166);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	2399004541	"Кувыкта"			""	"Kuvykta"	""	"posyolok"	"Q19690715"	""	"{'addr:country': 'RU', 'addr:district': 'Тындинский муниципальный округ', 'addr:region': 'Амурская область', 'name': 'Кувыкта', 'place': 'village', 'population': '278', 'population:date': '2018-01-01', 'wikidata': 'Q19690715', 'wikipedia': 'ru:Кувыкта'}"
"way"	38066022	"Арги"			""	"Arguí, riu Arguí, Argui, riu Argui"	""	"river"	"Q1108965"	"int_name=Argi"	"{'boat': 'no', 'int_name': 'Argi', 'name': 'Арги', 'waterway': 'river', 'wikidata': 'Q1108965', 'wikipedia': 'ru:Арги'}"
"relation"	3972380	"Asian Highway AH31"			""	"AH31"	""	"road"	"Q25285104"	"name:en=Asian Highway AH31, name:ru=Азиатский маршрут AH31"	"{'description': 'Belogorsk — Blagoveshchensk — Heihe — Harbin — Changchun — Shenyang — Dalian', 'int_ref': 'AH31', 'name': 'Asian Highway AH31', 'name:en': 'Asian Highway AH31', 'name:ru': 'Азиатский маршрут AH31', 'network': 'AsianHighway', 'ref': 'AH31', 'route': 'road', 'type': 'route', 'wikidata': 'Q25285104', 'wikipedia': 'en:AH31'}"
"relation"	1714061	"Бурейский муниципальный округ"			"Бурейский район"	"raion de Bureiski"	""	"municipal district"	"Q2217150"	"name:en=Bureysky District, name:ja=ブレヤ地区"	"{'addr:country': 'RU', 'addr:region': 'Амурская область', 'admin_level': '6', 'alt_name': 'Бурейский район', 'boundary': 'administrative', 'name': 'Бурейский муниципальный округ', 'name:en': 'Bureysky District', 'name:ja': 'ブレヤ地区', 'official_status': 'ru:муниципальный округ', 'type': 'boundary', 'website': 'http://admbur.ru/', 'wikidata': 'Q2217150', 'wikipedia': 'ru:Бурейский район'}"
"relation"	1749238	"Магдагачинский район"			""	"raion de Magdagatxi, districte de Magdagatxi"	""	"municipal district"	"Q2216735"	"name:de=Rajon Magdagatschi, name:en=Magdagachinsky District, name:ja=マグダガチ地区, name:ru=Магдагачинский район"	"{'addr:country': 'RU', 'addr:region': 'Амурская область', 'admin_level': '6', 'boundary': 'administrative', 'name': 'Магдагачинский район', 'name:de': 'Rajon Magdagatschi', 'name:en': 'Magdagachinsky District', 'name:ja': 'マグダガチ地区', 'name:ru': 'Магдагачинский район', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q2216735', 'wikipedia': 'ru:Магдагачинский район'}"
"relation"	5266242	"городское поселение Сиваки"			""	"Sivakí"	"Sivakí"	"work settlement of Russia"	"Q2290813"	"official_name=городское поселение Рабочий посёлок (посёлок городского типа) Сиваки"	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'городское поселение Сиваки', 'note': 'Граница нарисована из общей схемы района. Требует уточнения из Генплана поселения.', 'official_name': 'городское поселение Рабочий посёлок (посёлок городского типа) Сиваки', 'official_status': 'ru:городское поселение', 'type': 'boundary', 'wikidata': 'Q2290813', 'wikipedia': 'ru:Сиваки'}"
"relation"	5266243	"городское поселение Ушумун"			""	"Uixumun"	"Uixumun"	"work settlement of Russia"	"Q2502487"	"official_name=городское поселение Рабочий посёлок (посёлок городского типа) Ушумун"	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'городское поселение Ушумун', 'note': 'Граница нарисована из общей схемы района. Требует уточнения из Генплана поселения.', 'official_name': 'городское поселение Рабочий посёлок (посёлок городского типа) Ушумун', 'official_status': 'ru:городское поселение', 'type': 'boundary', 'wikidata': 'Q2502487', 'wikipedia': 'ru:Ушумун'}"
"relation"	3974853	"городское поселение Сковородино"			""	"Skovorodinó"	"Skovorodinó"	"city/town"	"Q194648"	"official_name=городское поселение Город Сковородино"	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'городское поселение Сковородино', 'official_name': 'городское поселение Город Сковородино', 'official_status': 'ru:городское поселение', 'type': 'boundary', 'wikidata': 'Q194648', 'wikipedia': 'ru:Сковородино'}"
"relation"	5266241	"городское поселение Магдагачи"			""	"Magdagatxi"	"Magdagatxi"	"work settlement of Russia"	"Q912758"	"official_name=городское поселение Рабочий посёлок (посёлок городского типа) Магдагачи"	"{'admin_level': '8', 'boundary': 'administrative', 'name': 'городское поселение Магдагачи', 'note': 'Граница нарисована из общей схемы района. Требует уточнения из Генплана поселения.', 'official_name': 'городское поселение Рабочий посёлок (посёлок городского типа) Магдагачи', 'official_status': 'ru:городское поселение', 'type': 'boundary', 'wikidata': 'Q912758', 'wikipedia': 'ru:Магдагачи'}"
"relation"	179333	"Селемджа"			""	"Selemdjà, riu Selemdjà, Selemdja, riu Selemdja"	""	"river"	"Q1138427"	"int_name=Selemdzha"	"{'destination': 'Zeya', 'gvr:code': '20030400312118100033848', 'int_name': 'Selemdzha', 'name': 'Селемджа', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q1138427', 'wikipedia': 'ru:Селемджа (река)'}"
