"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"
"Calle"					"way"	"  14148278"		"{'highway': 'residential', 'name': 'Calle', 'oneway': 'yes'}"	"Carrer"	
"Calle 11"					"way"	"  37872074"		"{'highway': 'pedestrian', 'name': 'Calle 11'}"	"Carrer 11"	
"Calle 11"					"way"	" 220965010"		"{'highway': 'residential', 'name': 'Calle 11'}"	"Carrer 11"	
"Calle 11"					"way"	"  37872075"		"{'highway': 'residential', 'name': 'Calle 11', 'oneway': 'yes'}"	"Carrer 11"	
"Calle 12"					"way"	"  37872071"		"{'highway': 'residential', 'name': 'Calle 12'}"	"Carrer 12"	
"Calle 13"					"way"	" 220964989"		"{'highway': 'residential', 'name': 'Calle 13'}"	"Carrer 13"	
"Calle 14"					"way"	"  37872086"		"{'highway': 'residential', 'name': 'Calle 14'}"	"Carrer 14"	
"Calle 15"					"way"	"  37872070"		"{'highway': 'residential', 'name': 'Calle 15', 'oneway': 'yes'}"	"Carrer 15"	
"Calle 16"					"way"	" 220965001"		"{'highway': 'residential', 'name': 'Calle 16', 'oneway': 'yes'}"	"Carrer 16"	
"Calle 16"					"way"	"  37872067"		"{'highway': 'residential', 'name': 'Calle 16', 'oneway': 'yes'}"	"Carrer 16"	
"Calle 17"					"way"	"  37872062"		"{'highway': 'residential', 'name': 'Calle 17', 'oneway': 'yes'}"	"Carrer 17"	
"Calle 17"					"way"	" 220964968"		"{'highway': 'residential', 'name': 'Calle 17', 'oneway': 'no'}"	"Carrer 17"	
"Calle 18"					"way"	" 220965002"		"{'highway': 'residential', 'name': 'Calle 18', 'oneway': 'yes'}"	"Carrer 18"	
"Calle 19"					"way"	" 220964979"		"{'highway': 'residential', 'name': 'Calle 19'}"	"Carrer 19"	
"Calle 19"					"way"	"  37872063"		"{'highway': 'residential', 'name': 'Calle 19'}"	"Carrer 19"	
"Calle 20"					"way"	"  37872064"		"{'highway': 'residential', 'name': 'Calle 20', 'oneway': 'yes'}"	"Carrer 20"	
"Calle 21"					"way"	"  37872089"		"{'highway': 'pedestrian', 'name': 'Calle 21'}"	"Carrer 21"	
"Calle 21"					"way"	"  37872088"		"{'highway': 'residential', 'name': 'Calle 21', 'oneway': 'yes'}"	"Carrer 21"	
"Calle 22"					"way"	"  37872093"		"{'highway': 'residential', 'name': 'Calle 22', 'oneway': 'yes'}"	"Carrer 22"	
"Calle 23"					"way"	"  37872092"		"{'highway': 'residential', 'name': 'Calle 23', 'oneway': 'yes'}"	"Carrer 23"	
"Calle 24"					"way"	"  37872091"		"{'highway': 'residential', 'name': 'Calle 24', 'oneway': 'yes'}"	"Carrer 24"	
"Calle 25"					"way"	"  37872090"		"{'highway': 'residential', 'name': 'Calle 25', 'oneway': 'yes'}"	"Carrer 25"	
"Calle 26"					"way"	"  37872095"		"{'highway': 'residential', 'name': 'Calle 26', 'oneway': 'yes'}"	"Carrer 26"	
"Calle 27"					"way"	" 220964992"		"{'highway': 'residential', 'name': 'Calle 27'}"	"Carrer 27"	
"Calle 28"					"way"	" 220965003"		"{'highway': 'residential', 'name': 'Calle 28'}"	"Carrer 28"	
"Calle 29"					"way"	"  37872087"		"{'highway': 'residential', 'name': 'Calle 29', 'oneway': 'no'}"	"Carrer 29"	
"Calle 29"					"way"	" 220964977"		"{'highway': 'residential', 'name': 'Calle 29'}"	"Carrer 29"	
"Calle 30"					"way"	" 220964955"		"{'highway': 'residential', 'name': 'Calle 30'}"	"Carrer 30"	
"Calle 30"					"way"	"  37872079"		"{'highway': 'residential', 'name': 'Calle 30', 'oneway': 'yes'}"	"Carrer 30"	
"Calle 30"					"way"	" 220964991"		"{'highway': 'residential', 'name': 'Calle 30'}"	"Carrer 30"	
"Calle 30"					"way"	" 220964970"		"{'highway': 'residential', 'name': 'Calle 30', 'oneway': 'yes'}"	"Carrer 30"	
"Calle 6"					"way"	" 220964993"		"{'highway': 'residential', 'name': 'Calle 6', 'oneway': 'yes'}"	"Carrer 6"	
"Calle 6"					"way"	" 220964996"		"{'highway': 'residential', 'name': 'Calle 6', 'oneway': 'yes'}"	"Carrer 6"	
"Calle 6"					"way"	" 220964964"		"{'highway': 'residential', 'name': 'Calle 6', 'oneway': 'yes'}"	"Carrer 6"	
"Calle 6"					"way"	" 220964956"		"{'highway': 'residential', 'name': 'Calle 6'}"	"Carrer 6"	
"Calle 6"					"way"	" 220964962"		"{'highway': 'residential', 'name': 'Calle 6'}"	"Carrer 6"	
"Calle 7"					"way"	"  37872083"		"{'highway': 'residential', 'name': 'Calle 7', 'oneway': 'yes'}"	"Carrer 7"	
"Calle 8 de Març"					"way"	" 219799007"		"{'highway': 'residential', 'name': 'Calle 8 de Març', 'oneway': 'yes'}"	"Carrer 8 de Març"	
"Calle 9"					"way"	" 220964965"		"{'highway': 'residential', 'name': 'Calle 9', 'oneway': 'yes'}"	"Carrer 9"	
"Calle 9"					"way"	"  37872077"		"{'highway': 'residential', 'name': 'Calle 9', 'oneway': 'yes'}"	"Carrer 9"	
"Calle 9"					"way"	"  37872076"		"{'highway': 'residential', 'name': 'Calle 9', 'oneway': 'yes'}"	"Carrer 9"	
"Calle 9"					"way"	" 220965016"		"{'highway': 'residential', 'name': 'Calle 9', 'oneway': 'no'}"	"Carrer 9"	
"Calle Abedul"					"way"	" 221133369"		"{'highway': 'residential', 'name': 'Calle Abedul'}"	"Carrer Bedoll"	
"Calle Abeto"					"way"	" 701193511"		"{'highway': 'residential', 'name': 'Calle Abeto'}"	"Carrer Avet"	
"Calle Acacia"					"way"	" 221133372"		"{'highway': 'residential', 'name': 'Calle Acacia'}"	"Carrer Acàcia"	
"Calle Académico Segura"					"way"	"  10559204"		"{'highway': 'residential', 'name': 'Calle Académico Segura', 'oneway': 'yes'}"	"Carrer Acadèmic Segura"	
"Calle Acequia Nueva"					"way"	" 226118826"		"{'highway': 'unclassified', 'name': 'Calle Acequia Nueva'}"	"Carrer Acequia Nueva"	
