"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"
"Calle del Castillo"					"way"	"504586261"		"{'highway': 'secondary', 'lanes': '1', 'name': 'Calle del Castillo', 'oneway': 'yes', 'ref': 'CV-215', 'surface': 'asphalt'}"	"Carrer del Castell"	
"Calle del Castillo"					"way"	" 77760597"		"{'highway': 'secondary', 'lanes': '2', 'name': 'Calle del Castillo', 'oneway': 'no', 'ref': 'CV-215', 'surface': 'asphalt'}"	"Carrer del Castell"	
"Calle del Castillo"					"way"	"304240240"		"{'highway': 'footway', 'name': 'Calle del Castillo'}"	"Carrer del Castell"	
"Calle del Castillo"					"way"	"517071022"		"{'highway': 'secondary', 'lanes': '1', 'name': 'Calle del Castillo', 'oneway': 'yes', 'ref': 'CV-215', 'surface': 'asphalt'}"	"Carrer del Castell"	
"Calle del Pozo"					"way"	"293573814"		"{'highway': 'residential', 'name': 'Calle del Pozo', 'oneway': 'no'}"	"Carrer del Pou"	
"Calle del Pozo"					"way"	" 49616995"		"{'highway': 'residential', 'name': 'Calle del Pozo', 'oneway': 'yes'}"	"Carrer del Pou"	
"Calle Escuelas"					"way"	" 46039172"		"{'highway': 'service', 'name': 'Calle Escuelas', 'service': 'alley'}"	"Carrer Escoles"	
"Calle Escuelas"					"way"	" 46039151"		"{'highway': 'living_street', 'name': 'Calle Escuelas'}"	"Carrer Escoles"	
"Calle Escuelas"					"way"	" 46039171"		"{'highway': 'service', 'name': 'Calle Escuelas', 'service': 'alley'}"	"Carrer Escoles"	
"Calle Escuelas"					"way"	" 46039154"		"{'highway': 'living_street', 'name': 'Calle Escuelas'}"	"Carrer Escoles"	
"Calle Escuelas"					"way"	" 46039164"		"{'highway': 'living_street', 'name': 'Calle Escuelas'}"	"Carrer Escoles"	
"Calle Escuelas"					"way"	" 46039152"		"{'highway': 'service', 'name': 'Calle Escuelas', 'service': 'alley'}"	"Carrer Escoles"	
