"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"wikidata_type"	"multilang_names"	"all_tags"
"Calle Balls del Birrey"		"Camino P3"	"Camí P3"				"way"	"167631493"		""	"{'alt_name': 'Camino P3', 'alt_name:ca': 'Camí P3', 'highway': 'residential', 'name': 'Calle Balls del Birrey', 'oneway': 'yes'}"
"Calle Constitución"	"Carrer Constitució"						"way"	"167832211"		""	"{'highway': 'residential', 'name': 'Calle Constitución', 'oneway': 'yes'}"
"Calle Maestro Granados"	"Carrer Mestre Granados"						"way"	"167857017"		""	"{'highway': 'residential', 'name': 'Calle Maestro Granados', 'oneway': 'yes'}"
"Calle San Antonio"	"Carrer Sant Antoni"						"way"	"220469785"		""	"{'highway': 'residential', 'name': 'Calle San Antonio', 'oneway': 'yes'}"
"Calle San Antonio"	"Carrer Sant Antoni"						"way"	"167790611"		""	"{'highway': 'residential', 'name': 'Calle San Antonio', 'oneway': 'yes'}"
"Calle San Cristobal"	"Carrer Sant Cristòfol"						"way"	"173916979"		""	"{'highway': 'living_street', 'name': 'Calle San Cristobal'}"
"Calle San Isidro Labrador"	"Carrer Sant Isidre Llaurador"						"way"	"167884075"		""	"{'highway': 'residential', 'name': 'Calle San Isidro Labrador', 'oneway': 'yes'}"
"Calle San Isidro Labrador"	"Carrer Sant Isidre Llaurador"						"way"	"167735893"		""	"{'highway': 'residential', 'name': 'Calle San Isidro Labrador', 'oneway': 'yes'}"
"Calle San Isidro Labrador"	"Carrer Sant Isidre Llaurador"						"way"	"167735886"		""	"{'highway': 'residential', 'name': 'Calle San Isidro Labrador', 'oneway': 'yes'}"
"Calle San Jaime"	"Carrer Sant Jaume"						"way"	"746214980"		""	"{'highway': 'residential', 'name': 'Calle San Jaime'}"
"Calle San Jaime"	"Carrer Sant Jaume"						"way"	"167733958"		""	"{'highway': 'residential', 'name': 'Calle San Jaime', 'oneway': 'yes'}"
"Calle San Vicente"	"Carrer Sant Vicent"						"way"	"871822357"		""	"{'highway': 'residential', 'name': 'Calle San Vicente'}"
"Calle San Vicente"	"Carrer Sant Vicent"						"way"	"167839737"		""	"{'highway': 'residential', 'name': 'Calle San Vicente', 'oneway': 'yes'}"
"Calle Santo Tomás"	"Carrer Sant Tomàs"						"way"	"167826386"		""	"{'highway': 'pedestrian', 'name': 'Calle Santo Tomás'}"
