"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Azahar"	"Carrer Azahar"					
"Calle San José"	"Carrer San José"					
"Calle La Perdiz"	"Carrer La Perdiz"					
"Calle Ensanz"	"Carrer Ensanz"					
"Calle San Roque"	"Carrer San Roque"					
"Calle del Diablo"	"Carrer del Diablo"					
"Calle del Monte"	"Carrer del Monte"					
"Calle Antonio Castell"	"Carrer Antonio Castell"					
"Calle Virgen Ermitaña"	"Carrer Virgen Ermitaña"					
"Calle Jaime Sanz Roca"	"Carrer Jaime Sanz Roca"					
"Calle Portal del Desafio"	"Carrer Portal del Desafio"					
"Calle Los Olivos"	"Carrer Los Olivos"					
"Calle Los Naranjos"	"Carrer Los Naranjos"					
"Calle Las Adelfas"	"Carrer Las Adelfas"					
"Calle Obispo Marrón"	"Carrer Obispo Marrón"					
"Calle Bajo Casas"	"Carrer Bajo Casas"					
"Calle Treascasas"	"Carrer Treascasas"					
"Calle Porche"	"Carrer Porche"					
"Calle Virgén de la Fuente de la Salud"	"Carrer Virgén de la Fuente de la Salud"					
"Calle Médico Barreda"	"Carrer Médico Barreda"					
"Calle Virgén Buen Suceso"	"Carrer Virgén Buen Suceso"					
"Calle Canonigos Celma"	"Carrer Canonigos Celma"					
"Calle Capero"	"Carrer Capero"					
"Calle Cuatro Esquinas"	"Carrer Cuatro Esquinas"					
"Calle Glasada"	"Carrer Glasada"					
"Calle Virgén de Gracia"	"Carrer Virgén de Gracia"					
"Calle San Ignacio"	"Carrer San Ignacio"					
"Calle San Caetano"	"Carrer San Caetano"					
"Calle San Sebastian"	"Carrer San Sebastian"					
"Calle Las Almas"	"Carrer Las Almas"					
"Calle Nuestra Señora del Remedio"	"Carrer Nuestra Señora del Remedio"					
"Calle San Rafael del Rio"	"Carrer San Rafael del Rio"					
