"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Arcos"	"Carrer Arcos"					
"Calle San Sebastian"	"Carrer San Sebastian"					
"Calle San José de Calasanz"	"Carrer San José de Calasanz"					
"Calle San Agustín"	"Carrer San Agustín"					
"Calle Suelo Villa"	"Carrer Suelo Villa"					
"Calle Alta San Agustín"	"Carrer Alta San Agustín"					
"Calle Mala Freixura"	"Carrer Mala Freixura"					
"Calle Tercera"	"Carrer Tercera"					
"Calle Sisto Zaporta"	"Carrer Sisto Zaporta"					
"Calle Aurignac"	"Carrer Aurignac"					
"Calle Unica"	"Carrer Unica"					
"Calle La Balsa"	"Carrer La Balsa"					
"Calle La Paja"	"Carrer La Paja"					
"Calle Abajo"	"Carrer Abajo"					
"Calle Medio"	"Carrer Medio"					
"Calle San Juan"	"Carrer San Juan"					
"Calle Mayor"	"Carrer Mayor"					
"Calle San Miguel"	"Carrer San Miguel"					
"Calle Pincontor"	"Carrer Pincontor"					
"Calle Almuzara"	"Carrer Almuzara"					
"Calle Pedro Pach"	"Carrer Pedro Pach"					
"Calle San Mateo"	"Carrer San Mateo"					
"Calle Pedro Pac"	"Carrer Pedro Pac"					
"Calle Fuente"	"Carrer Fuente"					
"Calle Barrio Nuevo"	"Carrer Barrio Nuevo"					
"Calle San Martin"	"Carrer San Martin"					
"Calle La Virgen"	"Carrer La Virgen"					
"Calle Clemente"	"Carrer Clemente"					
"Calle La Cruz"	"Carrer La Cruz"					
"Calle Jacinto Perez"	"Carrer Jacinto Perez"					
"Calle San Roque"	"Carrer San Roque"					
