"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","type","id","name","parcial","admin_level","historic:admin_level","informe"
"PV","l'Alacantí",61,58,1,1,FALSE,"relation",1692438,"l'Alacantí",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-l'Alacantí_name-parque.tsv"
"PV","el Camp de Túria",77,55,0,0,FALSE,"relation",1691746,"el Camp de Túria",TRUE,7,NA,"PPCC/parque-parc/informes/informe-PV-el Camp de Túria_name-parque.tsv"
"PV","el Vinalopó Mitjà",49,48,0,0,FALSE,"relation",1692446,"el Vinalopó Mitjà / El Vinalopó Medio",TRUE,7,NA,"PPCC/parque-parc/informes/informe-PV-el Vinalopó Mitjà_name-parque.tsv"
"PV","la Marina Baixa",44,43,0,0,FALSE,"relation",1692445,"la Marina Baixa",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-la Marina Baixa_name-parque.tsv"
"PV","l'Horta Oest",45,33,0,0,FALSE,"relation",1691750,"l'Horta Oest",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-l'Horta Oest_name-parque.tsv"
"PV","la Safor",35,32,0,0,FALSE,"relation",1691758,"la Safor",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-la Safor_name-parque.tsv"
"PV","la Plana Alta",31,28,0,0,FALSE,"relation",1690975,"la Plana Alta",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-la Plana Alta_name-parque.tsv"
"PV","la Ribera Alta",52,27,0,0,FALSE,"relation",1691755,"la Ribera Alta",TRUE,7,NA,"PPCC/parque-parc/informes/informe-PV-la Ribera Alta_name-parque.tsv"
"PV","la Plana Baixa",26,24,0,0,FALSE,"relation",1690976,"la Plana Baixa",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-la Plana Baixa_name-parque.tsv"
"PV","Comarca de València",27,23,0,0,FALSE,"relation",5813174,"Comarca de València",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-Comarca de València_name-parque.tsv"
"PV","el Baix Vinalopó",23,22,0,0,FALSE,"relation",1692440,"el Baix Vinalopó",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-el Baix Vinalopó_name-parque.tsv"
"PV","l'Horta Nord",25,20,0,0,FALSE,"relation",1691749,"l'Horta Nord",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-l'Horta Nord_name-parque.tsv"
"PV","l'Horta Sud",18,18,0,0,FALSE,"relation",1691751,"l'Horta Sud",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-l'Horta Sud_name-parque.tsv"
"Illes","Menorca",23,17,0,0,FALSE,"relation",2182003,"Menorca",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Illes-Menorca_name-parque.tsv"
"PV","la Marina Alta",18,16,0,0,FALSE,"relation",1692443,"la Marina Alta",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-la Marina Alta_name-parque.tsv"
"Principat","Baix Llobregat",20,16,0,0,FALSE,"relation",2809457,"Baix Llobregat",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Baix Llobregat_name-parque.tsv"
"PV","l'Alcoià",16,15,0,0,FALSE,"relation",1692442,"l'Alcoià",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-l'Alcoià_name-parque.tsv"
"Illes","Palma",13,13,0,0,FALSE,"relation",2174951,"Palma",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Illes-Palma_name-parque.tsv"
"Illes","Eivissa",13,12,0,0,FALSE,"relation",2181664,"Eivissa",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Illes-Eivissa_name-parque.tsv"
"PV","la Vall d'Albaida",13,12,0,0,FALSE,"relation",1691760,"la Vall d'Albaida",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-la Vall d'Albaida_name-parque.tsv"
"Principat","Vallès Occidental",12,11,0,0,FALSE,"relation",2350067,"Vallès Occidental",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Vallès Occidental_name-parque.tsv"
"Franja","La Llitera",11,10,0,0,FALSE,"relation",6488338,"La Litera / La Llitera",TRUE,7,NA,"PPCC/parque-parc/informes/informe-Franja-La Llitera_name-parque.tsv"
"PV","els Ports",18,9,0,0,FALSE,"relation",1110951,"els Ports",TRUE,7,NA,"PPCC/parque-parc/informes/informe-PV-els Ports_name-parque.tsv"
"Illes","Serra de Tramuntana",8,8,0,0,FALSE,"relation",2175756,"Serra de Tramuntana",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Illes-Serra de Tramuntana_name-parque.tsv"
"Franja","Baix Cinca",7,7,0,0,FALSE,"relation",6488361,"Bajo Cinca / Baix Cinca",TRUE,7,NA,"PPCC/parque-parc/informes/informe-Franja-Baix Cinca_name-parque.tsv"
"PV","el Camp de Morvedre",7,7,0,0,FALSE,"relation",1691745,"el Camp de Morvedre",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-el Camp de Morvedre_name-parque.tsv"
"Principat","Baix Penedès",7,7,0,0,FALSE,"relation",2822410,"Baix Penedès",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Baix Penedès_name-parque.tsv"
"Principat","Tarragonès",7,7,0,0,FALSE,"relation",2822691,"Tarragonès",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Tarragonès_name-parque.tsv"
"Principat","Terra Alta",7,7,0,0,FALSE,"relation",2829953,"Terra Alta",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Terra Alta_name-parque.tsv"
"Principat","Maresme",6,6,0,0,FALSE,"relation",2140187,"Maresme",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Maresme_name-parque.tsv"
"Principat","Vallès Oriental",6,6,0,0,FALSE,"relation",2417929,"Vallès Oriental",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Vallès Oriental_name-parque.tsv"
"Franja","Matarranya",4,4,0,0,FALSE,"relation",6630537,"Matarraña / Matarranya",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Franja-Matarranya_name-parque.tsv"
"Principat","Barcelonès",4,4,0,0,FALSE,"relation",2417889,"Barcelonès",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Barcelonès_name-parque.tsv"
"Principat","Garrigues",4,4,0,0,FALSE,"relation",2819870,"Garrigues",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Garrigues_name-parque.tsv"
"PV","el Baix Maestrat",3,3,0,0,FALSE,"relation",1690974,"el Baix Maestrat",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-el Baix Maestrat_name-parque.tsv"
"PV","la Ribera Baixa",3,3,0,0,FALSE,"relation",1691756,"la Ribera Baixa",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-la Ribera Baixa_name-parque.tsv"
"Principat","Anoia",3,3,0,0,FALSE,"relation",2808804,"Anoia",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Principat-Anoia_name-parque.tsv"
"Illes","Llevant",2,2,0,0,FALSE,"relation",2176079,"Llevant",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Illes-Llevant_name-parque.tsv"
"Illes","Migjorn",2,2,0,0,FALSE,"relation",2174950,"Migjorn",FALSE,7,NA,"PPCC/parque-parc/informes/informe-Illes-Migjorn_name-parque.tsv"
"PV","l'Alt Maestrat",4,2,0,0,FALSE,"relation",1690971,"l'Alt Maestrat",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-l'Alt Maestrat_name-parque.tsv"
"PV","la Costera",2,2,0,0,FALSE,"relation",1691752,"la Costera",FALSE,7,NA,"PPCC/parque-parc/informes/informe-PV-la Costera_name-parque.tsv"
