"type","id","name","name:ca","parcial","regio","admin_level","historic:admin_level","informe","cmd","nObjects","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat"
"relation",2810705,"Pallars Sobirà","Pallars Sobirà",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Pallars Sobirà_name-calle.tsv","",0,0,0,0,FALSE
"relation",2810808,"Alta Ribagorça","Alta Ribagorça",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Alta Ribagorça_name-calle.tsv","",0,0,0,0,FALSE
"relation",2810954,"Pallars Jussà","Pallars Jussà",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Pallars Jussà_name-calle.tsv","",0,0,0,0,FALSE
"relation",2815579,"Segarra","Segarra",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Segarra_name-calle.tsv","",0,0,0,0,FALSE
"relation",2816276,"Noguera","Noguera",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Noguera_name-calle.tsv","",0,0,0,0,FALSE
"relation",2818895,"Urgell","Urgell",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Urgell_name-calle.tsv","",0,0,0,0,FALSE
"relation",2819346,"Pla d'Urgell","Pla d'Urgell",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Pla d'Urgell_name-calle.tsv","",0,0,0,0,FALSE
"relation",2819857,"Segrià","Segrià",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Segrià_name-calle.tsv","",0,0,0,0,FALSE
"relation",2819870,"Garrigues","Garrigues",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Garrigues_name-calle.tsv","",0,0,0,0,FALSE
"relation",2822039,"Conca de Barberà","Conca de Barberà",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Conca de Barberà_name-calle.tsv","",0,0,0,0,FALSE
"relation",2822130,"Alt Camp","Alt Camp",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Alt Camp_name-calle.tsv","",0,0,0,0,FALSE
"relation",2822410,"Baix Penedès","Baix Penedès",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Baix Penedès_name-calle.tsv","",0,0,0,0,FALSE
"relation",2822691,"Tarragonès","Tarragonès",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Tarragonès_name-calle.tsv","",0,0,0,0,FALSE
"relation",2824935,"Baix Camp","Baix Camp",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Baix Camp_name-calle.tsv","",0,0,0,0,FALSE
"relation",2826145,"Priorat","Priorat",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Priorat_name-calle.tsv","",0,0,0,0,FALSE
"relation",2826423,"Baix Ebre","Baix Ebre",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Baix Ebre_name-calle.tsv","",0,0,0,0,FALSE
"relation",2827413,"Montsià","Montsià",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Montsià_name-calle.tsv","",0,0,0,0,FALSE
"relation",2829952,"Ribera d'Ebre","Ribera d'Ebre",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Ribera d'Ebre_name-calle.tsv","",0,0,0,0,FALSE
"relation",2829953,"Terra Alta","Terra Alta",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Terra Alta_name-calle.tsv","",0,0,0,0,FALSE
"relation",4791885,"Moianès","Moianès",FALSE,"Principat",7,NA,"ppcc/calle-carrer/informes/informe-Principat-Moianès_name-calle.tsv","",0,0,0,0,FALSE
"relation",1691749,"l'Horta Nord","l'Horta Nord",FALSE,"PV",7,NA,"ppcc/calle-carrer/informes/informe-PV-l'Horta Nord_name-calle.tsv","",0,0,0,0,TRUE
"relation",1692447,"el Baix Segura / La Vega Baja del Segura","el Baix Segura",TRUE,"PV",7,NA,"ppcc/calle-carrer/informes/informe-PV-el Baix Segura_name-calle.tsv","",0,0,0,0,TRUE
"relation",40581,"Alghero - L'Alguer","L'Alguer",FALSE,"Sardenya",8,NA,"ppcc/calle-carrer/informes/informe-Sardenya-L'Alguer_name-calle.tsv","",0,0,0,0,FALSE
