"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Parque 2"	"Parc 2"					
"Parque 6"	"Parc 6"					
"Parque 7"	"Parc 7"					
"Parque 8"	"Parc 8"					
"Parque Azorín"	"Parc Azorín"					
"Parque Clara Campoamor"	"Parc Clara Campoamor"					
"Parque de la Senyera"	"Parc de la Senyera"					
"Parque de Lepanto"	"Parc de Lepant"	"Parc de Lepanto"				
"Parque del Moro"	"Parc del Moro"					
"Parque Doctor Esquerdo"	"Parc Doctor Esquerdo"					
"Parque Europa"	"Parc Europa"					
"Parque I"	"Parc I"					
"Parque Norte"	"Parc Nord"					
"Parque Nou d'Octubre"	"Parc Nou d'Octubre"					
"Parque Santo Cristo"	"Parc Sant Crist"					
