"way"	"222855713"	"Avenida Internacional"	""	""	""	""	""	""	""	"{'highway': 'tertiary_link', 'lanes': '1', 'name': 'Avenida Internacional', 'oneway': 'yes'}"
"way"	"242466541"	"Avenida Internacional"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'Avenida Internacional', 'oneway': 'yes'}"
"way"	"456255093"	"Avenida Internacional"	""	""	""	""	""	""	""	"{'access': 'yes', 'bicycle': 'yes', 'foot': 'yes', 'highway': 'tertiary', 'lanes': '2', 'name': 'Avenida Internacional', 'oneway': 'yes', 'source': 'Survey'}"
"way"	"542746756"	"Avenida Internacional"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lanes': '1', 'name': 'Avenida Internacional', 'oneway': 'yes'}"
"way"	"376727335"	"Avenida Casanova"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida Casanova'}"
"way"	"376797569"	"Avenida del País Valencia"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida del País Valencia'}"
"way"	"877455888"	"Avenida del País Valencia"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida del País Valencia', 'oneway': 'yes'}"
"way"	"386443734"	"Avenida Casanova"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida Casanova'}"
"way"	"34888725"	"Avenida Polonia"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Avenida Polonia'}"
"way"	"85587115"	"Avenida del Port"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida del Port'}"
"way"	"168275350"	"Avenida del Port"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida del Port', 'oneway': 'yes'}"
"way"	"375215923"	"Avenida del Port"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida del Port'}"
"way"	"34888722"	"Avenida Rumania"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Avenida Rumania', 'oneway': 'yes'}"
"way"	"376363007"	"Avenida Rumania"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Avenida Rumania', 'oneway': 'yes'}"
"way"	"93253969"	"Avenida Rumania"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Avenida Rumania', 'oneway': 'yes'}"
"way"	"93253970"	"Avenida Rumania"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Avenida Rumania', 'oneway': 'yes'}"
"way"	"401163109"	"Avenida Casanova"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida Casanova'}"
"way"	"386443735"	"Avenida Casanova"	""	""	""	""	""	""	""	"{'bridge': 'yes', 'highway': 'residential', 'layer': '1', 'name': 'Avenida Casanova'}"
"way"	"37523916"	"Avenida de la Rosa de los Vientos"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida de la Rosa de los Vientos', 'oneway': 'yes'}"
"way"	"37523926"	"Avenida de la Rosa de los Vientos"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida de la Rosa de los Vientos', 'oneway': 'yes'}"
"way"	"37523927"	"Avenida de la Rosa de los Vientos"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida de la Rosa de los Vientos'}"
"way"	"37523919"	"Avenida de la Rosa de los Vientos"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida de la Rosa de los Vientos', 'oneway': 'yes'}"
"way"	"37523920"	"Avenida de la Rosa de los Vientos"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida de la Rosa de los Vientos', 'oneway': 'yes'}"
"way"	"37523922"	"Avenida de la Rosa de los Vientos"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida de la Rosa de los Vientos', 'oneway': 'yes'}"
"way"	"29503987"	"Avenida Casanova"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'Avenida Casanova'}"
"way"	"349836984"	"Avenida Casanova"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida Casanova'}"
"way"	"23909660"	"avenida de la Fustera"	""	""	""	""	""	""	""	"{'highway': 'secondary', 'name': 'avenida de la Fustera', 'ref': 'CV-745'}"
"way"	"23909866"	"avenida dels Garcíes"	""	""	""	""	""	""	""	"{'highway': 'tertiary', 'name': 'avenida dels Garcíes', 'ref': 'CV-7471'}"
"way"	"375737614"	"avenida del Mediterrani"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'avenida del Mediterrani'}"
"way"	"96986773"	"avenida de la Fustera"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'avenida de la Fustera', 'width': '3'}"
"way"	"951443339"	"avenida del Baladrar"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'avenida del Baladrar', 'source': 'Yahoo, GPS'}"
"way"	"44138244"	"avenida del Baladrar"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'avenida del Baladrar', 'source': 'Yahoo, GPS'}"
"way"	"951466519"	"avenida del Baladrar"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'avenida del Baladrar', 'source': 'Yahoo, GPS'}"
"way"	"951466520"	"avenida del Baladrar"	""	""	""	""	""	""	""	"{'bridge': 'yes', 'highway': 'residential', 'layer': '1', 'name': 'avenida del Baladrar', 'source': 'Yahoo, GPS'}"
"way"	"965442458"	"avenida del Baladrar"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'avenida del Baladrar', 'source': 'Yahoo, GPS'}"
"way"	"965442459"	"avenida del Baladrar"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'avenida del Baladrar', 'source': 'Yahoo, GPS'}"
"way"	"23909781"	"avenida de la Fustera"	""	""	""	""	""	""	""	"{'highway': 'secondary', 'name': 'avenida de la Fustera', 'ref': 'CV-745'}"
"way"	"23909539"	"avenida de la Fustera"	""	""	""	""	""	""	""	"{'highway': 'secondary', 'name': 'avenida de la Fustera', 'ref': 'CV-745'}"
"way"	"23909432"	"avenida de la Fustera"	""	""	""	""	""	""	""	"{'highway': 'secondary', 'name': 'avenida de la Fustera', 'ref': 'CV-745'}"
"way"	"101711709"	"Avenida de Estrasburgo"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida de Estrasburgo', 'oneway': 'yes'}"
"way"	"101711710"	"Avenida de Estrasburgo"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida de Estrasburgo', 'oneway': 'yes'}"
"way"	"43032498"	"Avenida via Augusta"	""	""	""	""	""	""	""	"{'bridge': 'yes', 'highway': 'residential', 'layer': '1', 'name': 'Avenida via Augusta', 'oneway': 'yes'}"
"way"	"43032508"	"Avenida via Augusta"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida via Augusta', 'oneway': 'yes'}"
"way"	"226905937"	"Avenida de Paris"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Avenida de Paris', 'surface': 'asphalt'}"
"way"	"503034219"	"Avenida via Augusta"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Avenida via Augusta', 'oneway': 'yes'}"
