"@type","@id","name","name:ca","wikidata","admin_level","informe","cmd","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat"
"relation",109876,"Дагестан","Daguestan","Q5118",4,"exotopònims/Rússia/informes/informe-Rússia-Daguestan_wikidata.tsv","",10,9,10,9,FALSE
"relation",109877,"Чечня","Txetxènia","Q5187",4,"exotopònims/Rússia/informes/informe-Rússia-Txetxènia_wikidata.tsv","",4,4,4,4,FALSE
"relation",109878,"Карачаево-Черкесия","Karatxai-Txerkèssia","Q5328",4,"exotopònims/Rússia/informes/informe-Rússia-Karatxai-Txerkèssia_wikidata.tsv","",14,13,14,13,FALSE
"relation",109879,"Кабардино-Балкария","Kabardino-Balkària","Q5267",4,"exotopònims/Rússia/informes/informe-Rússia-Kabardino-Balkària_wikidata.tsv","",7,6,7,6,FALSE
"relation",110032,"Северная Осетия — Алания","Ossètia del Nord - Alània","Q5237",4,"exotopònims/Rússia/informes/informe-Rússia-Ossètia del Nord - Alània_wikidata.tsv","",5,4,5,4,FALSE
"relation",112819,"Астраханская область","Província d'Àstrakhan","Q3941",4,"exotopònims/Rússia/informes/informe-Rússia-Província d'Àstrakhan_wikidata.tsv","",8,8,8,8,FALSE
"relation",115100,"Кировская область","Província de Kírov","Q5387",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Kírov_wikidata.tsv","",7,6,7,6,FALSE
"relation",115106,"Вологодская область","Província de Vólogda","Q2015",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Vólogda_wikidata.tsv","",55,43,55,43,FALSE
"relation",115114,"Марий Эл","Marí El","Q5446",4,"exotopònims/Rússia/informes/informe-Rússia-Marí El_wikidata.tsv","",31,27,31,27,FALSE
"relation",115134,"Удмуртия","Udmúrtia","Q5422",4,"exotopònims/Rússia/informes/informe-Rússia-Udmúrtia_wikidata.tsv","",6,6,6,6,FALSE
"relation",115135,"Пермский край","Territori de Perm","Q5400",4,"exotopònims/Rússia/informes/informe-Rússia-Territori de Perm_wikidata.tsv","",15,13,15,13,FALSE
"relation",115136,"Республика Коми","República de Komi","Q2073",4,"exotopònims/Rússia/informes/informe-Rússia-República de Komi_wikidata.tsv","",10,7,10,7,FALSE
"relation",140290,"Курганская область","Província de Kurgan","Q5741",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Kurgan_wikidata.tsv","",5,4,5,4,FALSE
"relation",140291,"Тюменская область","Província de Tiumén","Q5824",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Tiumén_wikidata.tsv","",14,14,14,14,FALSE
"relation",140292,"Омская область","Província d'Omsk","Q5835",4,"exotopònims/Rússia/informes/informe-Rússia-Província d'Omsk_wikidata.tsv","",8,7,8,7,FALSE
"relation",140294,"Новосибирская область","Província de Novosibirsk","Q5851",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Novosibirsk_wikidata.tsv","",27,18,27,18,FALSE
"relation",140295,"Томская область","Província de Tomsk","Q5884",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Tomsk_wikidata.tsv","",15,12,15,12,FALSE
"relation",140296,"Ханты-Мансийский автономный округ — Югра","Districte Autònom Khanti-Mansi — Iugrà","Q6320",4,"exotopònims/Rússia/informes/informe-Rússia-Districte Autònom Khanti-Mansi — Iugrà_wikidata.tsv","",3,2,3,2,FALSE
"relation",140337,"Архангельская область","Província d'Arkhànguelsk","Q1875",4,"exotopònims/Rússia/informes/informe-Rússia-Província d'Arkhànguelsk_wikidata.tsv","",9,9,9,9,FALSE
"relation",144763,"Кемеровская область","Província de Kémerovo","Q6076",4,"exotopònims/Rússia/informes/informe-Rússia-Província de Kémerovo_wikidata.tsv","",55,55,55,55,FALSE
"relation",144764,"Алтайский край","Territori de l'Altai","Q5942",4,"exotopònims/Rússia/informes/informe-Rússia-Territori de l'Altai_wikidata.tsv","",6,6,6,6,FALSE
"relation",145194,"Республика Алтай","República de l'Altai","Q5971",4,"exotopònims/Rússia/informes/informe-Rússia-República de l'Altai_wikidata.tsv","",2,2,2,2,FALSE
