"regio","name:ca","nObjectes","nCasos","nObjectesNomWikidata","nCasosNomWikidata","revisat","type","id","name","parcial","admin_level","historic:admin_level","informe"
"PV","l'Horta Sud",33,12,0,0,FALSE,"relation",1691751,"l'Horta Sud",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-l'Horta Sud_name-avenida.tsv"
"PV","la Ribera Baixa",28,12,0,0,FALSE,"relation",1691756,"la Ribera Baixa",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-la Ribera Baixa_name-avenida.tsv"
"PV","el Baix Maestrat",28,10,0,0,FALSE,"relation",1690974,"el Baix Maestrat",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-el Baix Maestrat_name-avenida.tsv"
"PV","l'Horta Nord",33,9,0,0,FALSE,"relation",1691749,"l'Horta Nord",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-l'Horta Nord_name-avenida.tsv"
"Franja","Matarranya",20,8,2,2,FALSE,"relation",6630537,"Matarraña / Matarranya",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Franja-Matarranya_name-avenida.tsv"
"PV","Comarca de València",22,8,0,0,FALSE,"relation",5813174,"Comarca de València",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-Comarca de València_name-avenida.tsv"
"Franja","Baix Cinca",17,6,0,0,FALSE,"relation",6488361,"Bajo Cinca / Baix Cinca",TRUE,7,NA,"PPCC/avenida-avinguda/informes/informe-Franja-Baix Cinca_name-avenida.tsv"
"PV","l'Alcalatén",14,5,0,0,FALSE,"relation",1111146,"l'Alcalatén",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-l'Alcalatén_name-avenida.tsv"
"Franja","Baix Aragó-Casp",7,4,0,0,FALSE,"relation",10601144,"Bajo Aragón-Caspe / Baix Aragó-Casp",TRUE,7,NA,"PPCC/avenida-avinguda/informes/informe-Franja-Baix Aragó-Casp_name-avenida.tsv"
"Illes","Serra de Tramuntana",19,4,0,0,FALSE,"relation",2175756,"Serra de Tramuntana",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Illes-Serra de Tramuntana_name-avenida.tsv"
"PV","el Baix Segura",4,4,0,0,FALSE,"relation",1692447,"el Baix Segura / La Vega Baja del Segura",TRUE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-el Baix Segura_name-avenida.tsv"
"PV","l'Alt Maestrat",10,4,0,0,FALSE,"relation",1690971,"l'Alt Maestrat",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-l'Alt Maestrat_name-avenida.tsv"
"Franja","La Llitera",5,3,0,0,FALSE,"relation",6488338,"La Litera / La Llitera",TRUE,7,NA,"PPCC/avenida-avinguda/informes/informe-Franja-La Llitera_name-avenida.tsv"
"Illes","Llevant",13,3,0,0,FALSE,"relation",2176079,"Llevant",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Illes-Llevant_name-avenida.tsv"
"PV","l'Alt Vinalopó",9,3,0,0,FALSE,"relation",1692439,"l'Alt Vinalopó / El Alto Vinalopó",TRUE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-l'Alt Vinalopó_name-avenida.tsv"
"Franja","Ribagorça",3,2,0,0,FALSE,"relation",6488309,"La Ribagorza",TRUE,7,NA,"PPCC/avenida-avinguda/informes/informe-Franja-Ribagorça_name-avenida.tsv"
"Illes","Menorca",4,2,0,0,FALSE,"relation",2182003,"Menorca",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Illes-Menorca_name-avenida.tsv"
"Illes","Palma",2,2,0,0,FALSE,"relation",2174951,"Palma",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-Illes-Palma_name-avenida.tsv"
"PV","la Costera",6,2,0,0,FALSE,"relation",1691752,"la Costera",FALSE,7,NA,"PPCC/avenida-avinguda/informes/informe-PV-la Costera_name-avenida.tsv"
