"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Mas Bruno"	"Mas Bruno"	""	""	""	""	""	""
"Mas d’en Valentí"	"Mas d’en Valentí"	""	""	""	""	""	""
"Mas Carol"	"Mas Carol"	""	""	""	""	""	""
"Mas de la Faja"	"Mas de la Faja"	""	""	""	""	""	""
"Mas de la Fageda"	"Mas de la Fageda"	""	""	""	""	""	""
"Veïnat d'en Paulí"	"Veïnat d'en Paulí"	""	""	""	""	""	""
"Mas del Parer"	"Mas del Parer"	""	""	""	""	""	""
"Mas del Roc"	"Mas del Roc"	""	""	""	""	""	""
"Plaça del Sindicat"	"Plaça del Sindicat"	""	""	""	""	""	""
"Carrer de la Capella"	"Carrer de la Capella"	""	""	""	""	""	""
"Camí del Pou"	"Camí del Pou"	""	""	""	""	""	""
"Mas Linda"	"Mas Linda"	""	""	""	""	""	""
"Mas Calvet"	"Mas Calvet"	""	""	""	""	""	""
"Mas d'en Paco"	"Mas d'en Paco"	""	""	""	""	""	""
