"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Mas Casanovas - Hospital de Sant Pau"	"Mas Casanovas - Hospital de Sant Pau"						
"Mas Casanovas - Cartagena"	"Mas Casanovas - Cartagena"						
"Platja Nova Icària"	"Platja Nova Icària"						
"Castell de Torre Baró"	"Castell de Torre Baró"						
"Riu Besòs"	"Riu Besòs"						
"Castell d'Olorda"	"Castell d'Olorda"			"Castell d'Olorda, castell d'Olorda"	"Castell d'Olorda"	"monument"	"Q11913006"
"Hort Urbà Torre Melina"	"Hort Urbà Torre Melina"						
"Palau de Congressos de Catalunya"	"Palau de Congressos de Catalunya"						
"Hort Urbà Masia Can Mestres"	"Hort Urbà Masia Can Mestres"						
"Hort Urbà - Passatge de Felipe de Paz"	"Hort Urbà - Passatge de Felipe de Paz"						
"Palau de Victòria Eugènia"	"Palau de Victòria Eugènia"	"Pavelló 7"	"Pavelló 7"	"Palaus d'Alfons XIII i Victòria Eugènia, palaus d'Alfons XIII i Victòria Eugènia"	"Palaus d'Alfons XIII i Victòria Eugènia"	"building"	"Q21344603"
"Hort ecològic del Jardí Botànic Històric"	"Hort ecològic del Jardí Botànic Històric"						
"Palau d'Alfons XIII"	"Palau d'Alfons XIII"	"Pavelló 6"	"Pavelló 6"	"Palaus d'Alfons XIII i Victòria Eugènia, palaus d'Alfons XIII i Victòria Eugènia"	"Palaus d'Alfons XIII i Victòria Eugènia"	"building"	"Q21344603"
"Horts de l'Espai Germanetes"	"Horts de l'Espai Germanetes"						
"Hort Urbà de Sant Pau del Camp"	"Hort Urbà de Sant Pau del Camp"						
"Palau Fivaller"	"Palau Fivaller"						
"Hort del Xino"	"Hort del Xino"						
"Hort de les Hespèrides"	"Hort de les Hespèrides"						
"Hort Urbà de Pedralbes"	"Hort Urbà de Pedralbes"						
"Bosc de les alzines"	"Bosc de les alzines"						
"Hort Urbà Can Pujades"	"Hort Urbà Can Pujades"						
"Castell Misterios"	"Castell Misteriós"						
"Hort Urbà Collserola"	"Hort Urbà Collserola"						
"Hort Urbà de Turull"	"Hort Urbà de Turull"						
"Hort Urbà de l'Avi"	"Hort Urbà de l'Avi"						
"Hort Urbà Masia Can Soler"	"Hort Urbà Masia Can Soler"						
"Hort terapèutic del Hospital de traumatologia, rehabilitació i cremats"	"Hort terapèutic del Hospital de traumatologia, rehabilitació i cremats"						
"Palau Casades. Collegi d'Advocats"	"Palau Casades. Collegi d'Advocats"						
"Palau Montaner"	"Palau Montaner"						
"Hort Urbà Sagrada Família"	"Hort Urbà Sagrada Família"						
"Horts Superilla PB9"	"Horts Superilla PB9"						
"Hort Urbà Casal de Gent Gran del Baix Guinardó"	"Hort Urbà Casal de Gent Gran del Baix Guinardó"						
"Ajuntament de Barcelona - Oficina d'Atenció Ciutadana (OAC) del Districte d'Horta - Guinardó"	"Ajuntament de Barcelona - Oficina d'Atenció Ciutadana (OAC) del Districte d'Horta - Guinardó"						
"Horts de Pla i Armengol"	"Horts de Pla i Armengol"						
"Hort Urbà de Can Peguera"	"Hort Urbà de Can Peguera"						
"Hort urbà el Clot"	"Hort urbà el Clot"						
"Carrer deFondal de Sant Martí"	"Carrer de Fondal de Sant Martí"	"carrer Fondal de Sant Martí"	"carrer Fondal de Sant Martí"				
"Hort de Can Cadena"	"Hort de Can Cadena"						
"Carrer de la Selva del Camp"	"Carrer de la Selva del Camp"	"carrer Fondal de Sant Martí"	"carrer Fondal de Sant Martí"				
"Horts de Via Trajana"	"Horts de Via Trajana"						
"Palau Desvalls"	"Palau Desvalls"					"mansion"	"Q52868138"
"Hort Urbà - La Casa de l'Aigua"	"Hort Urbà - La Casa de l'Aigua"						
"Hort Urbà Baró de Viver"	"Hort Urbà Baró de Viver"						
"Hort Urbà Parc de la Trinitat"	"Hort Urbà Parc de la Trinitat"						
"Castell de Montjuïc"	"Castell de Montjuïc"						
"Platja de Sant Miquel"	"Platja de Sant Miquel"						
"Palau Savassona"	"Palau Savassona"						
"Palau Casades"	"Palau Casades"						
"Palau Baró de Castellet"	"Palau Baró de Castellet"						
