"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Turó de Can Pasqual"	"Turó de Can Pasqual"						
"Turó d'en Merlès"	"Turó d'en Merlès"						
"Torrent del Rovelló, direcció Vallvidrera"	"Torrent del Rovelló, direcció Vallvidrera"						
"Font Mossèn Cinto Verdaguer, direcció Vallvidrera"	"Font Mossèn Cinto Verdaguer, direcció Vallvidrera"						
"Santuari de la Salut"	"Santuari de la Salut"						
"Serra Soldadura, S.A"	"Serra Soldadura, S.A"						
"Escola d'Aprenents SEAT"	"Escola d'Aprenents SEAT"						
"Escola Bressol Collserola"	"Escola Bressol Collserola"						
"Escola de Noves Tecnologies Interactives"	"Escola de Noves Tecnologies Interactives"						
"Escola Bressol El Cotxet"	"Escola Bressol El Cotxet"						
"Cal Campà"	"Cal Campà"						
"Escola Bressol Niu d'Infants"	"Escola Bressol Niu d'Infants"						
"Escola Sant Medir"	"Escola Sant Medir"						
"Escola Bressol Bellmunt"	"Escola Bressol Bellmunt"						
"Escola Bressol Can Bacardí"	"Escola Bressol Can Bacardí"						
"Escola Bressol Municipal Els Gats"	"Escola Bressol Municipal Els Gats"						
"Can Tunis"	"Can Tunis"						
"Font del Cercle d'Or"	"Font del Cercle d'Or"						
"Escola Sagrat Cor"	"Escola Sagrat Cor"						
"Cal Marino"	"Cal Marino"						
"Font Trobada"	"Font Trobada"						
"Escola Bressol Canigó"	"Escola Bressol Canigó"						
"Escola el Sol"	"Escola el Sol"						
"Escola del Mar i el seu llegat pedagògic"	"Escola del Mar i el seu llegat pedagògic"						
"Col·legi Major Penyafort"	"Col·legi Major Penyafort"						
"Escola Superior de Medicina Xinesa"	"Escola Superior de Medicina Xinesa"						
"Escola Bressol Can Bruixa"	"Escola Bressol Can Bruixa"						
"Escola d'Art la Industrial"	"Escola d'Art la Industrial"						
"Escola infantil Begònia"	"Escola infantil Begònia"						
"Escola Entença"	"Escola Entença"						
"Escola Nàutica Port Olímpic"	"Escola Nàutica Port Olímpic"						
"Turó de Modolell"	"Turó de Modolell"						
"Santuari Sant Antoni de Pàdua"	"Santuari Sant Antoni de Pàdua"						
"Escola Nausica"	"Escola Nausica"						
"Cal Pep"	"Cal Pep"						
"Col·legi Oficial de Veterinaris de Barcelona"	"Col·legi Oficial de Veterinaris de Barcelona"						
"Font Vella"	"Font Vella"						
"Font Nova"	"Font Nova"						
"Font Joana"	"Font Joana"						
"Turó d'en Ferrer"	"Turó d'en Ferrer"						
"Col·legi Montserrat"	"Col·legi Montserrat"						
"Font del Mont"	"Font del Mont"						
"Turó de Mont"	"Turó de Mont"						
"Turó dels Mussols"	"Turó dels Mussols"						
"Turó del Penitent"	"Turó del Penitent"						
"Font del Canet"	"Font del Canet"						
"Escola Bressol El Tramvia Blau"	"Escola Bressol El Tramvia Blau"						
"Font del Racó"	"Font del Racó"						
"Turó de Collserola"	"Turó de Collserola"						
"Escola Solc Nou"	"Escola Solc Nou"						
"Escola Bressol Galatea"	"Escola Bressol Galatea"						
"Turó de la Creueta del Coll"	"Turó de la Creueta del Coll"						
"Font del Bacallà"	"Font del Bacallà"						
"Font Tenebrosa"	"Font Tenebrosa"						
"Escola Bressol Sant Genís"	"Escola Bressol Sant Genís"						
"Font del Roure"	"Font del Roure"						
"Turó de la Font Groga"	"Turó de la Font Groga"						
"Escola Bressol Municipal Germanetes"	"Escola Bressol Municipal Germanetes"						
"Escola Bressol El Roure"	"Escola Bressol El Roure"						
"Serra Claret"	"Serra Claret"						
"Col·legi Oficial Farmacèutics"	"Col·legi Oficial Farmacèutics"						
"Cal Boter"	"Cal Boter"						
"Cal Robert"	"Cal Robert"						
"Cal Trapella"	"Cal Trapella"						
"Escola Oficial d'Idiomes 3 Sant Gervasi"	"Escola Oficial d'Idiomes 3 Sant Gervasi"						
"Escola Bressol Municipal Enxaneta"	"Escola Bressol Municipal Enxaneta"						
"Escola Joan Triadú"	"Escola Joan Triadú"						
"Serra Junyent"	"Serra Junyent"						
"Escola Universitària de Relacions Laborals"	"Escola Universitària de Relacions Laborals"						
"Escola Carlit"	"Escola Carlit"						
"Escola Bressol Municipal Puigmal"	"Escola Bressol Municipal Puigmal"						
"Font del bacallà"	"Font del bacallà"						
"Cal PEP"	"Cal PEP"						
"Col·legi oficial d'Agents Comercials"	"Col·legi oficial d'Agents Comercials"						
"Escola Port"	"Escola Port"						
"Cal Rosset"	"Cal Rosset"						
"Escola de ballet Eulàlia Blasi"	"Escola de ballet Eulàlia Blasi"						
