"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Coll Roig"	"Coll Roig"						
"Font del Pla de la Mina"	"Font del Pla de la Mina"						
"Font del Rajadell"	"Font del Rajadell"						
"Font del Mas de Sant Miquel"	"Font del Mas de Sant Miquel"						
"Font del Calvari"	"Font del Calvari"						
"Puig d'en Querol"	"Puig d'en Querol"						
"Serrat de la Caseta"	"Serrat de la Caseta"						
"Serra de Sant Pere"	"Serra de Sant Pere"						
"Coll de la Forca"	"Coll de la Forca"						
"Coll de Menada"	"Coll de Menada"						
"Font del Bisbe"	"Font del Bisbe"						
"Serrat dels Junyents"	"Serrat dels Junyents"						
"Font de Calduc"	"Font de Calduc"						
"Serra del Castell de Llaguarres"	"Serra del Castell de Llaguarres"						
"Font del Forn"	"Font del Forn"						
"Coll de Sans"	"Coll de Sans"						
"Font del Canigó"	"Font del Canigó"						
"Font de la Coma"	"Font de la Coma"						
"Font del Quartal"	"Font del Quartal"						
"Font del mas de les Solsides"	"Font del mas de les Solsides"						
"Serra Pelada"	"Serra Pelada"						
"Serrat de Mons i Valls"	"Serrat de Mons i Valls"						
"Serrat de la Lloma"	"Serrat de la Lloma"						
"Serrat de Sant Marc"	"Serrat de Sant Marc"						
"Serrat de Codó"	"Serrat de Codó"						
"Serra de la Concepció"	"Serra de la Concepció"						
"Serra del Terme de Nonasp"	"Serra del Terme de Nonasp"						
"Turó del Nogueró"	"Turó del Nogueró"						
"Coll de l'Espina"	"Coll de l'Espina"						
"Serra de les Santes"	"Serra de les Santes"						
"Serrat de San Antonio"	"Serrat de San Antonio"						
"Serra Albera"	"Serra Albera"						
"Serra Pujol"	"Serra Pujol"						
"Serrat de la Pedrera"	"Serrat de la Pedrera"						
"Font Vella"	"Font Vella"						
"Puig de Gall"	"Puig de Gall"						
"Serra de l'Ermita"	"Serra de l'Ermita"						
"Serra del Pedra"	"Serra del Pedra"						
"Coll de Ramis"	"Coll de Ramis"						
"Serra de Montgai"	"Serra de Montgai"						
"Font d'en Sans"	"Font d'en Sans"						
"Serrat del Pere"	"Serrat del Pere"						
"Serrat dels Colls"	"Serrat dels Colls"						
"Font Clara"	"Font Clara"						
"Puig Gros"	"Puig Gros"						
"Font de la Figa"	"Font de la Figa"						
"Serrat de la Creu"	"Serrat de la Creu"						
"Serra de Ribers"	"Serra de Ribers"						
"Font de Gracia"	"Font de Gràcia"						
"Serrat de Sant Salvador"	"Serrat de Sant Salvador"						
"Turó del Capità"	"Turó del Capità"						
"Font Blanca"	"Font Blanca"						
