"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Serra de ses Figueres"	"Serra de ses Figueres"						
"Can Feliu"	"Can Feliu"						
"Coll d'en Barrera"	"Coll d'en Barrera"						
"Collet de l'Hospital"	"Collet de l'Hospital"						
"Can Tàpera"	"Can Tàpera"						
"Can Vell"	"Can Vell"						
"Serra Mitgera"	"Serra Mitgera"						
"Coll de sa Creu"	"Coll de sa Creu"						
"Serra de Son Camps"	"Serra de Son Camps"						
"Puig de sa Coma Fosca"	"Puig de sa Coma Fosca"						
"Torrent de Son Serra"	"Torrent de Son Serra"						
"Puig de Son Muntaner"	"Puig de Son Muntaner"						
"Can Bosc"	"Can Bosc"						
"Can Miquel"	"Can Miquel"						
"Coll de Son Camps"	"Coll de Son Camps"						
"Serra de Son Marill"	"Serra de Son Marill"						
"Puig de ses Gatoves"	"Puig de ses Gatoves"						
"Can Barbarà (Palma)"	"Can Barbarà (Palma)"						
"Can Barberà"	"Can Barberà"						
"Torrent de Sa Riera"	"Torrent de Sa Riera"						
"Can Rigo"	"Can Rigo"						
"Can Martí"	"Can Martí"						
"Font de les Tortugues"	"Font de les Tortugues"						
"Can Flor"	"Can Flor"						
"Can Tito"	"Can Tito"						
"Can Vallori"	"Can Vallori"						
"Can Sion"	"Can Sion"						
"Can Dameto de la Quartera"	"Can Dameto de la Quartera"			"Can Dameto de la Quartera, Can Dameto de sa Cortera"		"manor house"	"Q108049614"
"Can Jaume"	"Can Jaume"						
"Can Salat"	"Can Salat"						
"Can Llaneres"	"Can Llaneres"						
"Can Nofre"	"Can Nofre"						
"Can Siquier"	"Can Siquier"						
"Can Valero (Aula Balear)"	"Can Valero (Aula Balear)"						
"Can Dalmau"	"Can Dalmau"						
"Can Valero, 5"	"Can Valero, 5"						
"Can Valero, 12"	"Can Valero, 12"						
"Can Granada"	"Can Granada"						
"Can Terra"	"Can Terra"						
"Can Bernat"	"Can Bernat"						
"Can Capes"	"Can Capes"						
"Can Cel"	"Can Cel"						
"Can Jordi"	"Can Jordi"						
"Can Caimari, 22"	"Can Caimari, 22"						
"Can Fonoll"	"Can Fonoll"						
"Can Ferrer"	"Can Ferrer"						
"Can Serra"	"Can Serra"						
"Can Xisco"	"Can Xisco"						
"Can Sergi"	"Can Sergi"						
"Can Palou"	"Can Palou"						
"Can Pedro"	"Can Pedro"						
"Can Valero"	"Can Valero"						
"Can Coll"	"Can Coll"						
"Can Moreno (Palma)"	"Can Moreno (Palma)"						
"Can Nadal"	"Can Nadal"						
"Can Pedro de Maria"	"Can Pedro de Maria"						
"Can Ros"	"Can Ros"						
"Puig de Son Espanyol"	"Puig de Son Espanyol"						
"Puig Gros"	"Puig Gros"						
"Puig d'Enmig"	"Puig d'Enmig"						
"Font de Sa Vila"	"Font de Sa Vila"						
"Can Vaquer"	"Can Vaquer"						
"Can Vic"	"Can Vic"						
"Can Moià"	"Can Moià"						
"Can Rosselló"	"Can Rosselló"						
"Can Damià"	"Can Damià"						
"Can Rafel"	"Can Rafel"						
"Can Ripoll"	"Can Ripoll"						
"Can Alegria"	"Can Alegria"						
"Can Rius"	"Can Rius"						
"Can Muleta"	"Can Muleta"						
"Can Reviu"	"Can Reviu"						
"Can Morei"	"Can Morei"						
"Puig de Son Ferrer"	"Puig de Son Ferrer"						
"Can Ferragut"	"Can Ferragut"						
"Can Bisquerra"	"Can Bisquerra"						
"Can Puigserver"	"Can Puigserver"						
"Puig de la Mola, 21"	"Puig de la Mola, 21"						
"Can Valent"	"Can Valent"						
"Puig Gros, 10"	"Puig Gros, 10"						
"Can Xarpa"	"Can Xarpa"						
"Can Monja"	"Can Monja"						
"Can Ferró"	"Can Ferró"						
"Can Lluc"	"Can Lluc"						
"Can Caimari"	"Can Caimari"						
"Can Pere Pou"	"Can Pere Pou"						
"Can Mig"	"Can Mig"						
"Font del Mestre Pere"	"Font del Mestre Pere"						
"Can Mateu"	"Can Mateu"						
"Can Ceba"	"Can Ceba"						
"Can Cela"	"Can Cela"						
"Can Roca"	"Can Roca"						
