"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Puig de la Porrassa (1282 m)"	"Puig de la Porrassa (1282 m)"						
"Coll de la Riola"	"Coll de la Riola"						
"Can Basses"	"Can Basses"						
"Puig d'En Carol"	"Puig d'En Carol"						
"Can Taqui"	"Can Taqui"						
"Can Blai"	"Can Blai"						
"Can Madern"	"Can Madern"						
"Can Pau Escola"	"Can Pau Escola"						
"Can Pere Andreu"	"Can Pere Andreu"						
"Can Querol"	"Can Querol"						
"Font del Pi"	"Font del Pi"						
"Serrat de les Creus"	"Serrat de les Creus"						
"Font del Miquelet"	"Font del Miquelet"						
"Font del Bac"	"Font del Bac"						
"Font de la Mollera"	"Font de la Mollera"						
"Font del Salze"	"Font del Salze"						
"Font de Camp Llong"	"Font de Camp Llong"						
"Font dels Pastors"	"Font dels Pastors"						
"Font del Prat"	"Font del Prat"						
"Font de Vilana"	"Font de Vilana"						
"Font del Prat del Bony"	"Font del Prat del Bony"						
"Font de la Carrera"	"Font de la Carrera"						
"Font del Roc"	"Font del Roc"						
"Coll de la Carbassera"	"Coll de la Carbassera"						
"Coll del Pal"	"Coll del Pal"						
"Coll d'en Verderol"	"Coll d'en Verderol"						
"Puig de Sant Miquel"	"Puig de Sant Miquel"						
"Coll de la Plaça d'Armes"	"Coll de la Plaça d'Armes"						
"Font Andreu"	"Font Andreu"						
"Puig de les Guilles"	"Puig de les Guilles"						
"Coll de Banyuls."	"Coll de Banyuls."						
"Coll de la Perdiu"	"Coll de la Perdiu"						
"Coll de la Martina"	"Coll de la Martina"						
"Font del Bana"	"Font del Bana"						
"Puig Joan"	"Puig Joan"						
"Coll de Llagostera"	"Coll de Llagostera"						
"Font Sant Andreu"	"Font Sant Andreu"						
"Coll de la Creu"	"Coll de la Creu"						
"Puig del Mas"	"Puig del Mas"						
"Puig de la Gallina"	"Puig de la Gallina"						
"Can Reig"	"Can Reig"						
"Font dels Pinars"	"Font dels Pinars"						
"Font de la Figuera"	"Font de la Figuera"						
"Serra d'En Prunes"	"Serra d'En Prunes"						
"Collet de la Balma"	"Collet de la Balma"						
"Coll de Portells"	"Coll de Portells"						
"Coll del Teixó"	"Coll del Teixó"						
"Puig del Teixó"	"Puig del Teixó"						
"Coll del Priorat"	"Coll del Priorat"						
"Coll del Puig de la Neu"	"Coll del Puig de la Neu"						
"Can Bigoti"	"Can Bigoti"						
"Font de l’Avet"	"Font de l’Avet"						
"Coll de Sant Martí"	"Coll de Sant Martí"						
"Coll del Ric"	"Coll del Ric"						
"Font de la Dinada"	"Font de la Dinada"						
"Coll de la Vaca"	"Coll de la Vaca"						
"Coll de Freser"	"Coll de Freser"						
"Coll de la Geganta"	"Coll de la Geganta"						
"Coll Mitja"	"Coll Mitja"						
"Torrent de la Sorda"	"Torrent de la Sorda"						
"Torrent de Bacivers"	"Torrent de Bacivers"						
"Torrent dels Corrals"	"Torrent dels Corrals"						
"Font de la Vila"	"Font de la Vila"						
"Coll Roig"	"Coll Roig"						
"Can Vila"	"Can Vila"						
"Coll de les Falgueres"	"Coll de les Falgueres"						
"Coll Pregon"	"Coll Pregon"						
"Serra del Bac"	"Serra del Bac"						
"Serra de les Soques"	"Serra de les Soques"						
"Coll dels Contrabandistes"	"Coll dels Contrabandistes"						
"Font Negra"	"Font Negra"						
"Puig Sec"	"Puig Sec"						
"Puig Ferreol"	"Puig Ferreol"						
"Puig Coulomb"	"Puig Coulomb"						
"Puig Fabre"	"Puig Fabre"						
