"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Carrer de Can Pi"	"Carrer de Can Pi"						
"Carrer de Pablo Iglesias"	"Carrer de Pablo Iglesias"						
"Carrer de les Sangoneres"	"Carrer de les Sangoneres"						
"Carrer de Miguel Hernández"	"Carrer de Miguel Hernández"						
"Carrer de Can Trias"	"Carrer de Can Trias"						
"Carrer de Campoamor"	"Carrer de Campoamor"						
"Plaça d'Europa"	"Plaça d'Europa"						
"Carrer de França"	"Carrer de França"						
"Plaça de la Cultura"	"Plaça de la Cultura"						
"Parc de la Granvia de l'Hospitalet"	"Parc de la Granvia de l'Hospitalet"						
"Avinguda de la Gran Via de l'Hospitalet"	"Avinguda de la Gran Via de l'Hospitalet"						
"Avinguda de la Gra Via"	"Avinguda de la Gra Via"						
"Carrer Botànica"	"Carrer Botànica"						
"Carrer Salvador Espriu"	"Carrer Salvador Espriu"						
"Avinguda de Joan Carles I"	"Avinguda de Joan Carles I"						
"Carrer Pedrosa A"	"Carrer Pedrosa A"						
"Carrer de Dolors Aleu"	"Carrer de Dolors Aleu"						
"Carrer del Foc"	"Carrer del Foc"						
"Carrer de la Metal·lúrgia"	"Carrer de la Metal·lúrgia"						
"Carrer d'Espanya"	"Carrer d'Espanya"						
"Carrer de l'Església"	"Carrer de l'Església"						
"Carrer de Mossèn Santiago Oliveras"	"Carrer de Mossèn Santiago Oliveras"						
"Carrer de Tarragona"	"Carrer de Tarragona"						
"Carrer del Ter"	"Carrer del Ter"						
"Carrer de Vigo"	"Carrer de Vigo"						
"Carrer de Montserrat"	"Carrer de Montserrat"						
"Carrer de Mossèn Lluís Pañella"	"Carrer de Mossèn Lluís Pañella"						
"Carrer de la Riera de la Creu"	"Carrer de la Riera de la Creu"						
"Carrer del Centre"	"Carrer del Centre"						
"Carrer de Tecla Sala"	"Carrer de Tecla Sala"						
"Carrer del Mercat"	"Carrer del Mercat"						
"Plaça de la Mare de Déu de Montserrat"	"Plaça de la Mare de Déu de Montserrat"						
"Carrer Santa Bàrbara"	"Carrer Santa Bàrbara"						
"Carrer de Santa Bàrbara"	"Carrer de Santa Bàrbara"						
"Plaça de l'Ajuntament"	"Plaça de l'Ajuntament"						
"Carrer de les Roselles"	"Carrer de les Roselles"						
"Carrer Tarragona"	"Carrer Tarragona"						
"Carrer de Joan Pallarès"	"Carrer de Joan Pallarès"						
"Carrer del Baró de Maldà"	"Carrer del Baró de Maldà"						
"Carrer de Santa Anna"	"Carrer de Santa Anna"						
"Plaça de Mossèn Homar"	"Plaça de Mossèn Homar"						
"Carrer de Rossend Arús"	"Carrer de Rossend Arús"						
"Plaça del Repartidor"	"Plaça del Repartidor"						
"Plaça de Josep Bordonau i Balaguer"	"Plaça de Josep Bordonau i Balaguer"						
"Plaça de la Constitució"	"Plaça de la Constitució"						
"Carrer d'Enric Prat de la Riba"	"Carrer d'Enric Prat de la Riba"						
"Carrer del Príncep de Bergara"	"Carrer del Príncep de Bergara"						
"Carrer de les Esquadres"	"Carrer de les Esquadres"						
"Carrer de Santiago de Compostel·la"	"Carrer de Santiago de Compostel·la"						
"Carrer de Vic"	"Carrer de Vic"						
"Carrer de la Riera dels Frares"	"Carrer de la Riera dels Frares"						
"Carrer del Migdia"	"Carrer del Migdia"						
"Carrer de Los Castillejos"	"Carrer de Los Castillejos"						
"Carrer Sant Antoni"	"Carrer Sant Antoni"						
"Carrer de les Arts i els Oficis"	"Carrer de les Arts i els Oficis"						
"Carrer de Vilumara"	"Carrer de Vilumara"						
"Plaça del Mestre Clavé"	"Plaça del Mestre Clavé"						
"Carrer del Mestre Candi"	"Carrer del Mestre Candi"						
"Carrer de Rodés"	"Carrer de Rodés"						
"Carrer de Segòvia"	"Carrer de Segòvia"						
"Parc de la Serp"	"Parc de la Serp"						
"Plaça de Puig i Gairalt"	"Plaça de Puig i Gairalt"						
"Carrer de Josep Pla"	"Carrer de Josep Pla"						
"Carrer de Saurí"	"Carrer de Saurí"						
"Carrer de Sant Antoni"	"Carrer de Sant Antoni"						
"Carrer d'Ángeles Santos"	"Carrer d'Ángeles Santos"						
"Carrer de Maria Miret"	"Carrer de Maria Miret"						
"Carrer de Rosa Crexells"	"Carrer de Rosa Crexells"						
"Carrer del Molí"	"Carrer del Molí"						
"Carrer de les Bòbiles"	"Carrer de les Bòbiles"						
"Carrer de Sant Josep"	"Carrer de Sant Josep"						
"Carrer de la Muntanya"	"Carrer de la Muntanya"						
"Carrer de Joan Maragall"	"Carrer de Joan Maragall"						
"Avinguda de Ventura Gassol"	"Avinguda de Ventura Gassol"						
"Carrer de la Rosa d'Alexandria"	"Carrer de la Rosa d'Alexandria"						
"Carrer d'Andorra"	"Carrer d'Andorra"						
"Carrer del Pintor Mestre i Castellví"	"Carrer del Pintor Mestre i Castellví"						
"Carrer de Girona"	"Carrer de Girona"						
"Avinguda de Catalunya"	"Avinguda de Catalunya"						
"Carrer de Ceravalls"	"Carrer de Ceravalls"						
"Carrer del Teide"	"Carrer del Teide"						
"Carrer del Llorer"	"Carrer del Llorer"						
"Carrer de la Libèl·lula"	"Carrer de la Libèl·lula"						
"Plaça dels Blocs de la Florida"	"Plaça dels Blocs de la Florida"						
"Carrer de la Renclusa"	"Carrer de la Renclusa"						
"Carrer de Subur"	"Carrer de Subur"						
"Avinguda de la Primavera"	"Avinguda de la Primavera"						
"Carrer dels Pins"	"Carrer dels Pins"						
"Avinguda de Vilafranca"	"Avinguda de Vilafranca"						
"Carrer de Casanova"	"Carrer de Casanova"						
"Carrer de l'Estrella"	"Carrer de l'Estrella"						
"Carrer de Miquel Romeu"	"Carrer de Miquel Romeu"						
"Carrer del Bruc"	"Carrer del Bruc"						
"Plaça de Lluís Companys i Jover"	"Plaça de Lluís Companys i Jover"						
"Carrer dels Clavells"	"Carrer dels Clavells"						
"Carrer de Peníscola"	"Carrer de Peníscola"						
"Carrer de la Hierbabuena"	"Carrer de la Hierbabuena"						
"Parc de Can Creixells"	"Parc de Can Creixells"						
"Parc de Can Cluset"	"Parc de Can Cluset"						
"Avinguda de Miraflors"	"Avinguda de Miraflors"						
"Carrer de la Florida"	"Carrer de la Florida"						
"Carrer del Parral"	"Carrer del Parral"						
"Carrer de Sant Rafael"	"Carrer de Sant Rafael"						
"Carrer de Sant Pere"	"Carrer de Sant Pere"						
"Carrer de la Carpa"	"Carrer de la Carpa"						
"Carrer de Faus"	"Carrer de Faus"						
"Carrer de Màlaga"	"Carrer de Màlaga"						
"Carrer de Pere Pelegrí"	"Carrer de Pere Pelegrí"						
"Carrer de Badajoz"	"Carrer de Badajoz"						
"Carrer de Granollers"	"Carrer de Granollers"						
"Carrer de Castellbò"	"Carrer de Castellbò"						
"Carrer Oriental"	"Carrer Oriental"						
"Carrer de la Bisbal"	"Carrer de la Bisbal"						
"Carrer de Sant Carles"	"Carrer de Sant Carles"						
"Plaça de la Font"	"Plaça de la Font"						
"Plaça de la Casa de la Reconciliació"	"Plaça de la Casa de la Reconciliació"						
"Plaça de la Carpa"	"Plaça de la Carpa"						
"Carrer de Sant Francesc Xavier"	"Carrer de Sant Francesc Xavier"						
"Carrer de l'Abedul"	"Carrer de l'Abedul"						
"Carrer de Menorca"	"Carrer de Menorca"						
"Carrer de l'Esmaragda"	"Carrer de l'Esmaragda"						
"Carrer de l'Ebre"	"Carrer de l'Ebre"						
"Carrer del Radi"	"Carrer del Radi"						
"Carrer de Juan de Toledo"	"Carrer de Juan de Toledo"						
"Carrer de Menéndez Pidal"	"Carrer de Menéndez Pidal"						
"Plaça de Tuzla"	"Plaça de Tuzla"						
"Carrer d'Almadén"	"Carrer d'Almadén"						
"Carrer de Galvani"	"Carrer de Galvani"						
"Carrer de Sant Ramon"	"Carrer de Sant Ramon"						
"Carrer de les Illes Canàries"	"Carrer de les Illes Canàries"						
"Carrer de Leonardo da Vinci"	"Carrer de Leonardo da Vinci"						
