"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Cal Frare"	"Cal Frare"	""	""	""	""	""	""
"Plaça de les Granotes"	"Plaça de les Granotes"	""	""	""	""	""	""
"Camp de la Creu"	"Camp de la Creu"	""	""	""	""	""	""
"Camp Gran"	"Camp Gran"	""	""	""	""	""	""
"Camp de les Figueres"	"Camp de les Figueres"	""	""	""	""	""	""
"Camp de la Costa"	"Camp de la Costa"	""	""	""	""	""	""
"Camp Llong"	"Camp Llong"	""	""	""	""	""	""
"Coma Francesa"	"Coma Francesa"	""	""	""	""	""	""
"Coma del Fonollar"	"Coma del Fonollar"	""	""	""	""	""	""
"Coma del Mix"	"Coma del Mix"	""	""	""	""	""	""
"Camp del Pla"	"Camp del Pla"	""	""	""	""	""	""
"Cal Teixidor"	"Cal Teixidor"	""	""	""	""	""	""
"Coma Sadolla"	"Coma Sadolla"	""	""	""	""	""	""
"Camp de l'Abat"	"Camp de l'Abat"	""	""	""	""	""	""
"Coma Negra"	"Coma Negra"	""	""	""	""	""	""
"Cim de Portavella"	"Cim de Portavella"	""	""	""	""	""	""
"Cal Pubill"	"Cal Pubill"	""	""	""	""	""	""
"Camp de l'Oliu"	"Camp de l'Oliu"	""	""	""	""	""	""
"Camp l'Oliu"	"Camp l'Oliu"	""	""	""	""	""	""
"Camp de la Bola"	"Camp de la Bola"	""	""	""	""	""	""
"Coma Gran"	"Coma Gran"	""	""	""	""	""	""
"Coma dels Forats"	"Coma dels Forats"	""	""	""	""	""	""
"Tossal Colomer"	"Tossal Colomer"	""	""	""	""	""	""
"Camp del Mas"	"Camp del Mas"	""	""	""	""	""	""
"Camp del Viver"	"Camp del Viver"	""	""	""	""	""	""
"Camp dels Clots"	"Camp dels Clots"	""	""	""	""	""	""
"Camp del Noguer"	"Camp del Noguer"	""	""	""	""	""	""
"Cal Viatger"	"Cal Viatger"	""	""	""	""	""	""
"Cal Tort"	"Cal Tort"	""	""	""	""	""	""
"Camp de la Calcine"	"Camp de la Calcine"	""	""	""	""	""	""
"Coma del Bach"	"Coma del Bach"	""	""	""	""	""	""
"Cim de Coma Morera"	"Cim de Coma Morera"	""	""	""	""	""	""
"Coma Del Mir"	"Coma Del Mir"	""	""	""	""	""	""
"Cim de les Artigues"	"Cim de les Artigues"	""	""	""	""	""	""
"Col·legi Mas Rosselló"	"Col·legi Mas Rosselló"	""	""	""	""	""	""
"Cal Marès"	"Cal Marès"	""	""	""	""	""	""
"Cal Miquel"	"Cal Miquel"	""	""	""	""	""	""
"Coma Pregona"	"Coma Pregona"	""	""	""	""	""	""
"Coma d'en Garcia"	"Coma d'en Garcia"	""	""	""	""	""	""
"Camp Del Roc"	"Camp Del Roc"	""	""	""	""	""	""
"Coma de la Dona"	"Coma de la Dona"	""	""	""	""	""	""
"Coma de la Portella"	"Coma de la Portella"	""	""	""	""	""	""
"Camp de la Capella"	"Camp de la Capella"	""	""	""	""	""	""
"Coma de la Llosa"	"Coma de la Llosa"	""	""	""	""	""	""
"Camp del Roure"	"Camp del Roure"	""	""	""	""	""	""
"Coma d'Eina"	"Coma d'Eina"	""	""	""	""	""	""
"Camp dels Cortals"	"Camp dels Cortals"	""	""	""	""	""	""
"Cal Romeu"	"Cal Romeu"	""	""	""	""	""	""
"Camp del Forn"	"Camp del Forn"	""	""	""	""	""	""
"Coma de Seu"	"Coma de Seu"	""	""	""	""	""	""
"Camp de l'Horta"	"Camp de l'Horta"	""	""	""	""	""	""
