"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Pla de l'Abellar"	"Pla de l'Abellar"						
"Pla de la Volta"	"Pla de la Volta"						
"Pla de Vilar"	"Pla de Vilar"						
"Pla de Talladures"	"Pla de Talladures"						
"Pla del Grau"	"Pla del Grau"						
"Pla de les Saleres"	"Pla de les Saleres"						
"Pla del Pinar"	"Pla del Pinar"						
"Pla del Llop"	"Pla del Llop"						
"Pla de Perol"	"Pla de Perol"						
"Pla dels Arbres"	"Pla dels Arbres"						
"Agulla del Giravolt"	"Agulla del Giravolt"						
"Agulla dels Pallers"	"Agulla dels Pallers"						
"Agulla dels Tres o CNT"	"Agulla dels Tres o CNT"						
"Agulla Petita"	"Agulla Petita"						
"Agulla del Sol Ponent"	"Agulla del Sol Ponent"						
"Agulla del Capdamunt"	"Agulla del Capdamunt"						
"Agulla dels Espeleòlegs"	"Agulla dels Espeleòlegs"						
"Agulla Pelada"	"Agulla Pelada"						
"Agulla del Contrafort"	"Agulla del Contrafort"						
"Agulla de Can Jorba"	"Agulla de Can Jorba"						
"Agulla del Castell"	"Agulla del Castell"						
"Agulla de la Tempestat"	"Agulla de la Tempestat"						
"Agulla dels Ossos"	"Agulla dels Ossos"						
"Agulla de la Carnavalada o dels Set"	"Agulla de la Carnavalada o dels Set"						
"Agulla Xica de la Miranda (Petitona)"	"Agulla Xica de la Miranda (Petitona)"						
"Agulla de les Heures"	"Agulla de les Heures"						
"Agulla del Cirerer"	"Agulla del Cirerer"						
"Agulla dels Cinc Passos"	"Agulla dels Cinc Passos"						
"Agulla de l'Arbret"	"Agulla de l'Arbret"						
"Agulla Podrida"	"Agulla Podrida"						
"Agulla Superior del Pas del Príncep"	"Agulla Superior del Pas del Príncep"						
"Agulla Fàcil"	"Agulla Fàcil"						
"Agulla de la Princesa"	"Agulla de la Princesa"						
"Agulla del Rei"	"Agulla del Rei"						
"Pla de Palau"	"Pla de Palau"						
"Palau Robert"	"Palau Robert"						
"Pla de la Garsa"	"Pla de la Garsa"						
"Pla del Palau-Consolat del Mar"	"Pla del Palau-Consolat del Mar"						
"Rec Comtal"	"Rec Comtal"						
"carrer obert"	"carrer obert"						
"Pla de la Boqueria"	"Pla de la Boqueria"						
"Pla de Palau"	"Pla de Palau"			"Pla de Palau"	"Pla de Palau"	"Wikimedia disambiguation page"	"Q28005029"
"Pla de Montbau"	"Pla de Montbau"						
"Pla de la Seu"	"Pla de la Seu"						
"Carrer de la Selva del Camp"	"Carrer de la Selva del Camp"	"carrer Fondal de Sant Martí"	"carrer Fondal de Sant Martí"				
"Pla de Sant Nicolau"	"Pla de Sant Nicolau"						
"Pla de Sant Miquel"	"Pla de Sant Miquel"						
"Rec del Clot de la Deu"	"Rec del Clot de la Deu"						
"Rec del Clot de la Coma"	"Rec del Clot de la Coma"						
"Rec de la Font de l'Arç"	"Rec de la Font de l'Arç"						
"Rec de la Tremoleda"	"Rec de la Tremoleda"						
"Rec del Corral"	"Rec del Corral"						
