"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Parque Juvenil"	"Parc Juvenil"					
"Parque infantil"	"Parc infantil"					
"Parque la rueda de piedra"	"Parc la rueda de piedra"					
"Parque juvenil"	"Parc juvenil"					
"Parque temàtico de las Brujas de Laspaúls"	"Parc temàtico de las Brujas de Laspaúls"					
"parque de fernando aranda"	"parc de fernando aranda"					
"parque verde"	"parc verde"					
"parque del patrocinio"	"parc del patrocinio"					
"parque de la iglesia"	"parc de la iglesia"					
"parque de la calle san miguel"	"parc de la calle san miguel"					
"parque con un tobogan"	"parc con un tobogan"					
"parque con cancha de basket"	"parc con cancha de basket"					
"parque de la guarderia"	"parc de la guarderia"					
"parque de la roca de la botella"	"parc de la roca de la botella"					
"parque en albelda"	"parc en albelda"					
"Parque de las Badinas"	"Parc de las Badinas"					
"Parque del Río Cinca"	"Parc del Río Cinca"					
"Parque de los Olivos"	"Parc de los Olivos"					
"Parque de los Olivos II"	"Parc de los Olivos II"					
"Parque de los Olivos III"	"Parc de los Olivos III"					
"Parque Hangar"	"Parc Hangar"					
"Parque del Castillo Ciudad de Fraga"	"Parc del Castillo Ciudad de Fraga"					
"Parque Mar"	"Parc Mar"					
"Parque Maioris"	"Parc Maioris"					
"Parque infaltin Jovellanos"	"Parc infaltin Jovellanos"					
"Parque Son Muntaner"	"Parc Son Muntaner"					
"Parque Son Roqueta"	"Parc Son Roqueta"					
"Parque en Son Moix"	"Parc en Son Moix"					
"Parque de San Pau"	"Parc de San Pau"					
"Parque Casal de Barri Son Cotoner"	"Parc Casal de Barri Son Cotoner"					
"Parque Infantil"	"Parc Infantil"					
"Parque Son Peretó"	"Parc Son Peretó"					
"Parque Sor Catalina Maura"	"Parc Sor Catalina Maura"					
"Parquet Balears"	"Parquet Balears"					
"Parque Centro Comercial FAN"	"Parc Centro Comercial FAN"					
"Parque de los dinosaurios"	"Parc de los dinosaurios"					
"Parque Mar d'Aral"	"Parc Mar d'Aral"					
"Parque solar Huerto Son Falconer"	"Parc solar Huerto Son Falconer"					
"Parque Pollença Sur"	"Parc Pollença Sur"					
"Parque Pollença Norte"	"Parc Pollença Norte"					
"Parque Ca les Munnares"	"Parc Ca les Munnares"					
"Parque de calistenia"	"Parc de calistenia"					
"Parque Infantil de Pollença"	"Parc Infantil de Pollença"					
"Parque Plaza Ca les Munnares"	"Parc Plaza Ca les Munnares"					
"Parque Ca Les Munnares"	"Parc Ca Les Munnares"					
"Parque sur Ca les Munnares"	"Parc sur Ca les Munnares"					
"Parque Municipal Son Bauló"	"Parc Municipal Son Bauló"					
"parquet Manacor"	"parquet Manacor"					
"Parque Nereida"	"Parc Nereida"					
"Parque Polideportivo"	"Parc Polideportivo"					
"Parque Es Cubells"	"Parc Es Cubells"					
"Parque Acuático Aguamar"	"Parc Acuático Aguamar"					
"Parquecito"	"Parquecito"					
"Parque infantil S´illa"	"Parc infantil S´illa"					
"Parque"	"Parque"					
"Parque Sant Josep"	"Parc Sant Josep"					
"Parque infantil Plaça d'Espanya"	"Parc infantil Plaça d'Espanya"					
"Parque de los Pinos"	"Parc de los Pinos"					
"Parque de Jesús"	"Parc de Jesús"					
"parque"	"parque"					
"Parque de verano"	"Parc de verano"					
"Parque de la fuente"	"Parc de la fuente"					
"Parque Minigolf"	"Parc Minigolf"					
"Parque Infantil Hotel"	"Parc Infantil Hotel"					
"Parque Canutells"	"Parc Canutells"					
"Parque con pistas deportivas"	"Parc con pistas deportivas"					
"Parque solar de Binisafúller"	"Parc solar de Binisafúller"					
"Parque Publico San Sivina"	"Parc Publico San Sivina"					
"Parque Verdager"	"Parc Verdager"					
"Parque Son Expedito"	"Parc Son Expedito"					
"Parque de la concha"	"Parc de la concha"					
"Parque Acuático Marina Parc"	"Parc Acuático Marina Parc"					
"Parque de San Clemente"	"Parc de San Clemente"					
"Parque Ses Vinyes"	"Parc Ses Vinyes"					
"Parque \"Es Freginal\""	"Parc \"Es Freginal\""					
"Parque Cardenal Vives"	"Parc Cardenal Vives"					
"Parque del Monumento"	"Parc del Monumento"					
"Parque Municipal"	"Parc Municipal"					
"Parque con teatro al aire libre"	"Parc con teatro al aire libre"					
"Parque del Grand Prix"	"Parc del Grand Prix"					
"Parque La Sardana"	"Parc La Sardana"					
"Parque Can Mir 1"	"Parc Can Mir 1"					
"Parque de la Inercia"	"Parc de la Inercia"					
"parque del castell"	"parc del castell"					
"Parque Santa Fe"	"Parc Santa Fe"					
"Parque Can Mir 5"	"Parc Can Mir 5"					
"Parque Castellnou 1"	"Parc Castellnou 1"					
"Parque de la carretera vella"	"Parc de la carretera vella"					
"Parque canino"	"Parc canino"					
"Parquet's Uriol"	"Parquet's Uriol"					
"Parquets i Paviments"	"Parquets i Paviments"					
"Parque Güell entradas"	"Parc Güell entradas"					
"Parque interior Camp d'en Grassot"	"Parc interior Camp d'en Grassot"					
"Parque de deportes"	"Parc de deportes"					
"Parque de deporte"	"Parc de deporte"					
"Parque, Área de descanso y Pic-Nic Passeig Fluvial"	"Parque, Área de descanso y Pic-Nic Passeig Fluvial"					
"Parque detras de la estacion"	"Parc detras de la estacion"					
"Parque Can Xerracan"	"Parc Can Xerracan"					
"Parque de Can Sauleda"	"Parc de Can Sauleda"					
"parque de la fuente"	"parc de la fuente"					
"Parque Eólico La Llacuna"	"Parc Eólico La Llacuna"					
"Parque para perros"	"Parc para perros"					
"Parque rambla sant just"	"Parc rambla sant just"					
"Parque de la Muntanyeta"	"Parc de la Muntanyeta"					
"Parque de Skate"	"Parc de Skate"					
"parque recreativo"	"parc recreativo"					
"Parque de la Olla"	"Parc de la Olla"					
"Parque Fatjò"	"Parc Fatjò"					
"Parque Infantil Mila"	"Parc Infantil Mila"					
"Parque Lluís Millet"	"Parc Lluís Millet"					
"Parque dels Capgrossos d'Esplgues"	"Parc dels Capgrossos d'Esplgues"					
"Parque escondido"	"Parc escondido"					
"Parque Sant Salvador"	"Parc Sant Salvador"					
"Parque patinaje plaça Catalunya"	"Parc patinaje plaça Catalunya"					
"Parque La Mallola"	"Parc La Mallola"					
"Parque de ocio infantil"	"Parc de ocio infantil"					
"parque los columpios"	"parc los columpios"					
"Parque Eólico Les Rotes"	"Parc Eólico Les Rotes"					
"Parque Eólico Sant Antoni II"	"Parc Eólico Sant Antoni II"					
"Parque Eólico Monclues"	"Parc Eólico Monclues"					
"Parque Eólico Sant Antoni I"	"Parc Eólico Sant Antoni I"					
"Parque Infantil Els Masos"	"Parc Infantil Els Masos"					
"Parque canino del Baix Llobregat"	"Parc canino del Baix Llobregat"					
"Parque Charlie River"	"Parc Charlie River"					
"Parque Infantil Les Clotes"	"Parc Infantil Les Clotes"					
"Parque de San Alejandro"	"Parc de San Alejandro"					
"Parque de San Juan Francisco"	"Parc de San Juan Francisco"					
"Parque del Final de la Riera"	"Parc del Final de la Riera"					
"Parque Salou"	"Parc Salou"					
"Parque de la vía Aurelia"	"Parc de la vía Aurelia"					
"Parque sensorial"	"Parc sensorial"					
"Parque de los pinos"	"Parc de los pinos"					
"Parque de la font"	"Parc de la font"					
"Parque Navas de Tolosa"	"Parc Navas de Tolosa"					
"Parque de la Estación de Tarragona"	"Parc de la Estación de Tarragona"					
"Parque Arcadia"	"Parc Arcadia"					
"Parque Eólico Fatallera"	"Parc Eólico Fatallera"					
"Parque Eólico Barbers"	"Parc Eólico Barbers"					
"Parque Eólico Coll de Moro"	"Parc Eólico Coll de Moro"					
"Parque Eólico Mudefer"	"Parc Eólico Mudefer"					
"Parque Eólico Vilalba del Arcs"	"Parc Eólico Vilalba del Arcs"					
"Parque Eólico Corbera"	"Parc Eólico Corbera"					
"Parque Eólico Vilalba"	"Parc Eólico Vilalba"					
"Parque Eólico Les Comes"	"Parc Eólico Les Comes"					
"Parque Plaza Dura"	"Parc Plaza Dura"					
"Parque Eólico Folch I"	"Parc Eólico Folch I"					
"Parque Eólico Arriello"	"Parc Eólico Arriello"					
"Parque de l'Estany"	"Parc de l'Estany"					
"Parque la carpa"	"Parc la carpa"					
"Parque del lago"	"Parc del lago"					
"Parque de Bomberos de Oropesa del Mar"	"Parc de Bomberos de Oropesa del Mar"					
"Parque Aquático"	"Parc Aquático"					
"Parque del Roselló"	"Parc del Roselló"					
"Parque Ciclista"	"Parc Ciclista"					
"Parque Sierra de Cazorla"	"Parc Sierra de Cazorla"					
"Parque de Santa Rosa"	"Parc de Santa Rosa"					
"Parque de Don Ramón James Boera"	"Parc de Don Ramón James Boera"					
"Parque de La Dolçaina i Tabalet"	"Parc de La Dolçaina i Tabalet"					
"Parque de San Lorenzo"	"Parc de San Lorenzo"					
"Parque del Chalet"	"Parc del Chalet"					
"Parque de Mérida"	"Parc de Mérida"					
"Parque del Maetro Luna"	"Parc del Maetro Luna"					
"Parque Rio Nilo"	"Parc Rio Nilo"					
"Parque Jardín Montesinos"	"Parc Jardín Montesinos"					
"Parque Antigua Corona de Aragón"	"Parc Antigua Corona de Aragón"					
"Parque polideportivo municipal juegos tradicionales \"El Boli\""	"Parc polideportivo municipal juegos tradicionales \"El Boli\""					
"Parque L'Olivaret"	"Parc L'Olivaret"					
"Parque de la Panderola"	"Parc de la Panderola"					
"Parque Público Canino"	"Parc Público Canino"					
"Parque Canino El Palmeral"	"Parc Canino El Palmeral"					
"Parque Juan XXIII"	"Parc Juan XXIII"					
"Parque de la Sierra de Mariola"	"Parc de la Sierra de Mariola"					
"Parque Vilamar"	"Parc Vilamar"					
"Parque playero Las Palmeras"	"Parc playero Las Palmeras"					
"Parque Infantil Gibraltar"	"Parc Infantil Gibraltar"					
