"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"	"al_name:ca"
"Calle de Cervantes"					"way"	"288837160"	""	"{'highway': 'residential', 'name': 'Calle de Cervantes', 'oneway': 'yes', 'surface': 'asphalt'}"	"Carrer de Cervantes"		
"Calle de la Vía"					"way"	"199075846"	""	"{'highway': 'service', 'name': 'Calle de la Vía'}"	"Carrer de la Vía"		
"Calle de la Vía"					"way"	"199075859"	""	"{'highway': 'service', 'name': 'Calle de la Vía'}"	"Carrer de la Vía"		
"Calle dels Furs"					"way"	"800976305"	""	"{'highway': 'service', 'name': 'Calle dels Furs'}"	"Carrer dels Furs"		
"Calle Enric Valor"					"way"	"355272760"	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Calle Enric Valor', 'sidewalk': 'both', 'surface': 'asphalt'}"	"Carrer Enric Valor"		
"Calle Santa Ana"					"way"	"246119089"	""	"{'highway': 'residential', 'name': 'Calle Santa Ana', 'oneway': 'yes'}"	"Carrer Santa Anna"		
"Calle Valencia"					"way"	"288838915"	""	"{'highway': 'residential', 'name': 'Calle Valencia', 'oneway': 'yes'}"	"Carrer València"		
"Calle Valencia"					"way"	"295066903"	""	"{'highway': 'residential', 'name': 'Calle Valencia'}"	"Carrer València"		
