"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"	"al_name:ca"
"Calle Almazora"					"way"	" 46195305"	""	"{'highway': 'residential', 'name': 'Calle Almazora', 'oneway': 'yes'}"	"Carrer Almassora"		
"Calle Almazora"					"way"	" 46195306"	""	"{'highway': 'residential', 'name': 'Calle Almazora', 'oneway': 'yes'}"	"Carrer Almassora"		
"Calle Benicasim"					"way"	"375794453"	""	"{'highway': 'living_street', 'name': 'Calle Benicasim'}"	"Carrer Benicàssim"		
"Calle Benicasim"					"way"	" 46195391"	""	"{'highway': 'residential', 'name': 'Calle Benicasim', 'oneway': 'yes'}"	"Carrer Benicàssim"		
"Calle de Barcelona"					"way"	"309738082"	""	"{'highway': 'living_street', 'name': 'Calle de Barcelona', 'oneway': 'no'}"	"Carrer de Barcelona"		
"Calle de la Carrasca"					"way"	"136103120"	""	"{'highway': 'residential', 'name': 'Calle de la Carrasca', 'oneway': 'no'}"	"Carrer de la Carrasca"		
"Calle de la Iglesia"					"way"	"142782669"	""	"{'highway': 'steps', 'name': 'Calle de la Iglesia'}"	"Carrer de l’Església"		
"Calle de la Iglesia"					"way"	"142782667"	""	"{'highway': 'steps', 'name': 'Calle de la Iglesia'}"	"Carrer de l’Església"		
"Calle de la Iglesia"					"way"	"142782668"	""	"{'highway': 'pedestrian', 'name': 'Calle de la Iglesia'}"	"Carrer de l’Església"		
"Calle de Mallorca"					"way"	"309738097"	""	"{'highway': 'living_street', 'name': 'Calle de Mallorca', 'oneway': 'no'}"	"Carrer de Mallorca"		
"Calle de Menorca"					"way"	"309738099"	""	"{'highway': 'living_street', 'name': 'Calle de Menorca', 'oneway': 'no'}"	"Carrer de Menorca"		
"Calle de Ribesalbes"					"way"	"309738103"	""	"{'highway': 'living_street', 'name': 'Calle de Ribesalbes', 'oneway': 'no'}"	"Carrer de Ribesalbes"		
"Calle del Mercado"					"way"	" 46195257"	""	"{'highway': 'residential', 'name': 'Calle del Mercado', 'oneway': 'no'}"	"Carrer del Mercat"		
"Calle Doctor Fleming"					"way"	" 28127575"	""	"{'highway': 'residential', 'name': 'Calle Doctor Fleming', 'oneway': 'yes'}"	"Carrer Doctor Fleming"		
"Calle Guitarrista Tárrega"					"way"	" 28127573"	""	"{'highway': 'residential', 'name': 'Calle Guitarrista Tárrega', 'oneway': 'yes'}"	"Carrer Guitarrista Tárrega"		
"Calle Jacinto Benavente"					"way"	" 28127574"	""	"{'highway': 'residential', 'name': 'Calle Jacinto Benavente', 'oneway': 'yes'}"	"Carrer Jacinto Benavente"		
"Calle Mayor"					"way"	" 28133659"	""	"{'highway': 'living_street', 'name': 'Calle Mayor', 'oneway': 'yes'}"	"Carrer Major"		
"Calle Mayor"					"way"	"300923963"	""	"{'highway': 'steps', 'name': 'Calle Mayor'}"	"Carrer Major"		
"Calle Mayor"					"way"	"300923960"	""	"{'highway': 'living_street', 'name': 'Calle Mayor', 'oneway': 'no'}"	"Carrer Major"		
"Calle Mayor"					"way"	"300923961"	""	"{'highway': 'living_street', 'name': 'Calle Mayor', 'oneway': 'no'}"	"Carrer Major"		
"Calle Mayor"					"way"	"300923962"	""	"{'highway': 'living_street', 'name': 'Calle Mayor', 'oneway': 'no'}"	"Carrer Major"		
"Calle Mayor"					"way"	"300923959"	""	"{'highway': 'living_street', 'name': 'Calle Mayor', 'oneway': 'no'}"	"Carrer Major"		
"Calle Ramón y Cajal"					"way"	" 46195321"	"name:etymology:wikidata=Q150526"	"{'highway': 'steps', 'name': 'Calle Ramón y Cajal', 'name:etymology:wikidata': 'Q150526'}"	"Carrer Ramón y Cajal"		
"Calle Santa Rita"					"way"	" 46195226"	""	"{'highway': 'residential', 'name': 'Calle Santa Rita', 'oneway': 'no'}"	"Carrer Santa Rita"		
"Calle Santa Teresa"					"way"	" 46195389"	""	"{'highway': 'steps', 'name': 'Calle Santa Teresa'}"	"Carrer Santa Teresa"		
"Calle Santa Teresa"					"way"	" 94191437"	""	"{'highway': 'residential', 'name': 'Calle Santa Teresa', 'oneway': 'yes'}"	"Carrer Santa Teresa"		
"Calle Segorbe"					"way"	" 46195390"	""	"{'highway': 'living_street', 'name': 'Calle Segorbe', 'oneway': 'no'}"	"Carrer Segorb"		
"Calle Villarreal"					"way"	" 46195286"	""	"{'highway': 'residential', 'name': 'Calle Villarreal', 'oneway': 'yes'}"	"Carrer Vila-Real"		
