"# Generated by write_osm_objects_report from LangToolsOSM 0.0.12 with parameters: lang=ca, area=['name:ca'='Xina'], filters=nwr['name'][admin_level=6][wikidata], extra_tag=('name:ca', 'alt_name:ca', 'old_name:ca', 'alt_name', 'admin_level')"	""	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"old_name:ca"	"alt_name"	"admin_level"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	"244080332"	"高安市"	""	""	""	"高安;Gao'an"	"6"	""	""	"https://www.wikidata.org/wiki/Q1229428"	"name:cs=Kao-an, name:cy=Gao'an, name:de=Gao’an, name:en=Gao'an City, name:fr=Gao'an, name:gan=高安, name:it=Gao'an, name:ja=高安市, name:ki=Gao'an, name:ko=가오안시, name:mg=Gao'an, name:nan=Ko-an-chhī, name:nl=Gao'an, name:no=Gao'an, name:ru=Гаоань, name:sv=Gao'an, name:vi=Cao An, name:yue=高安, name:zh=高安市, name:zh_pinyin=Gāo’ān Shì"	"{'admin_level': '6', 'alt_name': ""高安;Gao'an"", 'gns:ADM1': '03', 'gns:DSG': 'ADM3', 'gns:UFI': '-1906188', 'gns:UNI': '76857', 'name': '高安市', 'name:cs': 'Kao-an', 'name:cy': ""Gao'an"", 'name:de': 'Gao’an', 'name:en': ""Gao'an City"", 'name:fr': ""Gao'an"", 'name:gan': '高安', 'name:it': ""Gao'an"", 'name:ja': '高安市', 'name:ki': ""Gao'an"", 'name:ko': '가오안시', 'name:mg': ""Gao'an"", 'name:nan': 'Ko-an-chhī', 'name:nl': ""Gao'an"", 'name:no': ""Gao'an"", 'name:ru': 'Гаоань', 'name:sv': ""Gao'an"", 'name:vi': 'Cao An', 'name:yue': '高安', 'name:zh': '高安市', 'name:zh_pinyin': 'Gāo’ān Shì', 'place': 'county', 'wikidata': 'Q1229428', 'wikipedia': 'zh:高安市'}"
"node"	"1889448661"	"浦东新区人民政府"	""	""	""	""	"6"	""	""	"https://www.wikidata.org/wiki/Q19853017"	"name:en=Pudong New District Government"	"{'admin_level': '6', 'government': 'yes', 'name': '浦东新区人民政府', 'name:en': 'Pudong New District Government', 'office': 'government', 'wikidata': 'Q19853017', 'wikipedia': 'zh:上海市浦东新区人民政府'}"
"node"	"1906399327"	"維多利亞城界碑 Boundary Stone, City of Victoria"	""	""	""	""	"6"	""	""	"https://www.wikidata.org/wiki/Q15915746"	"name:en=Boundary Stone, City of Victoria, name:zh=維多利亞城界碑"	"{'admin_level': '6', 'boundary': 'administrative', 'format': 'squared_stone', 'format:top': 'pyramidal', 'height': '1.36', 'historic': 'boundary_stone', 'inscription': 'CITY|BOUNDARY|1903', 'inscription:en': 'CITY|BOUNDARY|1903', 'man_made': 'obelisk', 'material': 'stone', 'moved': 'yes', 'name': '維多利亞城界碑 Boundary Stone, City of Victoria', 'name:en': 'Boundary Stone, City of Victoria', 'name:zh': '維多利亞城界碑', 'obelisk:size': 'medium', 'start_date': '1903', 'wikidata': 'Q15915746'}"
"node"	"3017571302"	"聂拉木县"	""	""	""	"Nieh-la-mu Hsien;Nielamu;Nyalam County;聂拉木"	"6"	"Comtat de Nyalam"	""	"https://www.wikidata.org/wiki/Q1028130"	"name:bo=གཉའ་ལམ་རྫོང་, name:en=Nyalam, name:ko=녜라무현, name:vi=Nyalam, name:zh=聂拉木县, name:zh_pinyin=Nièlāmù Xiàn"	"{'admin_level': '6', 'alt_name': 'Nieh-la-mu Hsien;Nielamu;Nyalam County;聂拉木', 'alt_name:vi': 'Niếp Lạc Mộc', 'int_name': 'niemula', 'name': '聂拉木县', 'name:bo': 'གཉའ་ལམ་རྫོང་', 'name:en': 'Nyalam', 'name:ko': '녜라무현', 'name:vi': 'Nyalam', 'name:zh': '聂拉木县', 'name:zh_pinyin': 'Nièlāmù Xiàn', 'place': 'county', 'source:name': 'GNS', 'wikidata': 'Q1028130', 'wikipedia': 'zh:聂拉木县'}"
"node"	"4641990518"	"温宿县 ئونسۇ ناھىيىسى"	""	""	""	"温宿;Onsu;Wen-su Hsien;Wensu Xian"	"6"	""	""	"https://www.wikidata.org/wiki/Q1023165"	"name:en=Wensu, name:ko=원쑤현, name:ru=Вэньсу, name:ug=ئونسۇ ناھىيىسى, name:zh=温宿县"	"{'admin_level': '6', 'alt_name': '温宿;Onsu;Wen-su Hsien;Wensu Xian', 'name': '温宿县 ئونسۇ ناھىيىسى', 'name:en': 'Wensu', 'name:ko': '원쑤현', 'name:ru': 'Вэньсу', 'name:ug': 'ئونسۇ ناھىيىسى', 'name:zh': '温宿县', 'old_name': '温宿府;温宿州', 'place': 'county', 'source:name': 'GNS', 'wikidata': 'Q1023165', 'wikipedia': 'en:Wensu County'}"
"node"	"7012043102"	"五华区"	""	""	""	"五华;Wuhua District"	"6"	""	""	"https://www.wikidata.org/wiki/Q253212"	"name:en=Wuhua, name:fr=Wuhua, name:zh=五华区"	"{'admin_level': '6', 'alt_name': '五华;Wuhua District', 'name': '五华区', 'name:en': 'Wuhua', 'name:fr': 'Wuhua', 'name:zh': '五华区', 'place': 'district', 'population': '855521', 'wikidata': 'Q253212', 'wikipedia': 'zh:五华区'}"
"node"	"7867122880"	"七星区"	""	""	""	"七星;Qixing District"	"6"	""	""	"https://www.wikidata.org/wiki/Q1355194"	"name:en=Qixing, name:zh=七星区"	"{'admin_level': '6', 'alt_name': '七星;Qixing District', 'name': '七星区', 'name:en': 'Qixing', 'name:zh': '七星区', 'place': 'district', 'source:name': 'GNS', 'wikidata': 'Q1355194'}"
"node"	"8419882181"	"金寨县"	""	""	""	"金寨;Jinzhai County"	"6"	""	""	"https://www.wikidata.org/wiki/Q1337537"	"name:en=Jinzhai, name:ja=金寨県, name:ru=Мэйшань, name:vi=Kim Trại, name:zh=金寨县, name:zh_pinyin=Jīnzhài Xiàn"	"{'admin_level': '6', 'alt_name': '金寨;Jinzhai County', 'gns:ADM1': '01', 'gns:DSG': 'ADM3', 'gns:UFI': '-1912805', 'gns:UNI': '10077651', 'name': '金寨县', 'name:en': 'Jinzhai', 'name:ja': '金寨県', 'name:ru': 'Мэйшань', 'name:vi': 'Kim Trại', 'name:zh': '金寨县', 'name:zh_pinyin': 'Jīnzhài Xiàn', 'old_name': '立煌县', 'place': 'county', 'population': '682100', 'wikidata': 'Q1337537', 'wikipedia': 'zh:金寨县'}"
"node"	"8423117386"	"宿松县"	""	""	""	"宿松;Susong County"	"6"	""	""	"https://www.wikidata.org/wiki/Q1335469"	"name:en=Susong, name:vi=Túc Tùng, name:zh=宿松县, name:zh_pinyin=Sùsōng Xiàn"	"{'admin_level': '6', 'alt_name': '宿松;Susong County', 'gns:ADM1': '01', 'gns:DSG': 'ADM3', 'gns:UFI': '-1927489', 'gns:UNI': '10077629', 'int_name': 'Susong', 'name': '宿松县', 'name:en': 'Susong', 'name:vi': 'Túc Tùng', 'name:zh': '宿松县', 'name:zh_pinyin': 'Sùsōng Xiàn', 'place': 'county', 'wikidata': 'Q1335469', 'wikipedia': 'zh:宿松县'}"
