"# EDITED with R"	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avenida Diagonal"	"Avinguda Diagonal"						"way"	"144693604"		"{'highway': 'tertiary', 'name': 'Avenida Diagonal', 'noref': 'yes', 'oneway': 'yes'}"
"Avenida Diagonal"	"Avinguda Diagonal"						"way"	"239287067"		"{'highway': 'tertiary', 'name': 'Avenida Diagonal', 'noref': 'yes', 'oneway': 'yes'}"
"Avenida Diagonal"	"Avinguda Diagonal"						"way"	"239287071"		"{'highway': 'tertiary', 'name': 'Avenida Diagonal', 'noref': 'yes', 'oneway': 'yes'}"
