"# Generated by write_osm_objects_report from LangToolsOSM 0.1 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(347870);map_to_area->.municipi; nwr(area.municipi)[name~'^([Aa]vinguda|[Cc]arrer|[Cc]amí|[Pp]arc|[Pp]laça) '][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"multilang_names"	"all_tags"
"way"	"311691782"	"Carrer ""A"""	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer ""A""'}"
"way"	"311691785"	"Carrer ""H"""	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer ""H""'}"
"way"	"317190125"	"Carrer del Darrere d'Irene Soriano"	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': ""Carrer del Darrere d'Irene Soriano""}"
"way"	"311691783"	"Carrer ""E"""	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer ""E""'}"
"way"	"311691784"	"Carrer ""G"""	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer ""G""'}"
"way"	"311697597"	"Carrer Bot"	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer Bot'}"
"way"	"311697598"	"Carrer Bot"	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer Bot'}"
"way"	"317190127"	"Carrer del Darrere d'Irene Soriano"	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': ""Carrer del Darrere d'Irene Soriano""}"
"way"	"703030334"	"Carrer Bot"	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer Bot'}"
"way"	"311691781"	"Carrer ""A"""	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer ""A""'}"
"way"	"311691786"	"Carrer ""I"""	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer ""I""'}"
"way"	"311691787"	"Carrer ""D"""	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer ""D""', 'oneway': 'yes'}"
"way"	"1096350799"	"Carrer Tèxtil"	""	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Carrer Tèxtil'}"
