"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Carrer d'Uruguai - Calle de Uruguay"	"Carrer d'Uruguai"						
"Plaça Neptú - Plaza Neptuno"	"Plaça Neptú"						
"Plaça Neptú - Plaza neptuno"	"Plaça Neptú"						
"Avinguda de Nicaràgua - Avenida de Nicaragua"	"Avinguda de Nicaràgua"						
"Carrer Arc de Sant Martí - Calle Arcoiris"	"Carrer Arc de Sant Martí"						
"Avinguda de Múrcia  -  Avenida de Murcia"	"Avinguda de Múrcia"						
"Carrer de Girona - Calle de Gerona"	"Carrer de Girona"						
"Avinguda d'Alcoi - Avenida de Alcoy"	"Avinguda d'Alcoi"						
"Plaça de la Constitució - Plaza de la Constitución"	"Plaça de la Constitució"						
"Avinguda de Filipines  -  Avenida de Filipinas"	"Avinguda de Filipines"						
"Carrer Girona - Calle Gerona"	"Carrer Girona"						
"Carrer Estiu  -  Calle Verano"	"Carrer Estiu"						
"Carrer del Mirador - Calle Mirador"	"Carrer del Mirador"						
"Carrer Hivern - Calle Invierno"	"Carrer Hivern"						
"Avinguda de França - Avenida de Francia"	"Avinguda de França"						
"Carrer Islàndia - Calle Islandia"	"Carrer Islàndia"						
"Avinguda del Derramador  -  Avenida del Derramador"	"Avinguda del Derramador"						
"Plaça del Pati/Plaza del Patio"	"Plaça del Pati"						
"Carrer Martinet/Calle Martinet"	"Carrer Martinet"						
"014 Avinguda de l'Oest - Osca"	"014 Avinguda de l'Oest - Osca"						
"Carrer de l'Ecce Homo - Calle del Ecce Homo"	"Carrer de l'Ecce Homo"						
