"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"	"name:ca"	"alt_name:ca"	"al_name:ca"
"Calle Ausiàs March"					"way"	"222806882"	""	"{'highway': 'residential', 'name': 'Calle Ausiàs March'}"	"Carrer Ausiàs March"		
"Calle Blasco Ibáñez"					"way"	"579479351"	""	"{'highway': 'residential', 'name': 'Calle Blasco Ibáñez', 'oneway': 'no'}"	"Carrer Blasco Ibáñez"		
"Calle Blasco Ibáñez"					"way"	"222806884"	""	"{'highway': 'residential', 'name': 'Calle Blasco Ibáñez', 'oneway': 'no'}"	"Carrer Blasco Ibáñez"		
"Calle Blasco Ibáñez"					"way"	"222806908"	""	"{'highway': 'residential', 'name': 'Calle Blasco Ibáñez', 'oneway': 'yes'}"	"Carrer Blasco Ibáñez"		
"Calle Cervantes"					"way"	"222806876"	""	"{'highway': 'residential', 'name': 'Calle Cervantes'}"	"Carrer Cervantes"		
"Calle la Costera"					"way"	"222806881"	""	"{'highway': 'residential', 'name': 'Calle la Costera'}"	"Carrer la Costera"		
"Calle Santa Teresa"					"way"	" 81339506"	""	"{'highway': 'residential', 'name': 'Calle Santa Teresa', 'oneway': 'yes'}"	"Carrer Santa Teresa"		
"Calle Valencia"					"way"	"222806899"	""	"{'highway': 'residential', 'name': 'Calle Valencia'}"	"Carrer València"		
